time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,44,10.5,95.6,15.687,3.485,1.616,2.076,0.095,0.031
2.001,84,9.9,100.7,20.352,2.376,0.961,1.946,0.095,0.031
3.000,122,10.2,97.9,18.462,2.646,1.133,2.017,0.095,0.031
4.000,161,10.7,93.9,16.922,3.207,1.491,1.993,0.095,0.081
5.000,208,12.4,80.5,12.227,4.172,1.689,2.125,0.095,0.031
6.000,255,11.6,85.9,12.457,4.158,1.954,1.981,0.095,0.031
7.000,295,9.9,101.2,18.144,4.558,2.008,1.981,0.096,0.031
8.000,330,9.4,106.3,19.086,3.131,1.856,2.026,0.095,0.031
9.000,364,9.1,109.9,20.911,2.473,1.365,1.975,0.141,0.031
10.000,404,10.2,98.3,16.274,4.878,2.238,2.039,0.096,0.032
11.000,447,11.8,85.1,12.112,4.618,2.262,2.017,0.127,0.031
12.000,495,12.4,80.7,11.767,4.536,2.014,2.064,0.096,0.031
13.000,537,10,99.5,16.336,4.328,1.832,2.077,0.095,0.031
14.000,579,11,91.1,16.798,2.800,1.287,1.994,0.097,0.031
15.000,618,9.8,102,20.770,2.321,0.983,1.931,0.095,0.031
16.000,657,9.5,104.8,19.132,2.722,1.224,1.950,0.095,0.031
17.000,700,11.9,84.2,13.786,4.135,1.565,2.022,0.095,0.031
18.000,748,12.1,82.8,11.612,4.465,1.897,2.007,0.095,0.031
19.000,792,10.8,92.5,14.321,4.363,1.952,1.977,0.095,0.031
20.000,828,8.3,120.8,22.285,4.274,2.071,2.000,0.095,0.031
21.000,864,9.5,105.7,19.954,2.520,1.513,1.963,0.095,0.031
22.000,901,9.1,109.9,19.551,2.954,1.654,1.949,0.095,0.031
23.000,941,10.5,95,14.848,4.453,2.285,1.987,0.095,0.032
24.000,987,12.5,80.2,11.071,4.795,2.219,2.077,0.097,0.031
25.000,1034,11.8,85.1,12.455,4.292,1.906,2.032,0.096,0.031
26.000,1075,10.9,91.5,15.475,3.177,1.529,2.055,0.095,0.031
27.000,1116,10.6,94,19.570,2.577,1.068,1.972,0.096,0.031
28.000,1155,10.7,93.6,18.351,2.419,1.165,1.997,0.131,0.031
29.000,1195,10.8,93,17.561,2.820,1.381,1.995,0.095,0.031
30.000,1241,12.4,80.3,12.666,4.075,1.693,2.047,0.095,0.031
31.000,1288,12,83.2,12.408,4.486,1.916,2.025,0.096,0.031
32.000,1329,10.3,97,16.108,4.759,2.050,2.016,0.095,0.031
33.000,1363,9,110.5,20.482,3.497,2.002,1.992,0.095,0.031
34.000,1400,9.1,109.6,23.804,2.298,1.216,1.993,0.095,0.031
35.000,1437,9.6,104.3,18.223,4.400,2.212,2.025,0.095,0.031
36.000,1479,11.3,88.5,13.478,4.920,2.293,2.022,0.097,0.031
37.000,1527,12.6,79.5,11.302,4.804,2.172,2.056,0.096,0.032
38.000,1571,10.4,95.7,15.831,4.153,1.841,1.939,0.095,0.031
39.000,1612,11.3,88.7,15.850,3.133,1.393,2.032,0.095,0.031
40.000,1651,10.2,97.9,18.981,2.190,0.923,2.001,0.095,0.067
41.000,1690,10,100,19.150,2.677,1.298,2.048,0.094,0.031
42.000,1731,11.5,87.2,14.224,3.339,1.614,1.995,0.095,0.031
43.000,1779,12.1,82.4,11.753,4.232,1.913,1.972,0.096,0.031
44.000,1824,11.1,90.3,14.037,4.303,1.983,2.027,0.096,0.031
45.000,1861,8.3,120.6,20.929,4.266,2.020,1.973,0.095,0.031
46.000,1898,10,99.9,17.777,2.964,1.590,2.034,0.094,0.031
47.000,1933,9.7,102.9,20.137,2.872,1.547,1.990,0.095,0.032
48.000,1972,10.6,94.5,15.872,4.579,2.219,1.989,0.136,0.031
49.000,2017,12.3,81.4,11.427,5.116,2.223,2.051,0.096,0.031
50.000,2064,11.8,84.7,12.645,4.652,1.937,2.051,0.095,0.031
51.000,2106,10.6,94.7,16.659,3.638,1.662,2.040,0.095,0.031
52.000,2148,10.7,93.6,18.387,2.546,1.189,1.958,0.095,0.032
53.000,2187,10.6,94.4,19.379,2.472,1.026,2.034,0.095,0.032
54.000,2226,10.2,98,18.571,2.859,1.357,2.038,0.095,0.032
55.000,2272,12.5,79.7,12.625,3.954,1.633,2.031,0.097,0.031
56.000,2320,12.2,81.9,12.129,4.501,1.889,2.033,0.096,0.031
57.000,2362,10.3,97,15.927,4.126,1.886,2.025,0.095,0.031
58.000,2397,8.8,114.3,20.247,4.016,2.061,1.978,0.095,0.031
59.000,2432,8.6,116.2,22.381,2.245,1.307,2.015,0.102,0.031
60.000,2470,9.3,107.1,18.971,4.581,2.138,1.994,0.095,0.031
61.000,2512,11.1,90.4,13.986,5.424,2.347,1.994,0.096,0.031
62.000,2559,12.5,79.8,11.129,4.862,2.161,2.071,0.097,0.031
63.000,2604,11,91.2,14.248,4.265,1.785,1.965,0.103,0.032
64.000,2645,10.7,93.1,15.148,3.042,1.396,2.014,0.096,0.031
65.000,2684,10.2,97.9,19.018,2.632,0.935,1.988,0.096,0.032
66.000,2724,10.4,96.5,20.227,2.628,1.189,1.927,0.102,0.031
67.000,2764,10.7,93.3,15.577,3.126,1.632,2.014,0.095,0.032
68.000,2812,12.3,81.4,11.815,4.677,1.800,2.057,0.095,0.031
69.000,2858,11.3,88.1,13.107,4.454,1.976,1.982,0.096,0.032
70.000,2897,8.9,111.8,18.732,4.736,2.002,2.037,0.095,0.031
71.000,2931,9.1,109.6,20.183,2.974,1.747,1.985,0.095,0.031
72.000,2968,10.2,97.6,19.305,2.736,1.548,2.055,0.108,0.032
73.000,3006,10.5,94.9,16.956,4.423,2.218,1.985,0.102,0.031
74.000,3050,12.1,82.4,11.667,4.608,2.158,2.113,0.096,0.031
75.000,3097,12.1,82.8,11.973,4.611,1.980,2.097,0.096,0.031
76.000,3139,10.3,97.4,16.422,3.768,1.743,1.985,0.095,0.031
77.000,3181,11.1,90.5,17.673,2.671,1.205,2.046,0.096,0.031
