time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,126,31.5,31.7,2.446,1.291,1.538,2.067,0.146,0.032
2.000,251,32.2,31.1,2.067,1.482,1.771,2.031,0.097,0.031
3.000,377,32.7,30.5,2.045,1.534,1.516,2.082,0.094,0.032
4.000,505,32.7,30.6,2.529,1.218,1.470,2.085,0.095,0.032
5.000,633,33.3,30.1,2.959,0.822,1.166,2.039,0.095,0.031
6.000,765,34.4,29.1,2.662,1.051,1.133,2.010,0.095,0.043
7.000,895,33,30.3,2.803,1.039,1.209,2.014,0.097,0.031
8.000,1029,35.3,28.3,2.155,1.228,1.280,2.010,0.097,0.032
9.000,1167,35.1,28.5,2.150,1.114,1.336,2.017,0.097,0.032
10.000,1297,32.3,31,2.476,1.203,1.396,1.998,0.095,0.032
11.000,1421,31.8,31.4,2.795,1.222,1.335,1.996,0.095,0.031
12.000,1545,31.7,31.5,2.837,1.290,1.279,2.031,0.098,0.031
13.000,1670,31.7,31.6,2.759,1.153,1.451,2.009,0.102,0.031
14.000,1796,32.6,30.7,2.162,1.546,1.610,2.065,0.097,0.032
15.000,1924,33.1,30.2,2.012,1.411,1.644,2.033,0.097,0.031
16.000,2055,33.3,30,2.200,1.117,1.493,2.006,0.095,0.033
17.000,2184,33.2,30.2,2.861,0.934,1.253,2.019,0.095,0.031
18.000,2316,34.3,29.1,2.779,0.989,1.090,2.010,0.097,0.033
19.001,2449,34,29.4,2.678,1.098,1.110,1.996,0.095,0.043
20.000,2578,33.5,29.9,2.492,1.249,1.255,2.008,0.097,0.031
21.000,2715,36.2,27.7,2.148,1.102,1.317,2.002,0.095,0.031
22.000,2850,34,29.4,2.131,1.376,1.341,2.090,0.095,0.031
23.000,2976,32.2,31.1,2.753,1.263,1.391,1.981,0.095,0.032
24.000,3100,31.6,31.6,2.671,1.378,1.312,1.979,0.097,0.032
25.000,3224,31.3,32,2.929,1.060,1.303,2.028,0.095,0.032
26.000,3348,32,31.3,2.478,1.169,1.511,2.064,0.106,0.032
27.000,3475,32.7,30.6,2.086,1.535,1.607,2.085,0.094,0.031
28.000,3604,33.5,29.9,2.019,1.241,1.565,2.051,0.110,0.031
29.000,3734,33.3,30,2.426,1.135,1.394,2.066,0.095,0.033
30.000,3863,33.6,29.8,2.773,1.055,1.186,2.032,0.096,0.032
31.000,3997,34.1,29.3,2.729,1.004,1.115,2.007,0.106,0.032
32.000,4127,33.3,30,2.738,1.142,1.191,2.046,0.097,0.031
33.000,4259,34.7,28.8,2.200,1.379,1.293,2.036,0.095,0.033
34.000,4397,35.4,28.2,2.134,1.118,1.320,2.038,0.097,0.031
35.000,4528,32.4,30.8,2.401,1.267,1.407,2.027,0.118,0.032
36.000,4652,31.8,31.4,2.800,1.315,1.355,1.976,0.095,0.032
37.000,4776,31.5,31.7,2.819,1.089,1.278,2.014,0.095,0.031
38.000,4900,31.8,31.5,2.858,1.019,1.416,1.988,0.108,0.032
39.000,5026,32.3,30.9,2.263,1.486,1.582,1.983,0.097,0.032
40.000,5153,32.9,30.4,2.101,1.498,1.621,2.019,0.095,0.032
41.000,5283,33.3,30.1,2.165,1.299,1.490,2.028,0.095,0.031
42.000,5413,32.9,30.4,2.800,0.943,1.302,2.006,0.095,0.033
43.000,5545,34.2,29.2,2.738,0.993,1.094,2.028,0.095,0.042
44.000,5678,34.3,29.1,2.632,1.145,1.103,2.009,0.116,0.032
45.000,5808,33.2,30.2,2.565,1.221,1.264,2.031,0.095,0.031
46.000,5944,36,27.8,2.148,1.106,1.287,2.016,0.095,0.032
47.000,6081,34.5,29,2.097,1.282,1.370,2.027,0.096,0.033
48.000,6208,32.5,30.8,2.739,1.312,1.407,2.006,0.095,0.031
49.000,6333,32,31.2,2.688,1.389,1.325,1.962,0.096,0.031
