time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,40,9.6,103.8,13.512,7.082,3.871,1.994,0.095,0.032
2.000,78,9.8,102.4,12.988,6.827,3.856,1.925,0.094,0.031
3.000,120,11.4,88,10.230,6.249,3.464,1.972,0.094,0.031
4.000,169,13.1,76.5,7.939,5.926,3.403,2.015,0.121,0.057
5.000,221,13.5,74.3,7.514,5.950,3.080,2.046,0.095,0.031
6.000,270,12.7,78.6,8.398,5.866,3.449,1.984,0.094,0.031
7.000,318,12.8,78.3,8.416,5.852,3.750,1.926,0.095,0.031
8.000,368,13.1,76.1,8.488,5.291,3.779,1.926,0.120,0.031
9.000,421,14,71.4,7.379,4.636,3.620,1.958,0.119,0.031
10.000,484,16.7,60,5.370,4.182,3.185,1.976,0.094,0.031
11.000,546,15.2,65.7,6.050,4.905,3.372,1.945,0.094,0.031
12.000,593,11.4,88,11.153,5.634,3.425,1.965,0.094,0.031
13.000,632,9.8,102.2,13.420,6.592,3.724,1.891,0.094,0.031
14.000,670,10.1,98.8,12.939,6.754,3.627,1.936,0.094,0.032
15.000,710,10.6,94.5,12.029,6.388,3.495,1.994,0.099,0.031
16.000,756,12.3,81,9.192,5.949,3.187,1.933,0.094,0.031
17.000,808,13.4,74.6,7.268,5.879,3.338,1.947,0.095,0.031
18.000,859,12.9,77.3,8.198,5.974,3.189,1.922,0.105,0.031
19.000,907,12.4,80.7,8.511,5.946,3.714,1.932,0.095,0.031
20.000,956,12.7,78.7,8.436,5.610,3.757,1.981,0.094,0.031
21.000,1006,13.3,74.9,8.347,4.924,3.759,2.005,0.094,0.031
22.000,1064,15.5,64.5,6.417,4.396,3.424,1.970,0.094,0.031
23.000,1128,16.9,59.1,4.931,4.357,3.179,2.039,0.095,0.031
24.000,1184,13.8,72.5,7.621,4.607,3.219,2.004,0.094,0.032
25.000,1226,10.6,94.7,12.686,6.045,3.549,1.967,0.094,0.032
26.000,1264,9.7,103.6,13.267,6.864,3.722,2.024,0.094,0.032
27.000,1303,10,100.1,12.981,6.829,3.708,1.936,0.129,0.031
28.000,1345,11.4,87.8,10.575,6.284,3.331,2.046,0.094,0.032
29.000,1394,12.9,77.4,8.189,5.760,3.191,2.010,0.094,0.031
30.000,1446,13.8,72.4,7.238,5.931,3.151,2.021,0.095,0.031
31.000,1496,12.7,78.9,8.316,5.857,3.412,1.990,0.095,0.031
32.000,1544,12.6,79.5,8.459,5.841,3.846,1.929,0.094,0.031
33.000,1593,13.1,76.6,8.565,5.377,3.841,1.940,0.099,0.031
34.000,1646,14.1,71.1,7.665,4.628,3.583,1.976,0.094,0.031
35.000,1707,16.5,60.4,5.803,4.238,3.120,1.988,0.116,0.031
36.000,1770,15.4,64.7,6.139,4.738,3.226,1.910,0.094,0.031
37.000,1819,11.6,86.3,10.980,5.566,3.443,1.933,0.094,0.031
38.000,1859,9.9,100.8,12.945,6.516,3.804,1.945,0.094,0.031
39.000,1897,9.9,101.1,12.933,6.837,3.736,1.954,0.094,0.031
40.000,1937,10.4,95.8,12.221,6.465,3.510,1.980,0.130,0.031
41.000,1982,12,83,9.644,5.932,3.244,1.976,0.096,0.033
42.000,2033,13.4,74.7,7.453,5.858,3.286,1.994,0.094,0.031
43.000,2084,12.9,77.7,8.103,5.928,3.108,2.027,0.095,0.031
44.000,2133,12.4,80.9,8.585,5.958,3.682,1.920,0.094,0.031
45.000,2181,12.9,77.4,8.291,5.825,3.814,1.933,0.094,0.031
46.001,2232,13.3,75.2,8.402,5.017,3.778,1.994,0.094,0.031
47.000,2287,15.1,66.1,6.597,4.438,3.550,1.979,0.094,0.031
48.000,2352,17.2,58.2,4.807,4.286,3.205,2.000,0.095,0.031
49.000,2410,14.9,67,6.939,4.757,3.337,1.942,0.095,0.031
50.000,2453,10.8,92.5,12.138,5.967,3.508,2.013,0.094,0.031
51.000,2492,9.6,104.4,13.083,6.833,3.748,1.988,0.094,0.031
52.000,2530,10.1,99.4,12.761,6.774,3.662,1.951,0.094,0.036
53.000,2571,11.1,90.1,11.146,6.207,3.341,1.978,0.094,0.031
54.000,2619,12.5,79.7,8.635,5.843,3.166,1.988,0.095,0.031
55.000,2672,13.6,73.4,7.039,5.965,3.272,1.954,0.094,0.031
56.000,2721,12.6,79.5,8.336,6.084,3.422,1.931,0.094,0.031
57.000,2770,12.6,79.7,8.670,5.902,3.756,1.958,0.095,0.031
58.000,2819,12.9,77.4,8.517,5.466,3.791,1.950,0.094,0.032
59.000,2870,13.7,73.1,7.791,4.720,3.651,1.946,0.095,0.031
60.000,2930,16.1,62.1,5.937,4.168,3.153,2.028,0.094,0.032
61.000,2994,15.9,62.9,5.739,4.460,3.135,2.030,0.099,0.031
62.000,3046,12,83.1,10.526,5.381,3.396,1.912,0.094,0.031
63.000,3086,10.1,98.9,12.966,6.444,3.730,1.980,0.095,0.031
64.000,3124,10,100.1,13.003,6.777,3.783,1.977,0.094,0.032
65.000,3163,10.4,96.2,12.327,6.507,3.683,1.975,0.101,0.031
66.000,3207,11.9,84,10.093,6.040,3.232,2.057,0.094,0.031
67.000,3258,13.3,75.1,7.653,5.730,3.313,2.005,0.094,0.031
68.001,3310,13.3,75.3,7.665,5.965,3.117,1.936,0.094,0.031
69.000,3359,12.5,80.3,8.529,5.961,3.608,1.954,0.094,0.031
70.000,3407,12.7,78.6,8.462,5.806,3.799,1.920,0.094,0.031
71.000,3457,13.2,75.8,8.428,5.181,3.795,1.958,0.094,0.031
72.000,3512,14.7,67.8,6.828,4.505,3.521,1.974,0.094,0.032
