time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,45,11.2,89.6,13.386,2.188,7.062,-1,0.093,0.031
2.000,97,14.1,70.9,13.426,1.041,3.651,-1,0.094,0.031
3.000,150,13.6,73.4,13.027,1.274,4.538,-1,0.094,0.031
4.000,195,11.4,87.6,12.922,1.898,7.009,-1,0.098,0.031
5.000,242,12.3,81.2,9.490,2.640,8.370,-1,0.093,0.031
6.000,290,12,83.4,9.070,2.436,8.510,-1,0.093,0.031
7.000,332,10.6,94.7,12.510,2.721,8.712,-1,0.093,0.032
8.000,378,12.7,79,11.018,2.197,6.565,-1,0.093,0.031
9.000,428,13,77.1,13.688,1.376,4.354,-1,0.094,0.031
10.000,470,10.4,96.2,12.946,2.657,9.043,-1,0.093,0.031
11.000,511,10.9,91.5,10.384,2.676,9.924,-1,0.122,0.031
12.000,555,11.3,88.3,10.077,2.591,9.468,-1,0.093,0.031
13.000,597,10.7,93.3,12.988,2.476,8.382,-1,0.093,0.031
14.000,644,13,76.8,13.063,1.454,5.117,-1,0.094,0.031
15.000,698,14.6,68.5,12.899,1.037,3.436,-1,0.093,0.031
16.000,748,12.7,78.9,12.965,1.582,5.516,-1,0.093,0.031
17.000,794,11.7,85.6,11.361,2.497,7.586,-1,0.093,0.031
18.000,842,12.3,81.5,9.026,2.607,8.745,-1,0.093,0.031
19.000,887,11,90.5,10.424,2.550,8.639,-1,0.093,0.031
20.000,929,11,90.6,11.959,2.655,8.218,-1,0.093,0.031
21.000,979,13.4,74.6,12.628,1.564,4.858,-1,0.093,0.031
22.000,1026,11.7,85.4,12.542,2.420,6.830,-1,0.094,0.031
23.000,1066,10,99.5,12.438,2.891,9.727,-1,0.100,0.031
24.000,1109,11.3,88.7,9.522,2.699,9.984,-1,0.093,0.031
25.001,1153,10.8,92.3,11.145,2.744,9.058,-1,0.094,0.031
26.000,1194,11.2,89.6,13.292,2.047,7.543,-1,0.093,0.031
27.000,1246,14.1,70.8,13.212,1.055,3.715,-1,0.098,0.032
28.000,1300,14.1,70.8,12.847,1.150,4.019,-1,0.094,0.031
29.000,1347,11.9,84.1,12.822,1.906,6.460,-1,0.094,0.031
30.000,1394,12.4,80.8,9.827,2.349,8.177,-1,0.093,0.031
31.000,1442,12,83.1,9.197,2.490,8.539,-1,0.093,0.031
32.000,1484,10.5,95.5,12.397,2.661,8.810,-1,0.093,0.031
33.000,1529,12.3,81.3,10.959,2.250,6.981,-1,0.093,0.032
34.000,1580,13.3,75,13.946,1.284,4.132,-1,0.094,0.031
35.000,1623,10.6,94.2,12.666,2.579,8.131,-1,0.093,0.031
36.000,1663,10.8,93,11.066,2.777,10.031,-1,0.094,0.031
37.000,1708,11.4,87.5,9.576,2.555,9.500,-1,0.093,0.031
38.000,1750,10.6,94.3,12.816,2.490,8.462,-1,0.093,0.031
39.000,1795,12.6,79.7,13.083,1.513,5.556,-1,0.094,0.031
40.000,1849,14.7,68,13.058,0.987,3.402,-1,0.094,0.031
41.000,1901,12.9,77.6,12.967,1.443,5.153,-1,0.094,0.031
42.000,1946,11.7,85.8,11.989,2.249,7.297,-1,0.122,0.032
43.000,1994,12.4,80.7,9.058,2.546,8.606,-1,0.093,0.031
44.000,2040,11.4,87.3,10.282,2.580,8.760,-1,0.093,0.031
45.000,2082,10.9,91.9,12.204,2.704,8.435,-1,0.093,0.032
46.000,2130,13.1,76.2,12.016,1.753,5.477,-1,0.099,0.031
47.000,2179,12.1,82.3,12.784,2.101,6.213,-1,0.094,0.031
48.000,2219,10,100,12.861,2.736,9.389,-1,0.093,0.032
