time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.001,128,32.5,30.7,2.395,1.408,3.651,-1,0.137,0.047
2.000,257,33.9,29.5,2.058,1.471,3.474,-1,0.128,0.031
3.000,390,34.4,29.1,2.035,1.555,3.281,-1,0.124,0.031
4.000,522,34.4,29.1,2.508,1.237,3.177,-1,0.094,0.033
5.000,661,36.9,27.1,2.741,1.254,2.478,-1,0.096,0.033
6.000,801,35.1,28.5,2.600,1.078,2.972,-1,0.095,0.031
7.000,929,32.2,31.1,2.652,1.221,3.532,-1,0.095,0.031
8.000,1063,36.8,27.2,2.126,1.121,3.178,-1,0.095,0.043
9.000,1207,83.1,12,1.880,0.931,3.139,-1,0.104,0.032
10.000,1331,30,33.4,2.427,1.493,3.978,-1,0.094,0.031
11.000,1446,29.6,33.8,2.773,1.581,3.775,-1,0.094,0.033
12.000,1568,32.6,30.7,2.829,1.090,3.132,-1,0.109,0.031
13.000,1697,32.7,30.6,2.761,1.185,3.243,-1,0.096,0.031
14.000,1828,34,29.4,2.170,1.269,3.309,-1,0.095,0.031
15.000,1965,34.9,28.6,2.007,1.345,3.238,-1,0.100,0.031
16.000,2101,35,28.6,2.112,1.491,3.218,-1,0.104,0.033
17.000,2240,36.1,27.7,2.813,0.916,2.740,-1,0.096,0.031
18.000,2383,38,26.3,2.584,1.271,2.539,-1,0.096,0.031
19.000,2517,34,29.4,2.637,1.176,3.163,-1,0.094,0.031
20.000,2643,32.4,30.9,2.372,1.352,3.718,-1,0.094,0.032
21.000,2785,43.7,22.9,2.020,1.062,2.964,-1,0.098,0.033
22.001,2926,47.4,21.1,2.102,1.072,3.548,-1,0.107,0.033
23.000,3041,29.2,34.3,2.725,1.379,3.917,-1,0.094,0.031
24.000,3158,30.5,32.8,2.572,1.545,3.943,-1,0.094,0.031
25.000,3285,33.3,30,2.884,1.032,3.053,-1,0.095,0.033
26.000,3414,33.3,30,2.452,1.273,3.246,-1,0.109,0.031
27.001,3548,34.9,28.7,2.059,1.293,3.247,-1,0.097,0.031
28.000,3685,35.4,28.2,1.990,1.472,3.210,-1,0.096,0.031
29.000,3821,35.7,28,2.415,1.249,2.967,-1,0.098,0.031
30.000,3962,37.4,26.7,2.769,1.095,2.509,-1,0.096,0.032
31.000,4103,35.4,28.2,2.657,1.100,2.829,-1,0.095,0.031
32.000,4231,32.3,30.9,2.673,1.268,3.291,-1,0.094,0.031
33.000,4363,35.3,28.3,2.195,1.182,3.239,-1,0.105,0.031
34.000,4508,123.7,8.1,1.863,0.837,2.843,-1,0.102,0.032
35.000,4638,30.7,32.5,2.407,1.442,3.824,-1,0.106,0.032
36.000,4753,29.5,34,2.858,1.201,3.853,-1,0.094,0.031
37.000,4874,31.9,31.3,2.716,1.343,3.296,-1,0.098,0.032
38.000,5003,32.6,30.7,2.799,1.147,3.125,-1,0.094,0.032
39.000,5134,34.1,29.3,2.189,1.331,3.324,-1,0.094,0.033
40.000,5270,35,28.5,2.020,1.463,3.240,-1,0.106,0.031
41.000,5407,35.2,28.4,2.063,1.505,3.172,-1,0.096,0.031
42.000,5544,35.4,28.2,2.733,0.980,2.915,-1,0.096,0.031
43.000,5688,37.5,26.7,2.606,1.246,2.492,-1,0.097,0.031
44.000,5824,34.7,28.8,2.539,1.169,3.107,-1,0.095,0.049
45.000,5950,32.4,30.9,2.470,1.441,3.521,-1,0.096,0.031
46.000,6089,45.3,22.1,2.102,1.099,2.898,-1,0.099,0.032
47.000,6231,52.1,19.2,1.976,1.076,3.545,-1,0.098,0.032
48.000,6349,29.3,34.1,2.647,1.249,4.172,-1,0.097,0.031
49.000,6464,30,33.4,2.672,1.528,3.926,-1,0.094,0.031
50.000,6591,33.6,29.7,2.853,1.099,2.977,-1,0.097,0.031
51.000,6719,33,30.3,2.560,1.160,3.395,-1,0.127,0.031
52.000,6853,34.5,29,2.066,1.419,3.275,-1,0.094,0.031
53.000,6990,35.2,28.4,1.999,1.463,3.244,-1,0.094,0.031
54.001,7127,35.2,28.4,2.271,1.413,3.042,-1,0.094,0.035
55.000,7267,36.9,27.1,2.768,1.075,2.631,-1,0.095,0.031
56.000,7409,36.4,27.5,2.571,1.108,2.747,-1,0.095,0.031
57.000,7539,32.1,31.1,2.682,1.200,3.395,-1,0.094,0.031
58.000,7669,34.4,29,2.264,1.172,3.339,-1,0.113,0.031
59.000,7813,98,10.2,1.985,0.857,2.872,-1,0.097,0.032
60.000,7947,32.7,30.6,2.324,1.448,3.644,-1,0.110,0.031
61.000,8062,29.3,34.2,2.847,1.170,3.959,-1,0.094,0.031
62.000,8181,31.2,32,2.742,1.365,3.485,-1,0.095,0.032
63.000,8311,33,30.3,2.881,1.067,3.095,-1,0.095,0.033
64.000,8441,33.6,29.8,2.278,1.298,3.354,-1,0.094,0.032
65.000,8576,34.9,28.6,2.003,1.337,3.197,-1,0.106,0.031
66.000,8713,35.1,28.5,2.011,1.530,3.194,-1,0.094,0.031
67.000,8850,35,28.5,2.607,1.080,3.009,-1,0.096,0.031
68.000,8993,37.4,26.7,2.725,1.151,2.507,-1,0.098,0.032
69.001,9131,35.1,28.5,2.553,1.180,3.056,-1,0.112,0.031
70.000,9257,32.1,31.2,2.625,1.161,3.389,-1,0.096,0.033
71.001,9395,44,22.7,2.052,1.073,2.950,-1,0.098,0.032
72.000,9538,68.1,14.7,1.961,1.024,3.287,-1,0.101,0.031
73.001,9658,29.6,33.8,2.564,1.321,4.022,-1,0.094,0.031
74.000,9773,29.7,33.6,2.753,1.403,3.806,-1,0.109,0.031
75.000,9898,33.4,30,2.819,1.118,3.201,-1,0.095,0.031
76.001,10027,32.7,30.6,2.620,1.204,3.290,-1,0.100,0.031
77.000,10159,34.4,29.1,2.083,1.320,3.242,-1,0.093,0.031
78.000,10296,35.3,28.3,2.009,1.486,3.151,-1,0.094,0.032
79.000,10431,34.6,28.9,2.197,1.373,3.334,-1,0.095,0.031
80.000,10570,36.6,27.3,2.826,1.026,2.729,-1,0.095,0.041
81.000,10713,37,27,2.730,1.027,2.665,-1,0.097,0.032
82.001,10845,32.7,30.6,2.631,1.283,3.222,-1,0.094,0.031
83.000,10972,33.5,29.9,2.307,1.275,3.413,-1,0.094,0.031
84.000,11116,75.3,13.3,1.961,0.896,2.848,-1,0.105,0.032
85.000,11251,32.2,31.1,2.255,1.431,3.611,-1,0.097,0.031
86.000,11366,29.3,34.1,2.730,1.339,3.804,-1,0.094,0.034
87.000,11483,30.6,32.7,2.708,1.400,3.670,-1,0.101,0.031
88.000,11612,33.3,30,2.878,1.053,3.035,-1,0.097,0.031
89.000,11741,33.8,29.6,2.322,1.396,3.338,-1,0.094,0.032
90.000,11877,35,28.6,2.041,1.376,3.248,-1,0.098,0.031
91.000,12014,35.2,28.4,2.029,1.495,3.203,-1,0.104,0.032
92.000,12150,35.4,28.2,2.516,1.167,3.020,-1,0.106,0.031
93.000,12292,37.8,26.4,2.814,0.940,2.574,-1,0.095,0.031
