time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,27,6,167.4,13.138,9.254,19.280,-1,0.094,0.031
2.000,50,6.1,165.3,12.512,10.039,19.003,-1,0.094,0.031
3.000,76,6.9,144.9,11.643,8.546,17.363,-1,0.094,0.031
4.000,102,6.3,157.7,12.348,9.103,17.629,-1,0.095,0.031
5.001,128,6.6,152.4,10.747,8.593,18.511,-1,0.094,0.031
6.000,156,7.6,132.2,10.408,7.499,15.613,-1,0.103,0.031
7.000,188,8.1,123.5,9.937,7.238,14.243,-1,0.103,0.032
8.000,221,8.9,112.9,10.411,6.338,13.008,-1,0.093,0.031
9.000,257,9.4,106.4,10.151,5.633,10.589,-1,0.094,0.032
10.000,295,9.5,105.2,9.195,6.097,10.472,-1,0.094,0.031
11.000,332,9.1,109.5,9.104,6.169,12.614,-1,0.094,0.031
12.000,362,6.8,147,13.406,7.831,14.798,-1,0.093,0.033
13.000,386,6.2,160.7,13.558,8.707,18.882,-1,0.094,0.031
14.000,410,6.1,164.9,12.318,9.178,19.611,-1,0.094,0.031
15.000,434,6.4,155.3,12.255,8.911,19.396,-1,0.095,0.031
16.000,461,6.8,146.5,11.012,7.889,16.874,-1,0.095,0.031
17.000,486,6.1,163.5,11.941,9.379,19.785,-1,0.094,0.032
18.000,513,7.1,140.4,10.989,8.015,17.111,-1,0.094,0.075
19.000,543,7.9,126.7,10.435,7.097,14.878,-1,0.094,0.031
20.000,575,8.3,120.4,9.643,6.764,12.799,-1,0.094,0.032
21.000,610,9.1,109.5,10.499,5.816,11.581,-1,0.094,0.031
22.000,647,9.9,101.3,8.999,6.327,10.553,-1,0.094,0.031
23.000,686,10.2,98,8.014,6.232,10.112,-1,0.095,0.031
24.000,720,8.7,114.4,10.483,6.644,11.632,-1,0.094,0.031
25.000,746,6.5,153.8,12.852,8.646,17.438,-1,0.094,0.031
26.000,770,6,165.7,13.304,9.206,18.904,-1,0.094,0.031
27.000,794,6.1,162.7,12.495,9.238,19.764,-1,0.095,0.032
28.000,820,6.9,144.1,11.766,7.929,17.939,-1,0.102,0.031
29.000,847,6.7,150,11.705,7.980,19.112,-1,0.094,0.031
30.000,872,6.7,150.1,10.280,8.609,18.961,-1,0.095,0.031
31.000,901,7.6,131.5,10.156,7.580,15.718,-1,0.094,0.031
32.000,932,8.1,122.8,10.140,7.244,14.441,-1,0.108,0.031
33.000,965,8.6,116.2,10.030,6.041,12.473,-1,0.094,0.031
34.000,1001,9.3,107,9.991,5.675,11.294,-1,0.095,0.031
35.000,1039,9.7,102.6,9.482,6.178,10.540,-1,0.133,0.031
36.000,1076,9.2,108.2,8.577,6.309,11.413,-1,0.101,0.031
37.000,1107,7,143.2,13.609,7.326,15.273,-1,0.094,0.031
38.000,1132,6.3,158.8,13.631,8.429,18.769,-1,0.094,0.031
39.000,1156,6.2,162.1,12.538,9.532,19.096,-1,0.095,0.031
40.000,1181,6.3,158.6,12.246,8.749,18.776,-1,0.095,0.031
41.001,1208,7,143,11.177,7.530,17.703,-1,0.094,0.032
42.000,1233,6.5,153.2,10.938,8.794,18.615,-1,0.094,0.031
43.001,1260,6.9,145.9,10.418,8.344,17.808,-1,0.094,0.031
44.000,1290,7.8,128,10.342,7.311,13.887,-1,0.094,0.031
45.000,1321,8.3,120.9,9.887,7.158,13.673,-1,0.100,0.031
46.000,1356,8.9,112.6,9.658,5.943,11.962,-1,0.094,0.036
47.000,1393,9.7,102.6,9.061,5.484,10.492,-1,0.095,0.031
48.000,1431,10,99.9,8.284,6.625,10.606,-1,0.094,0.032
