time,run,ssim_global,ssim_indirect,lpips_global,lpips_indirect,psnr_global,psnr_indirect
0.25,1,0.7369251,0.8270033,0.2378820925951004,0.21938860416412354,26.40884330350012,28.326268296086234
0.5,1,0.8819584,0.8951199,0.15532450377941132,0.16092287003993988,33.151732925437194,32.97242862788811
0.75,1,0.91767573,0.92552453,0.12870830297470093,0.13223539292812347,35.4506772751879,35.36046061748542
1.0,1,0.9364002,0.939152,0.11041983217000961,0.11559400707483292,36.944240980829164,36.607427272541635
1.25,1,0.9481206,0.94946575,0.09662549942731857,0.10294753313064575,38.05741596844232,37.67882050864668
1.5,1,0.9559029,0.9574127,0.08621377497911453,0.09321485459804535,38.92992537005953,38.63518093040415
1.751,1,0.9616585,0.9621045,0.07903097569942474,0.08577311784029007,39.65049758462291,39.25481625885596
2.0,1,0.9656472,0.9662962,0.07239311188459396,0.0775042250752449,40.20944566704901,39.86741799367931
2.25,1,0.9692294,0.96924037,0.06663727015256882,0.07292482256889343,40.75728092097786,40.33422893928453
2.5,1,0.97211057,0.9723127,0.06148352101445198,0.06742936372756958,41.23421133262372,40.85944422901542
2.75,1,0.97448295,0.9744999,0.05703195556998253,0.06310945004224777,41.66393948281989,41.27406020800792
3.0,1,0.9763742,0.9761775,0.053799621760845184,0.05946940928697586,42.04251349501159,41.612896236742564
3.25,1,0.9780012,0.978038,0.05032115802168846,0.0555155947804451,42.38418802082349,42.00778013609277
3.5,1,0.9793244,0.9791425,0.04738606512546539,0.05285591632127762,42.68235914640076,42.261148507562254
3.75,1,0.98059225,0.9804986,0.044678594917058945,0.050091229379177094,42.980589076956605,42.58804520096867
4.0,1,0.98170143,0.98163754,0.04236224293708801,0.04759259149432182,43.262538499835216,42.87619514763524
4.25,1,0.98270726,0.9825373,0.040175456553697586,0.04557463526725769,43.53158403489889,43.11725960776066
4.5,1,0.9835617,0.9834787,0.03834257274866104,0.04311840236186981,43.76520659544269,43.380961283059506
4.75,1,0.9843693,0.9841671,0.03652019053697586,0.041605670005083084,44.00563975714058,43.58886078214318
5.0,1,0.9850917,0.98487926,0.03480137884616852,0.03940211236476898,44.22818696197076,43.80878262650687
5.25,1,0.9856622,0.98554,0.03339902684092522,0.03749479725956917,44.4175645514736,44.024492507674545
5.5,1,0.9862778,0.9861333,0.03196670114994049,0.036134395748376846,44.6197072382531,44.220968953552706
5.75,1,0.9868336,0.9866498,0.030540993437170982,0.034734006971120834,44.80787744130726,44.39929132496057
6.0,1,0.9873187,0.98715997,0.02913810685276985,0.03307533264160156,44.98338981505745,44.581948922144264
6.25,1,0.98775977,0.9875935,0.02782512456178665,0.03148335590958595,45.14872851813174,44.74372553935672
6.5,1,0.98814845,0.98799086,0.026701856404542923,0.03055517002940178,45.30181806477096,44.891653612075686
6.75,1,0.98849875,0.98833483,0.025830266997218132,0.02962067723274231,45.443104347315646,45.032929866783945
7.0,1,0.9888587,0.98870987,0.025012779980897903,0.02859591692686081,45.59555669920271,45.189904681501275
7.25,1,0.9891984,0.9890981,0.02411029301583767,0.027550065889954567,45.7392014094119,45.34910685210807
7.5,1,0.9895351,0.98939496,0.023178553208708763,0.026560215279459953,45.884506266227085,45.48299986309218
7.75,1,0.989814,0.98969764,0.02236764132976532,0.025943204760551453,46.014128104943026,45.61891279119095
8.0,1,0.99008274,0.98995495,0.021403973922133446,0.024987153708934784,46.14135892970856,45.7414943244176
8.25,1,0.99035734,0.99026924,0.020772051066160202,0.024028737097978592,46.26581477404352,45.88232063109003
