time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,11,2.2,464.6,103.032,17.263,6.405,-1,0.092,0.031
2.000,19,2,503.9,100.387,10.571,4.851,-1,0.092,0.030
3.000,27,2.2,450.2,112.646,8.871,3.995,-1,0.094,0.031
4.000,35,2.2,458.4,104.004,9.542,4.412,-1,0.094,0.031
5.000,45,2.9,339.5,66.619,18.227,6.197,-1,0.094,0.136
6.000,57,3.1,323.4,57.141,19.410,7.387,-1,0.093,0.031
7.000,66,2.1,472.1,91.035,20.008,7.683,-1,0.094,0.031
8.000,77,3.1,318.4,75.472,18.804,7.763,-1,0.095,0.031
9.000,85,2.1,480.9,120.158,8.394,4.767,-1,0.093,0.031
10.000,95,2.3,436.8,85.757,13.749,7.857,-1,0.094,0.030
11.000,104,2.5,393.2,84.305,19.644,8.828,-1,0.094,0.031
12.000,115,2.9,344.1,58.710,21.652,8.499,-1,0.094,0.031
13.000,126,2.3,439.4,70.486,21.827,7.669,-1,0.094,0.031
14.000,134,2.1,471.1,100.391,16.016,6.093,-1,0.093,0.031
15.000,142,2,508.2,114.625,9.239,3.542,-1,0.095,0.031
16.000,150,2.1,466.3,105.437,9.447,4.058,-1,0.094,0.032
17.000,159,2.5,405.2,104.971,10.344,5.122,-1,0.093,0.033
18.000,170,3,331.3,57.700,19.644,6.797,-1,0.093,0.031
19.000,181,2.6,378.2,65.229,20.359,7.490,-1,0.093,0.031
20.000,190,2.3,437.3,88.989,17.000,7.526,-1,0.202,0.031
21.000,200,2.8,354.9,77.619,9.466,6.256,-1,0.095,0.031
22.000,209,2.4,423,100.189,8.515,5.235,-1,0.095,0.030
23.000,218,2.1,474,88.352,19.346,8.696,-1,0.093,0.031
24.000,229,3.1,320.5,45.852,20.908,9.099,-1,0.096,0.031
25.000,240,2.8,354.7,62.212,22.550,8.217,-1,0.093,0.031
26.000,249,2.2,456.5,96.242,15.224,6.746,-1,0.094,0.032
27.000,257,2.2,459.9,103.253,10.446,5.654,-1,0.094,0.031
28.000,265,2.2,459.5,111.079,7.574,4.116,-1,0.095,0.031
29.000,273,2.2,453.5,104.325,9.546,4.307,-1,0.093,0.031
30.000,283,3,338,68.485,14.765,5.986,-1,0.093,0.031
31.000,295,2.9,339.4,58.287,21.825,7.292,-1,0.094,0.031
32.000,305,2.2,462.4,73.115,19.373,7.926,-1,0.094,0.031
33.000,313,2.5,401.2,85.901,19.141,8.178,-1,0.095,0.031
34.000,323,2.1,470,95.984,8.556,5.129,-1,0.095,0.031
35.000,332,2.6,391.3,84.071,15.229,7.188,-1,0.094,0.031
36.000,341,2.3,430.8,88.480,21.884,9.773,-1,0.094,0.031
37.000,352,2.8,357.2,59.154,19.759,8.499,-1,0.094,0.031
38.000,362,2.6,377.6,67.929,18.723,8.078,-1,0.094,0.030
39.000,370,2.1,484.7,97.576,15.303,6.963,-1,0.094,0.031
40.000,378,2.1,487,120.603,9.440,4.253,-1,0.095,0.030
41.000,386,2.3,438.4,107.152,9.325,4.443,-1,0.094,0.032
42.000,395,2.3,444.4,104.651,10.351,5.527,-1,0.094,0.031
43.000,406,2.9,344.3,60.103,19.401,7.055,-1,0.095,0.031
44.000,417,2.7,364.2,65.547,20.906,7.825,-1,0.094,0.032
45.000,425,2.1,477.2,89.406,19.068,7.858,-1,0.094,0.031
46.000,436,3.3,306.3,67.007,13.282,7.711,-1,0.095,0.031
47.000,444,1.9,522.8,120.704,7.479,4.816,-1,0.095,0.303
48.000,453,2.2,447.1,85.081,20.445,8.190,-1,0.094,0.030
49.000,464,3,330.4,69.745,21.062,8.852,-1,0.095,0.031
50.000,475,2.9,348.9,62.817,21.661,8.162,-1,0.095,0.031
51.000,484,2.4,424.7,79.947,22.943,7.571,-1,0.094,0.031
52.000,492,2.2,456.8,104.614,12.855,5.707,-1,0.094,0.031
53.000,499,2.1,469.3,110.714,8.988,4.023,-1,0.095,0.031
54.000,508,2.2,449.3,108.313,10.456,5.024,-1,0.093,0.030
55.000,517,2.6,382.9,82.256,16.479,6.293,-1,0.093,0.032
56.000,529,3,337.9,59.349,22.650,7.597,-1,0.094,0.031
57.000,539,2.3,430.8,68.718,20.877,7.894,-1,0.095,0.031
58.000,548,2.5,392.2,79.208,20.272,7.994,-1,0.095,0.031
59.000,558,2.4,416.2,87.781,9.632,7.212,-1,0.094,0.031
