time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,21,5,201.9,37.637,12.897,5.847,-1,0.095,0.031
2.000,41,5.3,188.8,31.201,9.856,6.432,-1,0.095,0.033
3.000,61,5.1,195.5,30.110,13.493,7.234,-1,0.094,0.031
4.000,80,4.7,211.2,34.503,13.760,5.655,-1,0.095,0.031
5.000,99,5.2,191.1,36.236,8.565,4.366,-1,0.095,0.031
6.000,120,5.7,175.3,33.579,9.108,4.063,-1,0.096,0.032
7.000,141,5.3,190,35.883,9.103,4.147,-1,0.094,0.031
8.000,162,5.9,168.4,31.437,9.132,4.672,-1,0.096,0.031
9.000,185,6.1,163.7,28.434,8.998,4.404,-1,0.097,0.031
10.000,205,5,198.6,33.801,13.215,4.703,-1,0.106,0.040
11.000,223,4.7,214.8,37.382,17.431,4.991,-1,0.095,0.031
12.000,241,4.8,208.3,35.561,14.649,4.743,-1,0.096,0.031
13.000,259,4.7,212.4,37.504,12.801,4.903,-1,0.095,0.031
14.000,278,5.1,197.2,34.507,11.047,6.023,-1,0.095,0.031
15.000,298,5.3,186.9,28.761,13.699,6.159,-1,0.095,0.031
16.000,318,5.1,195.8,31.434,12.347,6.335,-1,0.094,0.031
17.000,336,5.1,195.4,36.598,9.877,4.555,-1,0.160,0.031
18.000,357,5.6,178.8,34.523,8.551,3.896,-1,0.094,0.031
19.000,378,5.6,177.4,34.161,9.048,3.986,-1,0.096,0.032
20.000,398,5.3,188.2,35.731,9.354,4.621,-1,0.095,0.031
21.000,421,6.3,158.6,29.506,8.870,4.709,-1,0.096,0.031
22.000,443,5.9,168.1,30.266,11.119,4.969,-1,0.096,0.031
23.000,462,4.7,213.4,36.619,14.545,5.103,-1,0.094,0.031
24.000,480,4.6,215.3,36.531,15.365,4.486,-1,0.095,0.031
25.000,498,4.8,210.1,36.759,11.847,4.433,-1,0.095,0.031
26.001,516,4.7,211.6,37.423,12.029,5.762,-1,0.094,0.032
27.000,535,5.5,181.7,31.278,9.990,6.617,-1,0.096,0.031
28.000,556,5.5,182.4,29.313,10.776,6.062,-1,0.095,0.030
29.000,577,5.2,192.3,31.130,12.158,5.678,-1,0.095,0.031
30.000,597,5.3,188.5,36.677,8.221,4.495,-1,0.095,0.031
31.000,617,5.6,177.4,33.495,8.998,4.084,-1,0.095,0.031
32.000,638,5.3,188.3,35.728,9.343,4.125,-1,0.095,0.031
33.000,660,6,166.7,31.622,11.220,4.487,-1,0.095,0.031
34.000,683,6.3,159.6,28.912,8.852,4.722,-1,0.108,0.031
35.000,704,5.4,184.3,30.963,8.984,5.037,-1,0.096,0.031
36.000,722,4.7,213.7,37.294,13.507,4.765,-1,0.096,0.032
37.000,740,4.7,212.7,36.222,15.287,4.836,-1,0.096,0.031
38.000,758,4.8,208,38.420,11.376,4.782,-1,0.096,0.031
39.000,776,5.2,192.1,34.472,12.718,5.833,-1,0.095,0.031
40.000,796,5,200,30.284,13.008,6.732,-1,0.095,0.031
41.000,817,5.3,187.1,30.426,12.930,5.821,-1,0.095,0.031
42.000,836,5,200.5,35.090,10.902,5.259,-1,0.095,0.031
43.000,856,5.4,186.1,36.630,8.405,3.875,-1,0.094,0.031
44.000,877,5.6,178.2,34.096,9.032,3.834,-1,0.095,0.031
45.000,897,5.3,189.3,33.562,9.743,4.182,-1,0.095,0.031
46.000,919,6.1,162.9,29.183,8.906,4.375,-1,0.095,0.031
47.000,942,6.1,164.7,29.986,8.925,4.907,-1,0.097,0.031
48.000,962,5,198.4,34.648,9.930,4.840,-1,0.096,0.031
49.000,980,4.7,212.9,36.461,17.472,4.373,-1,0.095,0.031
50.000,998,4.8,208.1,35.299,12.499,3.997,-1,0.095,0.031
51.000,1015,4.4,229.3,36.863,14.921,5.957,-1,0.094,0.031
52.000,1035,5.5,183.4,32.382,11.561,6.096,-1,0.095,0.031
53.000,1055,5.3,187.4,30.343,13.403,6.233,-1,0.095,0.031
54.000,1076,5.4,184.5,31.468,11.814,5.606,-1,0.095,0.031
55.000,1096,5.5,183,35.617,9.457,4.227,-1,0.095,0.031
56.000,1117,5.6,178,33.494,8.719,3.661,-1,0.094,0.031
57.000,1138,5.6,180,32.494,9.158,3.894,-1,0.096,0.031
58.000,1159,5.8,173.4,33.182,11.099,4.409,-1,0.094,0.031
59.000,1182,6.3,158.9,28.842,8.646,4.267,-1,0.095,0.032
