time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,11,2.4,415.3,136.345,35.823,15.769,-1,0.099,0.031
2.000,20,2.5,397.4,51.059,37.135,15.342,-1,0.094,0.031
3.000,30,2.6,379.8,49.861,34.829,14.022,-1,0.094,0.031
4.000,41,2.9,345.1,42.413,34.851,13.525,-1,0.094,0.031
5.000,52,2.9,344.1,40.185,36.010,14.159,-1,0.094,0.032
6.000,64,2.9,340.5,40.642,30.891,12.996,-1,0.093,0.031
7.000,75,3.1,323.4,42.896,30.056,14.554,-1,0.093,0.031
8.000,88,3.2,315.3,39.241,28.683,14.753,-1,0.094,0.031
9.000,100,3.3,305.8,39.570,23.989,14.550,-1,0.093,0.031
10.000,114,3.7,272.3,34.035,25.399,13.524,-1,0.093,0.031
11.000,127,3.3,304.6,35.893,29.371,13.467,-1,0.094,0.032
12.000,138,2.5,401.6,52.207,29.233,13.284,-1,0.094,0.031
13.000,147,2.2,463.3,64.523,34.290,14.647,-1,0.094,0.032
14.000,156,2.4,417.1,55.119,36.903,15.140,-1,0.094,0.032
15.000,166,2.5,400.5,54.581,38.051,14.701,-1,0.095,0.031
16.000,176,2.7,364.3,47.267,33.669,13.403,-1,0.094,0.032
17.000,187,2.9,349.8,46.820,33.454,13.688,-1,0.094,0.031
18.000,198,2.9,341.7,41.770,35.313,12.817,-1,0.094,0.031
19.000,210,3,330.8,46.480,31.791,14.233,-1,0.094,0.032
20.000,221,3,332.5,38.506,30.338,14.861,-1,0.220,0.032
21.000,234,3.1,319.7,40.170,26.332,14.764,-1,0.094,0.031
22.000,246,3.4,290.2,36.914,25.209,14.233,-1,0.094,0.031
23.000,260,3.6,280.1,34.327,23.304,13.204,-1,0.095,0.031
24.001,274,3.3,306.6,41.830,31.294,13.655,-1,0.095,0.031
25.000,282,2.3,426.5,60.607,37.612,13.992,-1,0.094,0.031
26.000,291,2.3,440.9,64.474,38.231,15.076,-1,0.095,0.031
27.000,300,2.5,401.9,51.533,37.511,15.002,-1,0.095,0.031
28.000,310,2.6,381.6,53.629,37.049,15.015,-1,0.095,0.031
29.000,320,2.8,353.3,43.586,32.801,13.526,-1,0.095,0.031
30.000,331,2.8,353.9,44.573,36.812,14.172,-1,0.095,0.031
31.000,343,3,337,40.066,33.579,13.053,-1,0.095,0.203
32.000,355,3.2,316.3,39.655,32.086,14.606,-1,0.094,0.031
33.000,366,3.2,316.7,38.669,29.245,15.324,-1,0.094,0.031
34.000,378,3.1,323.7,41.036,27.265,14.779,-1,0.095,0.031
35.000,392,3.7,267.4,33.629,22.905,13.858,-1,0.094,0.031
36.000,406,3.6,279.1,28.607,26.750,13.787,-1,0.095,0.031
37.000,417,2.6,384.2,52.965,29.762,13.290,-1,0.095,0.031
38.000,426,2.3,435.7,66.642,35.299,15.278,-1,0.093,0.031
39.000,435,2.4,416.9,60.944,38.174,15.103,-1,0.095,0.030
40.000,444,2.4,415.8,59.763,40.606,14.749,-1,0.096,0.032
41.000,454,2.8,359.5,55.227,35.198,14.822,-1,0.095,0.031
42.000,465,2.8,356.6,45.769,35.548,13.561,-1,0.096,0.031
43.000,476,2.8,351.7,40.498,34.554,13.811,-1,0.095,0.032
44.000,487,3,331.6,40.496,35.417,13.771,-1,0.095,0.031
45.000,499,3.1,321.4,39.078,29.364,15.159,-1,0.094,0.031
46.000,511,3.1,323.7,39.634,28.126,14.969,-1,0.095,0.031
47.000,524,3.5,285.9,38.873,23.643,14.721,-1,0.095,0.031
48.000,538,3.6,275.8,33.142,22.643,13.203,-1,0.095,0.030
49.000,551,3.1,320.3,34.784,29.176,13.566,-1,0.095,0.031
50.000,560,2.4,409.8,57.139,33.255,13.589,-1,0.180,0.031
51.000,569,2.3,430.2,64.485,34.503,14.649,-1,0.185,0.031
52.000,578,2.3,435.1,56.416,36.755,15.109,-1,0.096,0.031
53.000,588,2.6,391.6,52.251,34.378,14.452,-1,0.095,0.031
54.000,599,2.7,367.6,47.928,31.838,13.458,-1,0.095,0.031
55.000,609,2.8,361.2,45.621,35.360,14.499,-1,0.095,0.031
56.000,621,3,332.5,40.405,31.940,13.115,-1,0.111,0.031
57.000,632,3,337.4,39.944,31.006,14.667,-1,0.096,0.032
58.000,644,3,328.5,39.545,28.992,14.962,-1,0.095,0.031
59.000,656,3,328,40.740,26.418,14.874,-1,0.094,0.031
