time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,9,2.1,475.1,97.073,20.874,49.963,-1,0.094,0.031
2.000,16,1.9,522,110.167,9.324,15.929,-1,0.092,0.031
3.001,24,2,496.6,110.165,8.978,13.062,-1,0.093,0.031
4.000,31,1.8,561.1,110.908,10.413,32.474,-1,0.093,0.032
5.000,38,1.9,524,80.880,18.771,48.524,-1,0.092,0.031
6.000,46,2.1,485.9,55.962,20.162,47.096,-1,0.093,0.031
7.000,53,1.7,578.5,79.392,19.744,46.736,-1,0.092,0.031
8.000,60,2.1,475.2,70.595,19.973,30.924,-1,0.093,0.031
9.000,68,2,502.4,94.711,8.760,19.413,-1,0.110,0.031
10.000,76,2,489.7,86.680,15.177,27.252,-1,0.111,0.031
11.000,83,1.8,555.1,75.482,19.800,42.625,-1,0.093,0.031
12.000,91,2,502.3,58.143,19.638,48.226,-1,0.094,0.031
13.000,98,1.8,552.8,62.937,18.913,49.546,-1,0.094,0.031
14.000,104,1.6,628.2,105.111,10.832,44.402,-1,0.094,0.031
15.000,111,1.9,530.6,115.603,7.708,12.415,-1,0.092,0.031
16.000,118,2,500.1,109.487,9.737,20.083,-1,0.094,0.031
17.000,125,1.7,595,109.811,10.414,40.347,-1,0.094,0.031
18.000,132,2,511.8,61.158,19.155,49.830,-1,0.093,0.031
19.000,140,2,509.9,64.534,20.143,46.497,-1,0.094,0.032
20.000,147,1.7,602.6,91.330,18.425,41.541,-1,0.093,0.031
21.000,155,2.4,412.9,69.440,11.464,28.245,-1,0.094,0.031
22.000,163,2,500.8,84.519,16.245,26.071,-1,0.094,0.031
23.000,170,1.8,545.8,83.263,18.708,30.630,-1,0.093,0.031
24.000,178,2,511.6,72.339,19.397,42.882,-1,0.093,0.034
25.000,185,2,500.8,57.798,19.151,47.960,-1,0.094,0.031
26.000,192,1.6,623.3,92.262,21.854,50.691,-1,0.093,0.030
27.000,198,1.9,521.2,113.491,9.478,14.560,-1,0.093,0.031
28.000,206,2,506.1,115.636,7.623,12.037,-1,0.093,0.031
29.000,213,1.8,542.3,110.611,9.647,21.907,-1,0.093,0.031
30.000,220,1.8,553.5,73.193,21.166,48.766,-1,0.094,0.031
31.000,228,2.1,487,57.431,19.504,45.637,-1,0.092,0.031
32.000,235,1.8,562.2,84.613,25.537,45.286,-1,0.093,0.031
33.000,242,2,511.2,88.864,20.147,39.581,-1,0.093,0.033
34.000,250,2.2,463.5,69.214,13.809,23.908,-1,0.093,0.031
35.000,258,2.1,469.3,82.824,9.979,27.289,-1,0.094,0.032
36.000,265,1.8,569.3,92.325,18.263,38.106,-1,0.094,0.032
37.000,273,2,494.8,59.050,20.259,47.141,-1,0.095,0.031
38.000,280,1.9,532.3,63.441,16.351,50.672,-1,0.094,0.032
39.000,286,1.5,648.2,95.557,19.305,50.206,-1,0.094,0.031
40.000,293,1.9,537.6,118.524,16.126,14.448,-1,0.095,0.031
41.000,300,2,491.1,104.342,9.068,14.129,-1,0.094,0.032
42.000,307,1.7,578.5,100.676,10.771,43.555,-1,0.094,0.031
43.000,315,2,506.8,61.007,19.369,49.402,-1,0.095,0.031
44.000,322,2,509.2,66.224,18.979,45.656,-1,0.094,0.031
45.000,329,1.6,610.7,87.861,21.743,45.653,-1,0.094,0.031
46.000,337,2.4,415,72.154,18.135,33.446,-1,0.094,0.032
47.000,345,1.9,526.5,130.800,7.349,11.502,-1,0.094,0.032
48.000,353,1.8,546,87.140,21.904,31.086,-1,0.093,0.031
49.000,360,1.9,527.1,68.262,19.597,43.393,-1,0.094,0.031
50.000,367,2,505.7,62.637,21.492,47.606,-1,0.093,0.032
51.000,374,1.7,598.4,69.494,20.260,50.811,-1,0.094,0.032
52.000,380,1.8,545.5,102.323,10.701,29.678,-1,0.093,0.032
53.000,388,2,508,113.106,8.075,12.730,-1,0.095,0.031
54.000,395,1.9,524.9,111.560,10.184,27.119,-1,0.094,0.032
55.000,402,1.8,568.1,98.052,10.983,44.154,-1,0.094,0.032
56.000,409,2,505.9,60.346,21.342,49.278,-1,0.095,0.031
57.000,417,1.8,541.1,69.472,20.316,47.029,-1,0.094,0.032
58.000,423,1.8,544.8,81.619,19.114,36.618,-1,0.093,0.031
59.000,432,2.3,440,77.145,9.653,23.320,-1,0.095,0.031
