time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,15,4.1,244.5,37.620,13.000,26.516,-1,0.095,0.031
2.000,29,3.8,265.9,31.105,11.842,26.587,-1,0.094,0.032
3.000,44,3.8,260,30.254,13.137,25.053,-1,0.094,0.031
4.000,58,3.8,263.2,32.507,11.325,25.267,-1,0.094,0.031
5.000,74,4.3,231.7,36.969,8.261,16.274,-1,0.095,0.031
6.000,90,4.4,229.1,33.710,8.777,16.889,-1,0.095,0.031
7.000,107,4.2,239.8,34.308,8.985,17.734,-1,0.095,0.031
8.000,123,4.7,214,32.218,8.852,22.669,-1,0.095,0.032
9.000,141,4.8,209.5,28.594,9.400,14.813,-1,0.095,0.031
10.000,157,3.9,255.4,33.271,8.943,23.510,-1,0.096,0.031
11.000,169,3.1,321.3,36.944,16.951,30.585,-1,0.094,0.031
12.000,182,3.3,301.6,34.998,13.666,28.571,-1,0.095,0.031
13.000,195,3.4,296.2,38.011,11.934,26.422,-1,0.094,0.031
14.000,209,3.7,268.7,33.673,9.444,26.015,-1,0.095,0.031
15.000,224,4,253,30.408,11.326,24.756,-1,0.094,0.031
16.000,239,3.8,263,29.695,13.890,24.861,-1,0.095,0.031
17.000,253,3.8,260.4,35.385,8.147,23.665,-1,0.094,0.031
18.000,270,4.4,229,34.833,8.387,15.424,-1,0.095,0.031
19.000,286,4.4,227.4,33.458,8.890,17.292,-1,0.095,0.031
20.000,302,4.2,239.6,34.808,9.042,18.157,-1,0.096,0.031
21.000,320,4.9,204.3,29.133,8.675,17.284,-1,0.106,0.031
22.000,337,4.6,216.8,29.755,8.795,17.397,-1,0.095,0.031
23.000,351,3.3,303.8,34.953,9.797,29.108,-1,0.097,0.031
24.000,363,3.2,314.3,36.612,14.549,31.537,-1,0.096,0.031
25.000,376,3.4,290.8,37.020,11.945,27.329,-1,0.096,0.031
26.000,389,3.5,288,37.600,9.755,26.276,-1,0.097,0.031
27.000,403,3.8,265.6,32.147,9.601,25.789,-1,0.096,0.032
28.000,418,4,250,29.990,13.558,24.570,-1,0.095,0.031
29.000,433,3.8,262.3,32.359,11.363,25.063,-1,0.095,0.031
30.000,448,4.2,236.7,36.225,8.398,21.220,-1,0.096,0.031
31.000,465,4.5,223.9,33.822,8.567,19.894,-1,0.095,0.031
32.000,481,4.2,239.7,35.246,9.252,18.257,-1,0.095,0.031
33.000,496,4.5,223.3,32.297,9.616,19.394,-1,0.096,0.128
34.000,515,4.8,207.1,29.184,8.685,17.345,-1,0.096,0.031
35.000,531,3.9,254.7,30.766,8.918,19.737,-1,0.096,0.031
36.000,543,3.2,314.4,36.089,11.078,31.339,-1,0.096,0.031
37.000,556,3.3,304.1,34.968,13.487,29.361,-1,0.096,0.031
38.000,569,3.5,288.8,38.779,9.658,26.891,-1,0.096,0.031
39.000,582,3.7,269.1,35.026,12.365,26.183,-1,0.095,0.031
40.000,597,3.8,265,30.544,13.610,25.126,-1,0.094,0.031
41.000,612,3.8,259.8,30.289,13.240,25.355,-1,0.095,0.031
42.000,626,3.8,263.8,34.464,8.658,23.870,-1,0.095,0.031
43.000,642,4.5,224.1,35.575,8.440,15.759,-1,0.106,0.033
44.000,659,4.4,229.4,33.718,8.901,17.055,-1,0.096,0.031
45.000,674,3.9,255.5,35.562,11.927,26.917,-1,0.095,0.031
46.000,691,4.8,208.9,30.143,8.843,17.949,-1,0.095,0.031
47.000,709,4.6,215.9,29.665,8.686,15.244,-1,0.096,0.031
48.000,723,3.4,293.9,34.429,12.454,24.263,-1,0.096,0.031
49.000,735,3.1,323,36.888,17.300,30.741,-1,0.095,0.031
50.000,748,3.4,298,35.586,15.922,29.179,-1,0.094,0.031
51.000,761,3.4,292.5,38.313,9.767,26.275,-1,0.096,0.031
52.000,775,3.8,265.7,32.475,9.632,25.962,-1,0.095,0.031
53.000,790,3.8,260.7,30.265,9.495,24.353,-1,0.114,0.031
54.000,805,3.8,264.8,31.910,9.150,25.165,-1,0.094,0.031
55.000,820,4.2,236.9,36.329,8.099,19.737,-1,0.094,0.031
56.000,836,4.5,220.9,34.466,8.617,19.439,-1,0.105,0.030
57.000,852,4.3,233.3,33.637,8.941,17.811,-1,0.096,0.031
58.000,868,4.2,237.6,34.605,8.821,17.178,-1,0.096,0.031
59.000,885,4.7,210.8,29.105,8.785,17.289,-1,0.096,0.031
