time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,8,2,502.2,65.407,39.566,75.922,-1,0.093,0.031
2.000,15,2,504.2,52.429,38.395,79.382,-1,0.094,0.031
3.000,21,1.6,616.1,54.033,36.745,76.086,-1,0.093,0.031
4.000,28,1.8,568.1,43.560,34.347,66.716,-1,0.093,0.032
5.000,34,1.8,562.6,40.802,36.349,67.934,-1,0.094,0.031
6.000,42,2,502.6,39.295,35.011,52.274,-1,0.093,0.031
7.000,50,2.1,473.7,39.732,29.891,51.171,-1,0.095,0.031
8.000,58,2.2,457.5,39.017,30.195,50.791,-1,0.095,0.032
9.000,67,2.3,434.7,44.550,24.507,43.908,-1,0.094,0.032
10.000,77,2.6,381.3,34.351,23.781,39.970,-1,0.094,0.032
11.000,87,2.5,398,32.363,24.921,41.959,-1,0.094,0.031
12.000,95,1.9,532.4,62.420,31.941,55.809,-1,0.094,0.031
13.000,101,1.6,613,62.133,31.330,59.563,-1,0.093,0.032
14.000,107,1.5,678.4,60.370,37.118,76.969,-1,0.094,0.032
15.000,113,1.5,668,51.667,37.168,78.848,-1,0.093,0.032
16.000,119,1.7,572.9,47.374,34.362,65.272,-1,0.094,0.031
17.000,126,1.7,584.9,45.139,33.973,67.383,-1,0.094,0.031
18.000,133,1.8,566.5,40.099,36.037,66.339,-1,0.093,0.032
19.000,140,2,488.6,39.750,33.954,52.598,-1,0.094,0.031
20.000,149,2.2,459.5,39.813,32.393,54.136,-1,0.094,0.031
21.000,157,2.3,442.5,38.927,28.457,46.791,-1,0.094,0.031
22.000,167,2.5,398,38.040,24.330,45.967,-1,0.094,0.031
23.000,177,2.6,389.2,35.303,22.256,41.392,-1,0.095,0.032
24.000,186,2.4,419.1,35.039,23.751,42.022,-1,0.095,0.031
25.000,193,1.7,578.6,61.535,32.001,56.957,-1,0.094,0.031
26.000,199,1.5,663.7,59.562,38.502,73.771,-1,0.093,0.032
27.000,204,1.5,666.9,53.543,36.542,78.584,-1,0.094,0.032
28.000,210,1.6,640,54.049,35.661,74.687,-1,0.095,0.031
29.000,217,1.8,564,45.145,35.637,63.325,-1,0.094,0.031
30.000,224,1.7,586.3,40.378,37.133,69.059,-1,0.094,0.032
31.000,231,1.9,534.8,40.890,34.718,62.176,-1,0.093,0.031
32.000,239,2.1,479.1,40.620,33.898,52.029,-1,0.093,0.032
33.000,247,2.2,457.2,41.990,30.017,49.558,-1,0.094,0.031
34.000,256,2.3,429.3,40.889,24.984,45.899,-1,0.094,0.031
35.000,266,2.6,384.7,34.826,24.271,39.435,-1,0.093,0.031
36.000,276,2.6,378.2,32.423,23.943,39.935,-1,0.094,0.031
37.000,284,2.1,478,39.917,27.659,43.615,-1,0.094,0.031
38.000,290,1.6,619.8,68.961,36.991,62.365,-1,0.093,0.032
39.000,296,1.5,665,58.848,38.545,76.588,-1,0.093,0.031
40.000,302,1.4,692.5,57.486,41.611,77.154,-1,0.094,0.031
41.000,308,1.7,580.1,51.255,33.859,64.764,-1,0.094,0.031
42.000,315,1.8,567.3,41.923,34.803,67.033,-1,0.093,0.032
43.000,322,1.7,588.7,50.443,36.407,66.680,-1,0.129,0.031
44.000,329,2,488,40.630,31.763,55.530,-1,0.093,0.032
45.000,338,2.1,466.7,38.944,31.107,50.356,-1,0.093,0.032
46.000,346,2.3,435.3,39.363,27.397,46.481,-1,0.094,0.031
47.000,355,2.4,410,39.624,26.029,45.594,-1,0.094,0.031
48.000,365,2.6,379.5,34.093,22.871,40.281,-1,0.094,0.031
49.000,375,2.3,437.9,33.989,28.416,43.863,-1,0.094,0.031
50.000,382,1.7,578.1,60.432,33.314,56.642,-1,0.094,0.031
51.000,388,1.5,658.4,67.514,36.299,64.013,-1,0.094,0.032
52.000,394,1.5,662.8,51.675,39.755,77.019,-1,0.093,0.034
53.000,400,1.5,660.8,58.380,35.588,79.797,-1,0.094,0.031
54.000,406,1.8,561,42.719,34.564,64.723,-1,0.093,0.031
55.000,413,1.8,565.3,42.235,33.528,67.288,-1,0.094,0.032
56.000,420,1.8,554.1,42.029,36.701,66.555,-1,0.094,0.031
57.000,428,2.1,485.6,40.656,33.226,52.808,-1,0.095,0.031
58.000,437,2.2,457.1,39.042,31.383,50.823,-1,0.096,0.032
59.000,445,2.3,425.7,40.891,27.083,43.446,-1,0.094,0.032
