time_ms,frame_index,val_loss,train_time_ms,fps,frame_time
303.0,0,0.09705,39.448,11.9,84.1
583.5,3,0.09162,38.513,8.5,117.9
846.3,5,0.09004,38.765,8.3,121
1091.6,7,0.09075,38.770,8.1,124
1337.1,9,0.09068,38.609,8,124.8
1600.2,11,0.09033,38.861,8.1,123.5
1849.9,13,0.08936,38.895,8,124.3
2108.9,15,0.08909,38.935,8.1,122.9
2371.0,17,0.08832,38.765,8.3,120.2
2618.9,19,0.08770,38.537,8.1,123.9
2872.5,21,0.08776,38.749,8.1,123.8
3117.0,23,0.08712,38.638,8,124.6
3371.0,25,0.08596,38.418,8.1,124.2
3639.0,27,0.08506,38.416,8.1,122.8
3881.2,29,0.08464,39.085,8,125.1
4134.3,31,0.08364,38.717,8.1,124.2
4393.2,33,0.08239,38.876,8,124.3
4645.9,35,0.08305,38.974,7.9,125.8
4902.7,37,0.08180,38.979,8.1,123.6
5168.2,39,0.08140,38.531,8.4,119.8
5407.8,41,0.08030,38.951,8.1,123.8
5672.3,43,0.07977,38.449,8.4,119.2
5912.3,45,0.07910,38.604,8.3,120
6184.5,47,0.07883,38.223,8.3,121.1
6525.9,50,0.07828,38.263,8.5,117.4
6760.5,52,0.07835,38.371,8.2,121.5
7031.0,54,0.07702,38.138,8.3,119.8
7296.8,56,0.07742,38.251,8.3,120.4
7631.1,59,0.07672,38.267,8.6,116.7
7873.0,61,0.07590,38.120,8.3,120.6
8119.0,63,0.07584,38.328,8.1,123
8367.4,65,0.07543,38.374,8.2,121.6
8617.3,67,0.07533,38.267,8.2,121.5
8867.5,69,0.07503,38.162,8.3,121.2
9121.1,71,0.07416,38.310,8.3,120.8
9368.0,73,0.07411,38.246,8.3,121
9621.5,75,0.07365,38.446,8.3,120.6
9877.9,77,0.07394,38.250,8.3,120.5
10121.4,79,0.07360,38.519,8.2,121.9
10376.2,81,0.07336,38.383,8.2,121.6
10624.0,83,0.07310,38.242,8.2,121.4
10878.0,85,0.07263,38.372,8.3,120.5
11140.0,87,0.07274,38.171,8.4,118.5
11374.0,89,0.07260,38.096,8.3,120.5
11624.7,91,0.07265,38.346,8.2,122.3
11875.0,93,0.07197,38.604,8.2,121.2
12124.8,95,0.07208,38.200,8.2,121.4
12375.2,97,0.07212,38.419,8.2,121.6
12680.6,99,0.07195,38.320,8.4,119.2
13020.8,102,0.07193,38.378,8.6,116.4
13254.8,104,0.07137,38.452,8.3,121.1
13517.5,106,0.07144,38.225,8.3,121
