time_ms,frame_index,val_loss,train_time_ms,fps,frame_time
281.1,0,0.07108,29.777,43.2,23.1
505.2,11,0.06184,27.313,49.7,20.1
732.5,21,0.05686,26.896,49.6,20.2
962.5,32,0.05463,26.583,51.9,19.3
1194.0,43,0.05498,26.451,53,18.9
1411.5,54,0.05497,26.792,51.3,19.5
1658.6,66,0.05422,26.738,56.2,17.8
1895.6,81,0.05359,26.762,59.4,16.8
2120.1,93,0.05295,26.522,52.5,19
2339.3,104,0.05312,26.120,48.3,20.7
2590.7,115,0.05292,26.446,53.7,18.6
2826.6,129,0.05278,26.035,57.4,17.4
3058.9,142,0.05229,26.918,52.7,19
3277.5,152,0.05215,26.156,49.3,20.3
3501.0,162,0.05200,26.148,49.7,20.1
3744.2,173,0.05183,26.173,52.8,18.9
4002.2,185,0.05186,26.187,56.1,17.8
4238.1,199,0.05151,26.634,57.6,17.4
4475.1,210,0.05109,26.370,53.6,18.7
4738.3,222,0.05090,26.098,60.3,16.6
5008.8,236,0.05089,26.119,63.8,15.7
5254.2,251,0.05047,26.700,59.4,16.8
5500.9,262,0.05022,26.218,55.3,18.1
5724.7,275,0.05003,26.468,55.3,18.1
5972.6,287,0.04995,26.862,56.7,17.6
6211.9,299,0.04980,26.337,58.7,17
6476.9,312,0.04983,26.356,60.8,16.4
6710.6,328,0.04965,26.065,57.8,17.3
6941.7,340,0.04965,26.297,51.9,19.3
7170.1,351,0.04941,26.064,50.5,19.8
7408.2,363,0.04925,27.328,52.8,18.9
7632.5,374,0.04932,28.895,51.2,19.5
7859.7,385,0.04923,29.539,49.8,20.1
8088.2,396,0.04910,26.098,49.8,20.1
8336.3,407,0.04906,27.153,52.6,19
8574.4,420,0.04927,26.171,55.8,17.9
8813.1,434,0.04889,26.889,56.6,17.7
9074.4,446,0.04889,26.078,57.9,17.3
9330.2,460,0.04910,26.120,61.7,16.2
9604.7,474,0.04877,26.606,61.8,16.2
9841.7,488,0.04884,26.692,61.3,16.3
10089.6,501,0.04873,26.131,55.8,17.9
10332.8,513,0.04878,26.231,56.1,17.8
10576.0,525,0.04897,26.474,57.7,17.3
10798.9,536,0.04846,26.530,52.1,19.2
11036.6,547,0.04847,26.148,51.5,19.4
11264.5,558,0.04861,26.635,54.2,18.5
11492.5,573,0.04854,26.280,53.6,18.7
11720.5,586,0.04870,26.161,52.7,19
11952.2,599,0.04855,26.894,51.6,19.4
12182.8,610,0.04846,26.721,53,18.9
12418.0,623,0.04866,26.233,54,18.5
12654.7,635,0.04848,26.323,54.6,18.3
12897.0,646,0.04842,26.282,56.3,17.7
13161.0,659,0.04846,26.199,59.3,16.9
13381.4,673,0.04846,26.073,55.5,18
13606.4,684,0.04845,26.400,50.2,19.9
13860.8,696,0.04844,27.018,55.5,18
14085.6,707,0.04826,26.566,55.3,18.1
14328.6,720,0.04820,26.458,54.8,18.3
14572.4,731,0.04846,26.131,56.4,17.7
14802.7,744,0.04840,26.242,54.6,18.3
15035.6,756,0.04808,26.601,53.5,18.7
15262.7,767,0.04847,26.410,51.9,19.3
15494.2,779,0.04831,26.022,52.3,19.1
15717.8,790,0.04822,25.808,51.8,19.3
15949.2,800,0.04823,26.259,51.9,19.3
16183.8,811,0.04851,26.158,56.3,17.8
16422.6,823,0.04824,26.287,54.8,18.2
16656.8,835,0.04821,26.140,52.9,18.9
16878.5,847,0.04825,26.506,52.6,19
17124.8,859,0.04822,26.168,53.9,18.5
17359.1,871,0.04799,26.240,53.5,18.7
17581.6,882,0.04826,25.827,50.7,19.7
17833.0,892,0.04827,26.460,53.8,18.6
18095.5,907,0.04810,26.352,61.5,16.3
18325.1,921,0.04816,26.627,56.7,17.6
18570.1,933,0.04797,26.180,54.8,18.2
18819.5,946,0.04837,26.715,56.9,17.6
19070.0,959,0.04825,25.982,59,17
19299.1,973,0.04796,26.817,56.2,17.8
19534.1,984,0.04814,26.319,53.8,18.6
19756.7,995,0.04815,26.557,53,18.9
19973.8,1007,0.04818,26.397,49.6,20.2
