time_ms,frame_index,val_loss,train_time_ms,fps,frame_time
314.3,0,0.02833,40.465,10.7,93.4
574.9,2,0.02536,37.550,7.3,136.2
869.2,4,0.02538,36.281,7.1,141.1
1130.4,6,0.02632,36.192,8.2,121.9
1348.6,8,0.02716,35.106,9.3,107.8
1563.6,10,0.02793,26.367,9,111.5
1808.1,12,0.02787,28.158,9.1,109.9
2032.5,14,0.03003,23.435,9.7,103.1
2266.4,16,0.02893,30.308,9.8,101.8
2472.3,18,0.02883,30.658,9.5,105.8
2735.3,20,0.02663,27.054,9.5,105.3
2982.8,22,0.02527,26.721,9.6,104
3216.2,24,0.02390,34.215,9,111.4
3516.8,26,0.02295,39.158,8.4,118.7
3779.0,28,0.02228,39.118,8.1,124
4040.4,30,0.02085,35.885,7.3,136.6
4334.0,32,0.02012,37.257,7.1,140.6
4626.4,34,0.01987,31.138,7.4,135.7
4924.1,36,0.01966,33.777,7.5,133.6
5206.0,38,0.01874,34.028,7.6,131.4
5487.9,40,0.01815,38.048,7.7,130.1
5766.2,42,0.01799,39.243,7.7,130.6
6057.0,44,0.01773,40.513,7.4,134.9
6355.0,46,0.01750,37.964,6.7,148.3
6677.6,48,0.01682,39.225,6.7,149
6979.0,50,0.01699,41.699,6.9,144.9
7298.2,52,0.02232,43.836,6.8,147.1
7598.7,54,0.03437,39.902,6.8,147.8
7880.1,56,0.04616,39.384,7.7,129.6
8218.5,59,0.06356,36.525,8.9,112.4
8473.2,61,0.07624,40.014,8.1,124
8711.6,63,0.09519,34.711,8,125.4
8966.6,65,0.08287,34.076,8.4,118.4
9236.8,67,0.06324,32.759,8.5,117.1
9531.4,69,0.04907,39.457,8.1,122.9
9809.9,71,0.03861,40.599,7.1,140.4
10108.7,73,0.02960,41.526,7,142.7
10392.9,75,0.02121,37.940,6.9,145.5
10693.0,77,0.01697,36.937,6.7,148.2
10987.6,79,0.01727,36.827,6.7,148.9
11335.0,81,0.01753,36.463,7.5,133.9
11609.1,83,0.01785,38.985,6.9,145.7
11907.4,85,0.01869,35.212,7.2,138.8
12188.9,87,0.01961,39.573,6.9,144.7
12504.2,89,0.01961,40.189,7,142.4
12780.5,91,0.02042,40.392,6.8,146.8
13081.3,93,0.02099,37.397,7.1,141.3
13352.7,95,0.02175,38.721,6.9,145.4
13641.5,97,0.02290,35.349,8,125.7
13874.5,99,0.02334,33.813,9.4,106.1
14069.8,101,0.02479,25.407,9.5,104.9
14280.8,103,0.02550,30.243,9.4,105.8
14492.2,105,0.02696,29.347,8.9,112.5
14661.9,106,0.02642,30.758,8.7,114.7
14882.7,108,0.02672,30.677,9.6,104.4
15102.2,110,0.02605,30.266,9.8,102.2
15330.6,112,0.02431,29.371,9.8,101.8
15570.5,114,0.02340,26.182,9.1,110
15873.8,116,0.02173,37.588,8.2,121.3
16159.5,118,0.02111,39.939,8,124.3
16425.9,120,0.02056,32.444,7.6,131.9
16698.6,122,0.02052,35.665,7.4,134.6
16980.1,124,0.01976,29.747,7.5,133.3
17266.6,126,0.01912,34.410,7.7,129.7
17543.8,128,0.01858,34.777,7.6,131.2
17827.4,130,0.01856,33.336,7.7,130.4
18107.4,132,0.01780,38.851,7.6,132
18394.8,134,0.01805,38.287,7.6,131
18684.4,136,0.01758,40.811,7.3,136.1
19005.9,138,0.01710,37.137,6.9,144.7
19286.7,140,0.01671,39.229,6.7,149.8
19587.9,142,0.01723,37.937,6.6,151.3
19911.5,144,0.02357,42.774,6.7,149.7
20209.2,146,0.03744,40.373,6.8,147.8
20510.0,148,0.04809,38.842,7.7,129.9
20847.2,151,0.06604,37.469,8.1,123.9
21144.1,153,0.08388,39.360,7.9,126.8
21373.0,155,0.09245,31.980,8.1,122.9
21643.5,157,0.07307,31.952,8.2,122.3
21936.5,159,0.05542,37.509,8.6,115.9
22203.7,161,0.04353,38.526,7.5,133.7
22519.3,163,0.03318,41.006,7.2,139.7
22815.0,165,0.02481,39.542,6.8,146.7
23106.0,167,0.01807,36.973,6.7,150
23398.8,169,0.01681,36.813,6.9,145
23695.7,171,0.01731,39.506,7.2,138
23981.8,173,0.01752,38.021,7.3,137.2
24284.7,175,0.01799,38.867,7.1,141.7
24573.4,177,0.01887,40.622,7.1,141.4
24853.2,179,0.01922,39.776,7.2,139.7
25151.5,181,0.01984,40.853,7.1,139.9
25451.4,183,0.02029,41.545,6.9,144.9
25729.5,185,0.02096,34.805,6.6,150.5
26053.9,187,0.02217,37.514,7.5,132.7
26311.5,189,0.02339,34.386,8.2,122.6
26532.2,191,0.02333,28.398,9.2,108.8
26760.0,193,0.02488,30.239,9.2,108.8
26996.1,195,0.02597,28.962,8.3,119.9
27232.2,197,0.02670,30.489,9,111.5
27451.8,199,0.02659,30.448,10,100.2
27691.6,201,0.02579,26.350,8.8,114.1
27940.0,203,0.02443,29.497,9.1,109.5
28175.6,205,0.02314,28.202,9.1,109.6
28466.3,207,0.02206,37.550,8.5,117.2
28731.5,209,0.02151,39.797,8.3,119.9
29002.0,211,0.02147,39.022,7.8,128
29273.8,213,0.02002,37.602,7.5,133.6
29554.9,215,0.01997,37.208,7.4,134.5
29855.2,217,0.01955,33.187,7.6,131.7
30122.0,219,0.01839,30.483,7.4,134.4
30406.1,221,0.01858,34.614,7.5,132.5
30692.1,223,0.01821,38.584,7.6,131.2
30983.2,225,0.01780,39.738,7.4,134.6
31273.4,227,0.01734,40.621,7.3,136.3
31568.5,229,0.01693,42.749,6.7,148.9
31875.7,231,0.01638,41.906,6.7,149.1
32182.6,233,0.01782,38.373,7,143.1
32486.9,235,0.02366,42.048,6.8,147.5
32783.6,237,0.03758,34.050,7,143.3
33063.7,239,0.04665,39.648,7.9,126.8
33424.2,242,0.06359,38.096,8.6,115.6
33671.3,244,0.07771,40.212,7.9,126.7
33903.5,246,0.09175,33.312,8,124.8
34183.8,248,0.07411,32.524,7.8,128.6
34463.0,250,0.05593,33.542,8.3,120.1
34751.0,252,0.04422,38.782,8,124.2
35031.4,254,0.03483,40.818,7.1,141.5
35344.0,256,0.02627,39.535,7,142.7
35619.8,258,0.01889,37.689,6.7,149.8
35917.3,260,0.01672,36.880,6.8,147.1
36211.3,262,0.01710,39.153,7.1,141.7
36531.9,264,0.01767,38.333,7.2,138.3
36837.3,266,0.01810,40.517,7.1,140.7
37120.1,268,0.01870,40.522,7.1,141.1
37411.9,270,0.01917,41.659,7.1,141.8
37695.0,272,0.01938,40.133,7.2,138.6
38012.0,274,0.02028,43.809,6.8,146.1
38303.9,276,0.02073,37.409,6.5,154.2
38619.6,278,0.02155,37.902,7.1,141
38888.1,280,0.02234,34.408,8.7,114.5
39178.7,283,0.02365,29.500,9.5,105.3
39397.0,285,0.02441,29.214,8.9,112.3
39620.4,287,0.02581,29.363,9.2,108.9
39838.3,289,0.02620,29.270,9.9,101.4
40056.0,291,0.02557,30.771,9.9,101.5
40279.2,293,0.02473,28.809,9.8,101.7
40509.7,295,0.02419,29.643,9.7,102.9
40752.5,297,0.02236,26.867,9,111
41048.1,299,0.02124,38.228,8.1,123.6
41321.5,301,0.02132,39.674,7.9,126.3
41587.9,303,0.02029,33.435,7.7,129.9
41858.4,305,0.01991,35.482,7.5,132.6
42148.1,307,0.01916,36.838,7.3,137.1
42439.4,309,0.01887,34.748,7.6,131.5
42712.2,311,0.01844,29.565,7.6,132
42994.8,313,0.01833,34.965,7.5,132.9
43284.0,315,0.01760,38.756,7.7,130.2
43568.6,317,0.01774,40.230,7.5,133.5
43882.0,319,0.01712,35.928,7,142.3
44151.0,321,0.01666,43.375,6.6,152
44466.3,323,0.01636,37.600,6.6,150.5
44778.9,325,0.01799,39.625,7,142.2
45093.6,327,0.02455,40.066,6.6,152.6
45394.6,329,0.03930,40.710,6.8,146.9
45686.9,331,0.04842,41.433,8,124.9
46064.2,334,0.06620,40.053,8.8,113.7
46373.3,337,0.08906,36.836,7.9,126.1
46618.0,339,0.08276,33.150,8.3,120.5
46915.1,341,0.06275,29.793,8.1,122.9
47195.0,343,0.04850,34.805,7.6,131
47499.4,345,0.03744,41.614,7.2,139.6
47791.1,347,0.02905,39.322,6.9,145
48082.1,349,0.02075,37.553,6.8,146.2
48381.3,351,0.01679,36.899,6.7,148.7
48671.8,353,0.01699,36.415,7.1,140.3
48974.0,355,0.01692,32.701,7.1,140.9
49256.1,357,0.01764,39.224,7.1,140.4
49536.5,359,0.01820,39.697,7,143.4
49860.3,361,0.01883,40.559,7.1,140.6
50149.8,363,0.01929,40.493,7.2,139.5
50444.2,365,0.01985,42.114,6.6,150.7
50755.6,367,0.02024,40.682,7,143
51040.1,369,0.02135,39.116,7.2,138.6
51319.0,371,0.02227,35.483,7.6,132
51558.7,373,0.02287,33.922,8.7,114.6
51777.6,375,0.02367,25.381,9.7,103.6
51987.3,377,0.02430,27.872,9.1,109.7
52224.3,379,0.02569,29.337,9.2,109
52441.4,381,0.02572,26.938,9.4,106.6
52691.7,383,0.02561,25.666,9.5,105.6
52901.7,385,0.02469,31.480,9.9,100.8
53138.9,387,0.02362,32.745,9.6,104.3
53401.0,389,0.02236,33.780,9.4,106.8
53650.4,391,0.02131,38.041,8.9,112.3
53907.6,393,0.02074,35.657,8.3,121
54180.9,395,0.02020,35.515,7.7,130.1
54448.8,397,0.01957,37.937,7.7,130.2
54741.5,399,0.01926,33.061,7.6,130.9
55018.2,401,0.01850,34.615,7.6,131.3
55317.2,403,0.01839,30.079,7.6,132.2
