time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,119,29.9,33.4,3.473,2.868,1.686,-1,0.097,0.031
2.000,230,28.2,35.5,3.994,2.910,1.614,-1,0.102,0.031
3.000,332,25.1,39.8,5.078,2.812,1.548,-1,0.098,0.031
4.000,430,25.1,39.8,5.150,2.749,1.658,-1,0.095,0.031
5.000,527,24.5,40.9,5.062,2.722,1.727,-1,0.095,0.031
6.000,633,27.8,36,3.816,2.824,1.708,-1,0.098,0.031
7.000,749,29.7,33.7,3.122,2.821,1.731,-1,0.095,0.032
8.000,863,28.5,35.1,3.415,3.064,1.715,-1,0.100,0.031
9.000,968,26,38.5,4.477,2.964,1.708,-1,0.125,0.031
10.000,1064,24.3,41.1,4.908,2.936,1.658,-1,0.095,0.031
11.000,1163,25.3,39.6,4.885,2.920,1.637,-1,0.096,0.046
12.000,1268,27.4,36.5,4.047,2.876,1.645,-1,0.096,0.031
13.000,1383,30,33.3,3.352,2.900,1.601,-1,0.095,0.045
14.000,1502,30.3,33,3.534,2.899,1.529,-1,0.096,0.032
15.000,1612,27.7,36.2,4.217,2.717,1.592,-1,0.095,0.031
16.000,1712,25.3,39.6,5.142,2.639,1.600,-1,0.095,0.031
17.000,1811,25.2,39.7,5.110,2.758,1.656,-1,0.095,0.033
18.000,1911,25.9,38.6,4.540,2.824,1.675,-1,0.095,0.031
19.000,2022,29.3,34.2,3.423,2.908,1.743,-1,0.095,0.043
20.000,2139,29.5,33.8,3.126,3.116,1.804,-1,0.095,0.031
21.000,2250,27.5,36.3,3.998,2.986,1.751,-1,0.095,0.032
22.000,2351,24.8,40.3,4.879,2.958,1.656,-1,0.131,0.031
23.000,2448,24.9,40.1,4.917,3.023,1.629,-1,0.095,0.031
24.000,2548,26,38.4,4.674,2.927,1.617,-1,0.109,0.031
25.000,2658,28.7,34.8,3.488,3.056,1.605,-1,0.096,0.031
26.000,2776,30.7,32.5,3.306,2.806,1.610,-1,0.095,0.031
27.000,2892,29.3,34.1,3.874,2.766,1.469,-1,0.097,0.043
28.000,2997,26,38.4,4.785,2.698,1.517,-1,0.096,0.031
29.000,3098,25.8,38.8,4.978,2.713,1.624,-1,0.095,0.031
30.000,3196,24.8,40.3,5.044,2.809,1.615,-1,0.095,0.031
31.000,3300,27.6,36.2,4.050,2.878,1.698,-1,0.095,0.031
32.000,3416,30,33.4,3.119,2.877,1.725,-1,0.099,0.031
33.000,3532,29.1,34.4,3.495,2.922,1.702,-1,0.097,0.031
34.000,3638,26.6,37.6,4.413,3.025,1.675,-1,0.123,0.031
35.000,3734,24.3,41.1,4.944,3.065,1.632,-1,0.095,0.031
36.000,3833,25.1,39.8,4.848,2.907,1.638,-1,0.098,0.032
37.000,3936,27.1,36.9,4.301,2.913,1.586,-1,0.096,0.031
38.000,4050,29.9,33.4,3.208,2.928,1.563,-1,0.096,0.031
39.000,4169,30.4,32.8,3.476,2.787,1.551,-1,0.099,0.031
40.000,4281,28,35.7,4.141,2.730,1.569,-1,0.098,0.031
41.000,4382,25.4,39.4,5.049,2.660,1.578,-1,0.095,0.033
42.000,4481,25.1,39.9,5.002,2.804,1.678,-1,0.095,0.031
43.000,4580,25,39.9,4.952,2.888,1.669,-1,0.098,0.031
44.000,4690,28.4,35.2,3.490,2.927,1.698,-1,0.096,0.031
45.000,4807,29.8,33.5,3.120,2.905,1.754,-1,0.095,0.031
46.000,4919,27.8,35.9,3.750,3.016,1.740,-1,0.098,0.031
47.000,5020,24.9,40.2,4.865,2.996,1.660,-1,0.096,0.031
48.000,5117,24.9,40.2,4.903,2.853,1.675,-1,0.095,0.031
49.000,5216,25.7,38.9,4.755,2.986,1.621,-1,0.111,0.033
50.000,5324,27.8,36,3.872,2.930,1.621,-1,0.096,0.044
51.000,5442,30.6,32.7,3.311,2.835,1.565,-1,0.098,0.031
52.000,5559,29.5,33.9,3.721,2.789,1.527,-1,0.095,0.031
53.000,5666,26.6,37.6,4.666,2.675,1.532,-1,0.095,0.031
54.000,5766,25.8,38.8,4.929,2.807,1.588,-1,0.095,0.032
55.000,5864,25,40,4.966,2.769,1.677,-1,0.095,0.031
56.000,5967,27.2,36.8,4.128,2.874,1.687,-1,0.095,0.031
57.001,6082,29.9,33.4,3.270,2.880,1.838,-1,0.095,0.032
58.000,6198,29.3,34.1,3.089,3.022,1.736,-1,0.095,0.031
59.000,6305,26.9,37.2,4.138,2.966,1.698,-1,0.107,0.044
60.000,6403,24.5,40.9,5.028,2.933,1.638,-1,0.125,0.031
61.000,6501,25.3,39.5,4.792,2.888,1.667,-1,0.096,0.046
62.000,6604,26.8,37.3,4.291,2.924,1.624,-1,0.110,0.031
63.000,6717,29.8,33.5,3.398,2.855,1.574,-1,0.099,0.045
64.000,6836,30.5,32.8,3.417,2.781,1.596,-1,0.098,0.031
65.000,6949,28.4,35.3,4.146,2.781,1.548,-1,0.101,0.032
66.000,7051,25.5,39.2,5.090,2.747,1.525,-1,0.095,0.031
67.000,7151,25.7,39,4.999,2.742,1.641,-1,0.098,0.031
68.000,7249,24.7,40.5,5.026,2.958,1.622,-1,0.095,0.031
69.000,7358,28.4,35.2,3.700,2.881,1.688,-1,0.095,0.031
70.000,7475,29.7,33.6,3.034,2.951,1.750,-1,0.096,0.033
71.000,7588,28.3,35.3,3.706,2.998,1.783,-1,0.098,0.031
72.000,7691,25.1,39.9,4.705,2.991,1.667,-1,0.124,0.031
73.000,7787,24.8,40.3,5.002,2.881,1.655,-1,0.110,0.031
74.000,7887,25.6,39.1,4.748,2.924,1.649,-1,0.096,0.047
75.000,7993,27.8,36,4.006,2.932,1.671,-1,0.098,0.031
76.000,8110,30.4,32.9,3.377,2.859,1.573,-1,0.098,0.031
77.000,8228,29.9,33.5,3.734,2.763,1.542,-1,0.095,0.032
78.000,8336,27.2,36.8,4.401,2.679,1.584,-1,0.095,0.031
79.000,8436,25.6,39.1,4.973,2.693,1.610,-1,0.095,0.031
80.000,8536,24.9,40.1,5.150,2.755,1.606,-1,0.095,0.033
81.000,8637,26.6,37.6,4.337,2.832,1.680,-1,0.095,0.032
82.000,8750,29.5,33.8,3.270,2.919,1.811,-1,0.095,0.031
83.000,8867,29.2,34.3,3.108,3.269,1.695,-1,0.098,0.031
84.000,8976,27.4,36.5,3.832,2.947,1.728,-1,0.109,0.033
85.000,9074,24.3,41.2,5.043,3.071,1.635,-1,0.095,0.031
86.000,9172,25.1,39.9,4.787,2.935,1.654,-1,0.096,0.031
87.000,9273,26.3,38.1,4.602,2.968,1.600,-1,0.110,0.031
88.000,9384,29.3,34.1,3.542,2.856,1.716,-1,0.098,0.031
89.000,9503,30.7,32.6,3.398,2.748,1.580,-1,0.095,0.031
90.000,9617,28.8,34.7,4.019,2.840,1.540,-1,0.095,0.031
91.000,9720,25.5,39.3,4.955,2.654,1.567,-1,0.098,0.033
92.000,9820,25.6,39,4.905,2.687,1.586,-1,0.098,0.031
93.000,9918,24.7,40.5,5.141,2.821,1.637,-1,0.095,0.031
94.000,10024,28,35.7,3.886,2.858,1.724,-1,0.096,0.031
95.000,10141,29.8,33.5,3.162,2.829,1.694,-1,0.103,0.032
96.000,10255,28.5,35.1,3.428,3.052,1.753,-1,0.098,0.031
97.000,10359,26,38.5,4.588,2.955,1.721,-1,0.098,0.031
98.000,10456,24.9,40.2,5.034,2.956,1.636,-1,0.098,0.031
99.000,10555,25.1,39.8,4.825,2.884,1.639,-1,0.095,0.031
100.000,10660,27.5,36.4,4.141,2.932,1.602,-1,0.095,0.032
101.000,10776,30.3,33,3.353,2.834,1.619,-1,0.098,0.031
102.000,10894,30.2,33.1,3.592,2.738,1.609,-1,0.098,0.031
103.000,11004,27.5,36.4,4.312,2.785,1.521,-1,0.095,0.032
104.000,11105,26,38.5,5.133,2.683,1.598,-1,0.095,0.033
105.000,11204,25.3,39.6,5.127,2.791,1.619,-1,0.095,0.031
106.000,11304,26,38.4,4.563,2.836,1.678,-1,0.095,0.031
107.000,11416,29.3,34.2,3.147,3.053,1.712,-1,0.097,0.031
108.000,11534,29.7,33.6,3.096,2.881,1.696,-1,0.097,0.031
109.000,11644,27.7,36.1,3.983,2.939,1.736,-1,0.109,0.031
110.000,11744,24.4,41,4.969,3.086,1.636,-1,0.095,0.031
111.000,11841,25.1,39.9,4.887,2.881,1.668,-1,0.095,0.031
