time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,61,15.4,64.9,12.940,1.866,1.455,-1,0.098,0.031
2.000,122,16.6,60.2,13.328,1.050,0.976,-1,0.127,0.030
3.000,186,17.1,58.4,12.468,1.357,1.130,-1,0.094,0.033
4.000,247,16,62.5,12.302,1.949,1.603,-1,0.119,0.030
5.000,316,18.2,55,9.125,2.467,1.712,-1,0.122,0.031
6.000,386,17.7,56.5,9.584,2.625,1.906,-1,0.094,0.030
7.000,445,15.1,66.4,12.094,2.810,1.872,-1,0.094,0.030
8.000,507,16.7,59.9,11.000,2.238,1.892,-1,0.094,0.031
9.000,568,15.6,63.9,12.961,1.723,1.432,-1,0.094,0.030
10.000,624,14.4,69.4,12.211,2.631,2.211,-1,0.094,0.030
11.001,687,17,58.9,9.508,2.693,2.260,-1,0.119,0.030
12.000,756,17.3,57.8,9.525,2.623,2.149,-1,0.094,0.030
13.000,815,15.3,65.5,12.495,2.711,1.682,-1,0.094,0.033
14.000,875,16.1,62.1,12.911,1.398,1.152,-1,0.094,0.031
15.000,939,16.7,59.9,12.768,1.028,1.009,-1,0.098,0.031
16.001,1003,16.3,61.3,12.540,1.618,1.312,-1,0.094,0.030
17.001,1067,17.3,57.8,10.711,2.442,1.551,-1,0.093,0.030
18.001,1139,18.7,53.4,8.902,2.648,1.699,-1,0.136,0.030
19.000,1203,16,62.5,11.045,2.593,1.997,-1,0.099,0.030
20.000,1261,15.1,66.3,11.882,2.731,2.176,-1,0.093,0.031
21.000,1325,16.5,60.8,12.440,1.424,1.517,-1,0.094,0.031
22.000,1384,15.3,65.6,12.205,2.459,1.999,-1,0.093,0.030
23.000,1442,15.1,66.2,11.953,2.654,2.269,-1,0.094,0.030
24.000,1510,18.2,55,8.534,2.736,2.204,-1,0.114,0.031
25.000,1575,16.2,61.7,11.151,2.467,1.952,-1,0.122,0.031
26.000,1633,15.4,65.1,12.726,2.082,1.543,-1,0.094,0.030
27.000,1695,16.8,59.6,13.165,1.032,1.034,-1,0.094,0.030
28.000,1760,17.6,56.7,12.262,1.257,1.069,-1,0.125,0.030
29.000,1822,16.4,61.1,12.218,1.807,1.489,-1,0.137,0.030
30.000,1890,18.4,54.5,9.214,2.328,1.655,-1,0.119,0.031
31.000,1961,18.2,54.9,9.245,2.550,1.892,-1,0.097,0.030
32.000,2022,15.1,66.3,11.711,2.567,2.104,-1,0.094,0.031
33.000,2083,16.7,60,10.549,2.358,2.021,-1,0.093,0.030
34.000,2144,15.9,63,13.304,1.192,1.299,-1,0.094,0.031
35.000,2202,14.6,68.6,12.796,2.637,2.190,-1,0.126,0.031
36.000,2262,16.4,61.1,10.363,2.739,2.212,-1,0.124,0.033
37.000,2332,17.9,55.9,8.837,2.632,2.192,-1,0.113,0.030
38.000,2392,14.7,67.8,11.843,2.828,1.843,-1,0.093,0.030
39.000,2451,16.1,61.9,13.172,1.554,1.309,-1,0.094,0.031
40.000,2515,16.9,59.2,13.047,0.945,0.968,-1,0.097,0.034
41.000,2579,16.4,60.8,12.250,1.624,1.185,-1,0.094,0.030
42.000,2642,16.7,59.9,11.335,2.191,1.608,-1,0.093,0.031
43.000,2713,18.8,53.1,8.958,2.391,1.697,-1,0.113,0.030
44.000,2780,16.5,60.5,10.342,2.592,1.902,-1,0.093,0.031
45.000,2837,15.1,66.3,12.139,2.537,2.075,-1,0.094,0.030
46.000,2899,16.7,59.9,11.745,1.781,1.633,-1,0.095,0.032
47.000,2959,15.4,64.7,12.528,2.121,1.801,-1,0.094,0.031
48.000,3016,14.5,69.1,11.686,2.655,2.344,-1,0.094,0.031
49.000,3082,17.8,56.1,8.960,2.682,2.234,-1,0.113,0.030
50.000,3149,16.6,60.2,10.564,2.546,1.956,-1,0.093,0.031
51.000,3206,15.1,66.2,12.669,2.470,1.607,-1,0.128,0.031
52.000,3268,16.7,60,13.097,1.155,1.110,-1,0.094,0.030
53.000,3333,17.4,57.6,12.456,1.094,1.148,-1,0.094,0.030
54.000,3396,16.3,61.2,12.512,1.784,1.432,-1,0.098,0.033
55.000,3463,17.9,55.7,9.497,2.301,1.665,-1,0.094,0.030
56.000,3535,18.4,54.4,8.964,2.566,2.069,-1,0.094,0.030
57.000,3596,15.4,65.1,11.886,2.717,2.022,-1,0.094,0.030
58.000,3657,16.6,60.2,11.023,2.427,2.016,-1,0.122,0.030
59.000,3719,15.9,63,13.393,1.210,1.254,-1,0.093,0.030
60.001,3777,14.5,69.1,12.336,2.580,2.143,-1,0.099,0.030
61.000,3836,16,62.4,10.513,2.858,2.322,-1,0.094,0.030
