time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,68,18.3,54.7,8.008,1.195,1.502,-1,0.092,0.030
2.000,164,20.1,49.8,7.873,0.810,0.998,-1,0.092,0.030
3.000,264,20.8,48.2,7.430,0.979,1.088,-1,0.095,0.030
4.000,357,19.3,51.8,7.392,1.178,1.474,-1,0.093,0.030
5.000,455,20.1,49.7,6.489,1.426,1.568,-1,0.092,0.030
6.000,552,19.7,50.7,6.535,1.523,1.753,-1,0.138,0.030
7.000,639,17.6,56.9,7.773,1.570,1.905,-1,0.097,0.030
8.000,727,18.5,54.2,7.281,1.415,1.812,-1,0.093,0.030
9.000,816,18.1,55.3,8.001,1.151,1.438,-1,0.093,0.030
10.000,897,15.8,63.3,8.293,1.636,2.172,-1,0.093,0.030
11.000,980,17.9,55.8,7.141,1.724,2.035,-1,0.093,0.030
12.000,1071,18.7,53.5,6.824,1.626,2.025,-1,0.116,0.030
13.000,1157,17.5,57.3,7.874,1.451,1.618,-1,0.093,0.030
14.000,1248,19.4,51.5,7.919,1.017,1.166,-1,0.127,0.030
15.000,1346,20.6,48.5,7.660,0.806,1.001,-1,0.093,0.031
16.000,1443,19.7,50.9,7.515,1.090,1.297,-1,0.111,0.030
17.000,1536,19.4,51.5,7.023,1.313,1.644,-1,0.093,0.030
18.000,1635,20.3,49.2,6.225,1.496,1.705,-1,0.093,0.031
19.000,1727,18.3,54.7,7.315,1.638,1.880,-1,0.139,0.030
20.000,1811,17.8,56.3,7.605,1.578,1.991,-1,0.093,0.050
21.000,1902,18.7,53.4,7.802,1.117,1.422,-1,0.093,0.030
22.000,1988,17.3,57.9,7.861,1.595,1.829,-1,0.093,0.030
23.000,2067,16,62.3,7.972,1.738,2.199,-1,0.126,0.030
24.000,2155,18.3,54.6,6.717,1.634,2.000,-1,0.093,0.030
25.001,2244,17.9,55.7,7.409,1.577,1.908,-1,0.093,0.030
26.000,2330,17.8,56.2,8.159,1.324,1.491,-1,0.097,0.030
27.000,2425,20,50,7.839,0.841,1.177,-1,0.093,0.030
28.000,2523,20.6,48.6,7.510,0.911,1.105,-1,0.114,0.030
29.000,2618,19.4,51.7,7.481,1.214,1.504,-1,0.093,0.031
30.000,2714,20.2,49.5,6.332,1.359,1.592,-1,0.097,0.030
31.000,2812,19.7,50.8,6.437,1.514,1.764,-1,0.093,0.030
32.000,2899,17.6,56.9,7.597,1.669,1.944,-1,0.093,0.031
33.000,2986,18.1,55.1,7.243,1.536,1.835,-1,0.099,0.033
34.000,3076,18.5,54,8.006,1.071,1.271,-1,0.097,0.031
35.000,3157,15.9,62.8,8.291,1.671,2.155,-1,0.094,0.030
36.000,3239,17.3,57.8,7.365,1.704,2.181,-1,0.094,0.030
37.001,3329,18.6,53.7,6.934,1.582,1.911,-1,0.135,0.032
38.000,3415,17.6,56.9,7.853,1.526,1.686,-1,0.121,0.030
39.000,3504,19.1,52.4,7.947,1.152,1.341,-1,0.144,0.030
40.000,3601,20.2,49.5,7.790,0.801,0.961,-1,0.093,0.033
41.000,3699,19.7,50.7,7.650,1.040,1.163,-1,0.094,0.030
42.000,3792,19.3,51.9,7.043,1.298,1.536,-1,0.094,0.030
43.000,3890,20.4,49.1,6.341,1.377,1.725,-1,0.093,0.064
44.000,3984,18.7,53.5,7.010,1.545,1.877,-1,0.100,0.030
45.000,4068,17.5,57,7.718,1.682,1.903,-1,0.094,0.030
46.000,4158,18.7,53.5,7.601,1.359,1.501,-1,0.094,0.030
47.000,4246,17.4,57.4,7.902,1.473,1.814,-1,0.094,0.030
48.000,4324,15.7,63.7,8.172,1.732,2.146,-1,0.093,0.030
49.000,4410,18.1,55.2,6.893,1.656,2.082,-1,0.094,0.030
50.000,4500,18.1,55.1,7.210,1.536,1.985,-1,0.094,0.030
51.000,4585,17.5,57,8.054,1.379,1.554,-1,0.094,0.030
52.000,4679,19.7,50.7,7.840,0.857,1.094,-1,0.094,0.030
53.000,4777,20.5,48.9,7.534,0.833,0.988,-1,0.094,0.030
54.000,4872,19.5,51.4,7.514,1.197,1.344,-1,0.112,0.033
55.001,4968,19.7,50.7,6.550,1.387,1.547,-1,0.111,0.030
56.000,5066,19.8,50.5,6.389,1.519,1.816,-1,0.094,0.053
57.000,5154,17.7,56.5,7.712,1.567,1.975,-1,0.094,0.030
58.000,5240,18.3,54.8,7.260,1.558,1.889,-1,0.096,0.031
59.000,5331,18.8,53.1,8.207,1.039,1.215,-1,0.094,0.030
60.000,5414,16.5,60.4,8.094,1.634,2.029,-1,0.094,0.030
61.000,5494,16.9,59,7.371,1.794,2.166,-1,0.093,0.030
62.000,5584,18.5,54,6.804,1.610,2.151,-1,0.094,0.031
63.000,5671,17.6,57,7.774,1.547,1.701,-1,0.131,0.030
64.000,5758,18.8,53.3,8.007,1.140,1.457,-1,0.094,0.030
65.000,5855,20.1,49.7,7.824,0.813,0.928,-1,0.093,0.031
66.000,5953,20.3,49.2,7.430,1.019,1.214,-1,0.094,0.030
67.000,6046,19,52.8,7.397,1.253,1.511,-1,0.094,0.030
68.000,6145,20.5,48.7,6.244,1.419,1.636,-1,0.097,0.030
69.000,6239,19,52.5,6.785,1.633,1.745,-1,0.111,0.033
70.000,6324,17.4,57.4,7.845,1.539,2.044,-1,0.094,0.030
71.000,6413,18.4,54.4,7.400,1.453,1.729,-1,0.094,0.030
72.000,6502,17.6,56.9,7.854,1.361,1.519,-1,0.093,0.030
73.000,6581,15.7,63.7,8.416,1.810,2.265,-1,0.094,0.030
74.000,6666,18,55.6,7.025,1.627,2.087,-1,0.113,0.030
75.000,6756,18.5,53.9,7.120,1.660,1.942,-1,0.094,0.030
76.000,6842,17.6,56.9,7.982,1.356,1.623,-1,0.094,0.030
77.000,6933,19.3,51.8,7.921,0.896,1.167,-1,0.094,0.055
78.000,7032,20.4,49,7.708,0.840,0.958,-1,0.094,0.032
79.000,7127,19.5,51.4,7.540,1.141,1.349,-1,0.094,0.030
80.000,7222,19.6,51.1,6.736,1.405,1.548,-1,0.093,0.030
81.000,7321,19.9,50.2,6.307,1.483,1.759,-1,0.117,0.030
82.000,7410,17.7,56.4,7.590,1.638,1.905,-1,0.112,0.030
83.001,7496,18.1,55.2,7.448,1.619,1.930,-1,0.094,0.030
84.000,7586,19,52.6,7.976,1.069,1.346,-1,0.094,0.030
85.000,7670,16.7,59.7,8.021,1.678,2.014,-1,0.094,0.030
86.000,7750,16.5,60.5,7.608,1.778,2.156,-1,0.094,0.030
87.000,7838,18.3,54.5,6.694,1.702,2.018,-1,0.096,0.030
88.000,7926,17.7,56.5,7.523,1.530,1.759,-1,0.094,0.030
89.000,8013,18.1,55.3,7.979,1.230,1.382,-1,0.094,0.033
90.000,8109,20.1,49.9,7.775,0.813,0.979,-1,0.094,0.031
91.000,8207,20.5,48.9,7.595,0.940,1.122,-1,0.094,0.030
92.000,8300,19.1,52.3,7.326,1.283,1.547,-1,0.094,0.033
93.000,8398,20.3,49.2,6.325,1.443,1.644,-1,0.093,0.033
94.000,8494,19.4,51.7,6.621,1.549,1.752,-1,0.131,0.031
95.000,8580,17.4,57.6,7.831,1.620,1.952,-1,0.094,0.030
96.000,8668,18.4,54.3,7.191,1.537,1.775,-1,0.094,0.032
97.000,8757,18.1,55.2,8.109,1.192,1.450,-1,0.094,0.031
98.000,8837,15.8,63.4,8.321,1.698,2.256,-1,0.094,0.030
99.000,8920,17.7,56.5,7.116,1.704,2.135,-1,0.094,0.077
100.000,9010,18.6,53.7,7.085,1.670,1.887,-1,0.093,0.030
101.000,9096,17.5,57.2,7.983,1.461,1.677,-1,0.094,0.056
102.000,9187,19.3,51.9,7.894,1.048,1.157,-1,0.111,0.030
103.000,9284,20.3,49.4,7.685,0.809,0.994,-1,0.093,0.030
104.000,9381,19.4,51.6,7.704,1.102,1.339,-1,0.112,0.031
105.000,9475,19.4,51.5,6.817,1.498,1.490,-1,0.102,0.033
106.000,9574,20.2,49.4,6.193,1.485,1.745,-1,0.094,0.030
107.001,9665,18.2,55.1,7.388,1.609,1.948,-1,0.120,0.030
108.000,9749,17.8,56.1,7.597,1.613,1.920,-1,0.098,0.049
109.000,9840,18.8,53.3,7.763,1.219,1.352,-1,0.123,0.030
110.000,9925,17.1,58.5,7.940,1.604,1.866,-1,0.094,0.030
111.000,10004,16.1,62.1,8.119,1.728,2.107,-1,0.098,0.030
112.000,10092,18.3,54.5,6.844,1.655,2.050,-1,0.093,0.030
113.000,10180,18,55.7,7.382,1.663,1.769,-1,0.140,0.033
114.000,10267,17.9,56,7.959,1.302,1.513,-1,0.094,0.030
115.000,10362,20.3,49.4,7.761,0.842,1.129,-1,0.094,0.030
116.000,10461,20.7,48.2,7.488,0.924,1.063,-1,0.094,0.030
117.000,10554,19.1,52.5,7.451,1.224,1.493,-1,0.094,0.031
118.000,10651,20.1,49.7,6.497,1.414,1.590,-1,0.093,0.030
119.000,10748,19.6,51,6.586,1.535,1.771,-1,0.138,0.031
