time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,73,18.6,53.9,8.754,2.971,1.417,-1,0.103,0.030
2.000,147,19.8,50.4,7.906,3.348,1.646,-1,0.095,0.030
3.000,227,20.7,48.2,7.326,2.849,1.476,-1,0.094,0.032
4.000,303,19.6,51,9.090,2.517,1.359,-1,0.094,0.030
5.000,379,21,47.7,9.043,2.266,0.959,-1,0.138,0.030
6.000,457,20.9,47.8,8.313,2.682,0.959,-1,0.129,0.031
7.000,535,20.8,48.2,9.008,2.371,1.165,-1,0.095,0.030
8.000,616,22.7,44,7.741,2.326,1.178,-1,0.098,0.032
9.000,702,22.7,44.1,7.610,2.456,1.155,-1,0.095,0.030
10.000,779,19.5,51.3,8.804,2.530,1.312,-1,0.095,0.031
11.000,850,19,52.7,9.152,2.945,1.132,-1,0.095,0.030
12.000,922,19.2,52.1,8.997,2.985,1.047,-1,0.095,0.032
13.000,992,18.2,55,9.019,2.910,1.305,-1,0.099,0.030
14.000,1066,19.9,50.4,8.322,2.894,1.625,-1,0.095,0.030
15.000,1143,20.7,48.2,7.150,3.109,1.518,-1,0.113,0.030
16.000,1224,21.1,47.4,7.788,2.626,1.387,-1,0.098,0.048
17.000,1300,20.1,49.8,9.118,2.455,1.196,-1,0.095,0.031
18.000,1378,21,47.6,8.475,2.930,0.943,-1,0.095,0.030
19.000,1457,21.4,46.7,8.559,2.350,1.063,-1,0.095,0.031
20.000,1534,20.8,48.1,8.429,3.122,1.152,-1,0.098,0.030
21.000,1619,23.2,43.1,7.467,2.371,1.173,-1,0.095,0.031
22.000,1702,21,47.6,7.982,3.007,1.290,-1,0.099,0.030
23.001,1775,18.5,54.1,9.042,3.499,1.237,-1,0.098,0.031
24.000,1846,19.4,51.6,8.996,2.948,1.152,-1,0.095,0.033
25.000,1918,19.1,52.4,9.656,2.969,1.103,-1,0.098,0.030
26.000,1989,18.9,52.8,8.725,2.907,1.461,-1,0.095,0.030
27.000,2064,20.3,49.2,7.588,2.872,1.617,-1,0.098,0.030
28.000,2145,21.3,46.9,7.247,2.633,1.486,-1,0.095,0.031
29.000,2223,19.8,50.6,8.698,2.488,1.322,-1,0.095,0.030
30.000,2299,20.9,47.8,9.081,2.160,1.107,-1,0.095,0.030
31.000,2378,21.4,46.8,8.403,2.532,0.928,-1,0.095,0.088
32.000,2456,20.7,48.3,8.943,2.609,1.037,-1,0.095,0.030
33.000,2537,22.4,44.5,7.819,2.323,1.132,-1,0.095,0.031
34.000,2622,22.7,44,7.523,2.356,1.236,-1,0.095,0.062
35.000,2700,20.5,48.7,8.384,2.516,1.252,-1,0.096,0.031
36.000,2771,18.6,53.6,9.232,3.404,1.154,-1,0.095,0.030
37.000,2844,19,52.5,8.580,3.346,1.072,-1,0.095,0.030
38.000,2915,18.2,54.9,9.466,3.172,1.236,-1,0.095,0.030
39.000,2988,19.5,51.2,8.726,2.634,1.508,-1,0.095,0.030
40.000,3066,20.9,47.9,7.547,2.875,1.665,-1,0.099,0.030
41.000,3147,21,47.6,7.612,2.663,1.458,-1,0.095,0.030
42.000,3223,20,50.1,9.111,2.573,1.138,-1,0.130,0.030
43.000,3301,21.2,47.1,8.434,2.486,0.988,-1,0.134,0.030
44.000,3380,20.8,48,8.444,2.777,1.005,-1,0.095,0.031
45.001,3457,20.5,48.7,8.720,2.714,1.132,-1,0.095,0.030
46.000,3541,23,43.5,7.552,2.323,1.250,-1,0.098,0.030
