time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,146,137.3,7.3,2.178,1.072,1.655,-1,0.183,0.030
2.000,290,140.7,7.1,1.910,1.086,1.784,-1,0.165,0.037
3.000,434,146.6,6.8,1.910,1.019,1.724,-1,0.116,0.030
4.000,578,140.6,7.1,2.370,1.096,1.397,-1,0.095,0.030
5.000,721,140.8,7.1,2.848,0.800,1.129,-1,0.095,0.031
6.000,865,150.3,6.7,2.647,0.883,1.142,-1,0.093,0.030
7.000,1009,141.8,7.1,2.583,0.960,1.239,-1,0.094,0.031
8.000,1153,164.9,6.1,2.004,0.880,1.332,-1,0.095,0.031
9.000,1297,166.2,6,2.058,0.895,1.291,-1,0.096,0.031
10.000,1441,134.8,7.4,2.339,1.110,1.501,-1,0.103,0.038
11.000,1585,131.1,7.6,2.567,1.181,1.404,-1,0.104,0.030
12.001,1729,134,7.5,2.701,1.175,1.302,-1,0.095,0.031
13.000,1872,137.2,7.3,2.561,1.151,1.395,-1,0.101,0.031
14.000,2016,140.7,7.1,2.057,1.105,1.558,-1,0.108,0.037
15.000,2160,159.8,6.3,1.951,0.957,1.576,-1,0.094,0.031
16.000,2304,158.6,6.3,2.048,0.977,1.472,-1,0.094,0.031
17.000,2448,140.4,7.1,2.743,0.848,1.218,-1,0.094,0.030
18.000,2592,145.5,6.9,2.795,0.861,1.125,-1,0.099,0.030
19.000,2736,141.5,7.1,2.673,0.915,1.285,-1,0.094,0.030
20.000,2880,145.2,6.9,2.279,0.968,1.390,-1,0.113,0.035
21.000,3024,165.3,6.1,1.988,0.938,1.314,-1,0.094,0.030
22.000,3167,155.3,6.4,2.029,1.079,1.346,-1,0.097,0.031
23.000,3311,133.9,7.5,2.549,1.022,1.380,-1,0.095,0.031
24.000,3455,137,7.3,2.499,1.052,1.358,-1,0.105,0.031
25.000,3599,134.5,7.4,2.724,0.972,1.304,-1,0.118,0.030
26.000,3743,141.5,7.1,2.217,1.069,1.518,-1,0.107,0.030
27.000,3887,144.7,6.9,1.910,1.078,1.600,-1,0.176,0.048
28.000,4031,147.5,6.8,1.910,1.011,1.667,-1,0.102,0.042
29.001,4175,141.2,7.1,2.277,1.123,1.454,-1,0.093,0.030
30.000,4319,143.7,7,2.866,0.776,1.118,-1,0.094,0.031
31.000,4462,146.8,6.8,2.645,0.853,1.100,-1,0.098,0.030
32.000,4606,143.7,7,2.633,0.881,1.198,-1,0.094,0.030
33.000,4750,162.1,6.2,1.981,0.905,1.328,-1,0.100,0.031
34.000,4894,175.5,5.7,2.040,0.883,1.293,-1,0.095,0.031
35.000,5038,144.5,6.9,2.193,1.030,1.456,-1,0.119,0.039
36.000,5182,131.8,7.6,2.558,1.169,1.500,-1,0.109,0.030
37.000,5326,132.7,7.5,2.619,1.264,1.237,-1,0.094,0.030
38.000,5470,136.4,7.3,2.676,1.029,1.348,-1,0.106,0.030
39.000,5614,147.3,6.8,2.110,1.012,1.532,-1,0.120,0.031
40.000,5757,160.2,6.2,1.908,1.060,1.563,-1,0.096,0.032
41.000,5901,158.4,6.3,2.042,0.955,1.461,-1,0.094,0.030
42.000,6045,143.7,7,2.625,0.852,1.320,-1,0.103,0.030
43.000,6189,144,6.9,2.810,0.861,1.102,-1,0.094,0.031
44.000,6333,144.9,6.9,2.656,0.931,1.159,-1,0.095,0.030
45.000,6477,144,6.9,2.449,0.928,1.365,-1,0.125,0.031
46.000,6621,158.8,6.3,2.040,0.912,1.396,-1,0.094,0.031
47.001,6765,155.8,6.4,2.049,1.014,1.377,-1,0.093,0.031
48.000,6908,135.1,7.4,2.405,1.186,1.373,-1,0.096,0.031
49.000,7052,139.6,7.2,2.574,1.016,1.273,-1,0.120,0.030
50.000,7196,133.1,7.5,2.777,0.885,1.304,-1,0.104,0.031
51.000,7340,138.2,7.2,2.300,0.970,1.743,-1,0.097,0.030
52.000,7484,145.7,6.9,1.848,1.091,1.760,-1,0.129,0.040
53.000,7628,149.8,6.7,1.854,0.998,1.734,-1,0.108,0.034
54.000,7772,144.7,6.9,2.163,1.079,1.563,-1,0.094,0.030
55.000,7916,139.7,7.2,2.888,0.823,1.149,-1,0.094,0.031
56.001,8060,145.5,6.9,2.723,0.867,1.065,-1,0.096,0.030
57.000,8203,137,7.3,2.701,0.896,1.205,-1,0.095,0.031
58.000,8347,157.7,6.3,2.119,0.886,1.356,-1,0.111,0.035
59.000,8491,172.6,5.8,1.961,0.855,1.313,-1,0.096,0.031
60.000,8635,151,6.6,2.059,1.019,1.468,-1,0.094,0.031
61.000,8779,136.8,7.3,2.578,1.153,1.460,-1,0.100,0.030
62.000,8923,135.9,7.4,2.558,1.029,1.455,-1,0.117,0.031
63.000,9067,134.7,7.4,2.732,1.060,1.469,-1,0.102,0.031
64.001,9211,142,7,2.087,1.208,1.685,-1,0.096,0.030
65.000,9354,143.2,7,1.881,1.150,1.626,-1,0.094,0.030
66.000,9498,156.7,6.4,2.020,1.005,1.479,-1,0.098,0.032
67.000,9642,145.6,6.9,2.545,0.812,1.335,-1,0.102,0.031
68.000,9786,140.1,7.1,2.878,0.811,1.138,-1,0.094,0.031
69.000,9930,141,7.1,2.651,0.920,1.151,-1,0.094,0.030
70.000,10074,146.2,6.8,2.529,0.961,1.261,-1,0.107,0.030
71.000,10218,163.4,6.1,2.049,0.895,1.356,-1,0.094,0.030
72.001,10362,156.1,6.4,2.015,0.885,1.508,-1,0.096,0.037
73.001,10506,138,7.2,2.392,1.266,1.405,-1,0.097,0.031
74.000,10649,134.6,7.4,2.565,1.160,1.289,-1,0.097,0.030
75.000,10793,138.9,7.2,2.777,0.917,1.234,-1,0.103,0.031
76.000,10937,136.6,7.3,2.459,0.947,1.486,-1,0.095,0.031
77.000,11081,147.9,6.8,1.956,1.028,1.658,-1,0.098,0.030
78.000,11225,155.3,6.4,1.852,1.075,1.584,-1,0.095,0.035
79.000,11369,151.2,6.6,2.130,0.982,1.465,-1,0.095,0.031
80.000,11513,133.6,7.5,2.840,0.853,1.383,-1,0.094,0.039
81.000,11657,137.8,7.3,2.813,0.975,1.142,-1,0.094,0.030
82.000,11800,138.4,7.2,2.734,1.008,1.133,-1,0.095,0.031
83.000,11944,151.8,6.6,2.191,1.002,1.275,-1,0.097,0.031
84.000,12088,168.2,5.9,2.032,0.859,1.261,-1,0.099,0.031
85.000,12232,151,6.6,2.162,0.997,1.383,-1,0.096,0.031
86.000,12376,136.7,7.3,2.606,1.074,1.360,-1,0.095,0.030
87.000,12520,137.4,7.3,2.555,1.082,1.351,-1,0.124,0.031
88.000,12664,132.5,7.5,2.779,1.105,1.418,-1,0.109,0.030
89.000,12808,142.8,7,2.008,1.202,1.652,-1,0.095,0.031
90.001,12952,151.2,6.6,1.794,1.159,1.632,-1,0.105,0.035
91.000,13095,163.3,6.1,1.944,1.038,1.483,-1,0.096,0.030
92.000,13239,151.3,6.6,2.462,0.879,1.324,-1,0.097,0.031
93.000,13383,143.1,7,2.804,0.819,1.135,-1,0.095,0.031
94.000,13527,142.4,7,2.638,0.910,1.179,-1,0.095,0.031
95.000,13671,141.1,7.1,2.617,0.933,1.228,-1,0.094,0.031
96.000,13815,165.2,6.1,2.050,0.918,1.310,-1,0.095,0.031
97.000,13959,159.8,6.3,2.106,0.902,1.382,-1,0.095,0.031
98.000,14103,137.8,7.3,2.170,1.120,1.544,-1,0.095,0.035
99.000,14247,133.2,7.5,2.619,1.305,1.270,-1,0.098,0.031
100.000,14390,138,7.2,2.726,1.087,1.230,-1,0.115,0.031
101.000,14534,135.7,7.4,2.580,0.950,1.443,-1,0.095,0.031
102.000,14678,143.9,7,2.151,0.987,1.594,-1,0.116,0.031
103.000,14822,158.1,6.3,1.899,1.011,1.636,-1,0.095,0.031
104.000,14966,141.1,7.1,2.086,0.970,1.660,-1,0.094,0.031
105.000,15110,135.1,7.4,2.828,0.937,1.255,-1,0.095,0.030
106.000,15254,137.1,7.3,2.815,0.926,1.099,-1,0.095,0.030
107.000,15398,137.5,7.3,2.678,0.958,1.147,-1,0.096,0.030
108.000,15542,155.1,6.4,2.274,0.938,1.282,-1,0.094,0.030
109.000,15685,166.7,6,2.096,0.818,1.253,-1,0.096,0.031
110.000,15829,152.8,6.5,2.184,0.904,1.407,-1,0.097,0.031
111.000,15973,137.1,7.3,2.571,1.119,1.379,-1,0.095,0.031
