time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,120,225,4.4,0.727,0.545,1.092,-1,0.093,0.031
2.000,264,212.1,4.7,0.670,0.560,1.291,-1,0.095,0.031
3.001,408,204.8,4.9,0.737,0.557,1.532,-1,0.096,0.031
4.000,552,187,5.3,0.713,0.562,1.599,-1,0.098,0.046
5.000,695,195.9,5.1,0.667,0.600,1.870,-1,0.159,0.048
6.000,839,186.3,5.4,0.728,0.598,1.900,-1,0.095,0.031
7.000,983,215,4.7,0.711,0.626,1.669,-1,0.095,0.031
8.000,1127,218.6,4.6,0.690,0.684,1.517,-1,0.094,0.031
9.000,1271,221,4.5,0.753,0.516,1.281,-1,0.093,0.031
10.000,1415,218.2,4.6,0.902,0.354,0.996,-1,0.093,0.031
11.000,1559,221.7,4.5,0.727,0.602,0.872,-1,0.094,0.031
12.000,1703,228.1,4.4,0.899,0.316,0.876,-1,0.101,0.032
13.000,1847,228.6,4.4,0.919,0.337,0.990,-1,0.096,0.031
14.000,1990,226.1,4.4,0.689,0.612,1.165,-1,0.094,0.032
15.000,2134,210.6,4.7,0.748,0.501,1.494,-1,0.094,0.031
16.000,2278,222,4.5,0.751,0.645,1.627,-1,0.094,0.031
17.000,2422,206.4,4.8,0.687,0.639,1.803,-1,0.097,0.041
18.000,2566,207.6,4.8,0.687,0.667,1.930,-1,0.119,0.036
19.000,2710,219.1,4.6,0.722,0.724,1.714,-1,0.101,0.034
20.000,2854,210.5,4.8,0.707,0.635,1.612,-1,0.096,0.035
21.000,2997,206.9,4.8,0.712,0.512,1.444,-1,0.096,0.032
22.000,3141,219.7,4.6,0.831,0.373,1.158,-1,0.095,0.032
23.000,3285,226.3,4.4,0.892,0.315,0.941,-1,0.094,0.032
24.001,3429,230.8,4.3,0.896,0.340,0.851,-1,0.094,0.032
25.000,3573,221.1,4.5,0.908,0.318,0.955,-1,0.094,0.031
