time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,146,204.1,4.9,0.819,0.385,1.317,-1,0.096,0.032
2.000,290,198.2,5,0.678,0.619,1.541,-1,0.095,0.032
3.000,434,198.3,5,0.780,0.684,1.578,-1,0.094,0.031
4.000,577,207.3,4.8,0.731,0.764,1.624,-1,0.101,0.031
5.000,721,194.4,5.1,0.666,0.659,1.796,-1,0.113,0.037
6.000,865,214.9,4.7,0.710,0.661,1.725,-1,0.098,0.032
7.000,1009,208.8,4.8,0.714,0.609,1.618,-1,0.098,0.040
8.000,1153,200.7,5,0.694,0.586,1.546,-1,0.095,0.032
9.000,1297,216.7,4.6,0.806,0.432,1.329,-1,0.095,0.032
10.000,1441,225.7,4.4,0.948,0.320,1.044,-1,0.094,0.031
11.000,1585,223.2,4.5,0.794,0.463,1.016,-1,0.095,0.031
12.001,1729,224.9,4.4,0.946,0.321,1.043,-1,0.095,0.031
13.000,1872,221.4,4.5,0.946,0.329,1.095,-1,0.094,0.031
14.000,2016,222.4,4.5,0.685,0.671,1.184,-1,0.094,0.031
15.000,2160,214.2,4.7,0.716,0.616,1.412,-1,0.097,0.032
16.000,2304,193.2,5.2,0.741,0.564,1.552,-1,0.096,0.032
17.000,2448,208.7,4.8,0.690,0.616,1.696,-1,0.098,0.032
18.000,2592,201.8,5,0.697,0.529,1.802,-1,0.101,0.032
19.000,2736,203.7,4.9,0.772,0.498,1.664,-1,0.120,0.050
20.000,2880,189.3,5.3,0.708,0.509,1.627,-1,0.096,0.032
21.000,3023,215.7,4.6,0.728,0.606,1.509,-1,0.094,0.032
22.000,3167,207.2,4.8,0.852,0.375,1.286,-1,0.095,0.032
23.000,3311,220.9,4.5,0.920,0.332,0.988,-1,0.096,0.032
24.000,3455,230.5,4.3,0.820,0.427,0.849,-1,0.095,0.032
25.000,3599,225.5,4.4,0.848,0.320,0.954,-1,0.098,0.033
26.000,3743,222.8,4.5,0.808,0.437,1.080,-1,0.095,0.032
27.000,3887,217,4.6,0.682,0.485,1.290,-1,0.095,0.032
28.000,4031,221.4,4.5,0.857,0.434,1.510,-1,0.094,0.032
29.001,4175,219.5,4.6,0.730,0.642,1.642,-1,0.094,0.043
30.000,4318,220.4,4.5,0.664,0.669,1.937,-1,0.121,0.048
31.000,4462,200.4,5,0.707,0.707,1.920,-1,0.107,0.031
32.000,4606,202.4,4.9,0.718,0.632,1.647,-1,0.096,0.031
33.000,4750,180,5.6,0.692,0.553,1.542,-1,0.099,0.032
34.000,4894,215.2,4.6,0.750,0.408,1.364,-1,0.096,0.032
35.000,5038,226.3,4.4,0.876,0.324,1.048,-1,0.095,0.032
36.000,5182,218.8,4.6,0.831,0.316,0.927,-1,0.094,0.031
37.000,5326,222.4,4.5,0.892,0.318,0.992,-1,0.094,0.031
38.000,5470,223.2,4.5,0.886,0.319,1.062,-1,0.095,0.031
39.000,5613,225.2,4.4,0.699,0.548,1.296,-1,0.094,0.031
40.000,5757,224.1,4.5,0.703,0.643,1.506,-1,0.094,0.031
