time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,40,9.4,105.8,13.157,9.934,4.154,-1,0.096,0.030
2.000,77,9.9,101,12.952,9.174,3.909,-1,0.095,0.030
3.000,118,10.9,91.4,11.458,8.393,3.652,-1,0.096,0.030
4.000,159,10.4,96.2,11.889,9.347,3.508,-1,0.101,0.030
5.000,200,11,90.9,11.119,8.955,3.269,-1,0.094,0.031
6.000,245,11.8,85,10.239,7.204,3.596,-1,0.094,0.031
7.000,291,12.1,82.4,9.700,6.948,3.704,-1,0.095,0.030
8.000,339,12.3,81,9.185,6.663,3.924,-1,0.095,0.030
9.000,388,12.8,78.1,9.954,6.343,3.752,-1,0.094,0.030
10.000,441,13.5,74.2,9.379,5.863,3.407,-1,0.095,0.030
11.000,492,12.7,78.9,9.206,6.520,3.502,-1,0.120,0.030
12.000,533,10.2,98.5,14.202,7.741,3.629,-1,0.095,0.030
13.000,570,9.5,105.4,13.307,8.605,3.821,-1,0.102,0.031
14.000,608,9.5,104.8,13.078,8.652,3.711,-1,0.104,0.030
15.000,647,10.3,97.4,11.744,9.097,3.775,-1,0.095,0.032
16.000,690,11.2,89.1,11.198,7.667,3.255,-1,0.095,0.030
17.000,731,10.5,95.1,11.271,8.660,3.594,-1,0.095,0.030
18.000,775,11.5,87,10.626,7.904,3.319,-1,0.101,0.030
19.000,820,11.9,84.2,10.474,7.568,3.737,-1,0.094,0.030
20.000,867,12.6,79.2,10.417,6.330,3.932,-1,0.095,0.030
21.000,916,12.4,80.4,9.722,6.118,3.818,-1,0.095,0.030
22.000,966,13.7,73.2,8.823,6.153,3.520,-1,0.097,0.032
23.000,1019,14.1,71.1,8.249,5.980,3.467,-1,0.124,0.033
24.000,1066,11.7,85.3,11.204,6.643,3.537,-1,0.095,0.030
25.000,1104,9.9,100.6,14.047,8.581,3.821,-1,0.095,0.030
26.000,1141,9.5,104.9,12.961,8.551,3.934,-1,0.096,0.031
27.000,1179,9.7,103.4,12.934,8.927,3.833,-1,0.095,0.030
28.000,1221,11.3,88.5,11.331,7.816,3.514,-1,0.096,0.030
29.000,1263,10.9,91.8,11.619,8.306,3.554,-1,0.095,0.030
30.000,1305,11,91.1,11.339,8.952,3.421,-1,0.095,0.030
31.000,1349,11.8,84.6,10.422,7.572,3.502,-1,0.095,0.030
32.000,1395,11.9,84.3,10.358,6.982,3.789,-1,0.100,0.030
33.000,1443,12.3,81.6,10.651,6.416,3.808,-1,0.095,0.030
34.000,1491,12.6,79.6,10.197,6.481,3.812,-1,0.095,0.030
35.000,1543,13.4,74.5,8.444,5.971,3.281,-1,0.095,0.030
36.000,1595,12.9,77.7,9.089,6.945,3.333,-1,0.094,0.030
37.000,1638,10.4,95.7,13.688,7.446,3.522,-1,0.095,0.030
38.000,1676,9.6,104.1,13.303,8.962,3.933,-1,0.096,0.030
39.000,1713,9.7,103.4,13.204,9.405,3.862,-1,0.096,0.031
40.000,1752,10.2,97.9,12.027,9.392,3.863,-1,0.096,0.030
41.000,1794,11.3,88.3,11.330,7.557,3.391,-1,0.154,0.030
42.000,1836,10.5,95.4,10.921,9.151,3.565,-1,0.095,0.030
43.000,1879,11.4,88.1,10.434,8.071,3.216,-1,0.153,0.030
44.000,1924,11.7,85.1,10.547,7.510,3.598,-1,0.095,0.030
45.000,1971,12.4,80.7,10.400,6.624,3.807,-1,0.153,0.068
46.000,2019,12.2,81.8,9.768,6.529,3.842,-1,0.096,0.030
47.000,2069,13.4,74.8,8.555,6.165,3.629,-1,0.094,0.030
48.000,2122,14,71.4,8.698,5.942,3.442,-1,0.119,0.030
49.000,2171,12.5,80.1,10.109,6.773,3.485,-1,0.094,0.030
50.000,2210,10.1,98.8,13.375,8.024,3.872,-1,0.095,0.030
51.000,2247,9.6,104.1,13.369,9.086,3.838,-1,0.096,0.030
52.000,2285,9.7,102.7,12.922,9.193,3.894,-1,0.096,0.030
53.000,2326,10.8,92.2,11.594,8.154,3.685,-1,0.096,0.030
54.000,2368,11.1,90.2,11.164,7.768,3.407,-1,0.125,0.031
55.000,2409,10.7,93.1,11.545,9.332,3.587,-1,0.095,0.030
56.000,2454,11.8,84.5,10.273,7.970,3.521,-1,0.095,0.030
57.000,2499,11.7,85.1,10.593,7.234,3.657,-1,0.127,0.031
58.000,2546,12.5,80.2,9.857,6.599,3.813,-1,0.152,0.030
59.000,2594,12.5,80,10.218,6.199,3.770,-1,0.094,0.030
60.000,2646,13.7,72.8,8.947,5.384,3.400,-1,0.128,0.034
61.000,2699,13.2,75.5,8.446,6.403,3.361,-1,0.148,0.031
62.000,2742,10.4,96.4,13.160,8.140,3.516,-1,0.095,0.030
63.000,2780,9.7,103,13.492,8.552,3.842,-1,0.095,0.031
64.000,2818,9.6,103.7,12.668,9.345,3.853,-1,0.097,0.037
65.000,2856,10,100.3,12.487,8.992,3.805,-1,0.179,0.030
66.000,2898,11.1,90.3,11.375,8.285,3.376,-1,0.095,0.031
67.000,2940,10.5,95.6,11.331,8.731,3.423,-1,0.095,0.030
68.000,2982,11.1,90,10.658,8.806,3.162,-1,0.095,0.088
69.000,3027,11.8,84.9,10.529,7.393,3.672,-1,0.134,0.030
70.000,3073,12.2,81.9,9.458,6.746,3.967,-1,0.095,0.030
71.000,3121,12.2,81.6,10.077,6.410,3.891,-1,0.095,0.031
72.000,3171,13,76.8,9.516,6.070,3.710,-1,0.094,0.066
73.000,3224,13.7,72.8,8.527,5.878,3.270,-1,0.094,0.030
74.000,3274,12.7,78.8,9.879,6.857,3.630,-1,0.095,0.031
75.000,3313,10.1,98.6,13.117,8.353,3.612,-1,0.095,0.030
76.000,3351,9.5,105.1,12.539,10.151,3.838,-1,0.102,0.030
77.000,3389,9.5,105.2,12.379,8.892,4.021,-1,0.095,0.030
78.000,3428,10.8,92.8,11.863,8.407,3.673,-1,0.095,0.031
79.000,3471,11.2,89.3,11.399,7.885,3.366,-1,0.152,0.030
80.000,3512,10.6,94.4,11.010,9.577,3.560,-1,0.095,0.030
81.000,3556,11.7,85.1,10.340,7.709,3.400,-1,0.095,0.030
82.000,3601,12.1,82.9,10.611,6.704,3.690,-1,0.106,0.030
83.000,3649,12.4,80.4,10.187,6.033,3.812,-1,0.095,0.089
84.000,3697,12.4,80.3,9.754,6.081,3.857,-1,0.094,0.030
85.000,3749,13.9,71.9,8.899,5.480,3.488,-1,0.100,0.030
86.000,3802,13.8,72.5,8.618,6.708,3.340,-1,0.119,0.030
87.000,3846,10.8,93,12.227,7.455,3.488,-1,0.124,0.030
88.000,3884,9.8,102.1,13.532,8.077,3.737,-1,0.102,0.031
89.000,3921,9.5,105.8,12.824,8.913,3.984,-1,0.137,0.030
90.000,3959,9.7,103.4,12.436,8.175,3.763,-1,0.096,0.030
91.000,4001,11.3,88.2,11.361,7.328,3.454,-1,0.095,0.030
