time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,60,14.7,68.1,9.487,3.961,3.748,-1,0.093,0.030
2.000,117,15,66.5,9.234,3.780,3.549,-1,0.094,0.030
3.000,181,16.8,59.5,7.965,3.570,3.297,-1,0.098,0.030
4.000,251,18.9,53,6.988,2.972,3.244,-1,0.094,0.030
5.000,326,19.4,51.5,6.533,3.242,2.985,-1,0.129,0.030
6.000,398,18.6,53.8,6.765,3.308,3.397,-1,0.094,0.031
7.000,467,18.2,54.8,6.992,3.357,3.598,-1,0.099,0.031
8.000,535,18.2,55,6.915,3.217,3.704,-1,0.094,0.030
9.000,609,19.6,51.1,6.128,2.856,3.446,-1,0.094,0.031
10.000,693,22.3,44.8,5.182,2.665,3.108,-1,0.098,0.030
11.000,779,21.3,46.9,5.305,2.873,3.216,-1,0.094,0.031
12.000,846,16.5,60.6,8.497,3.314,3.504,-1,0.123,0.030
13.000,905,15,66.6,9.445,3.561,3.675,-1,0.094,0.030
14.000,963,15,66.6,9.306,3.565,3.697,-1,0.094,0.030
15.000,1024,16.2,61.8,8.567,3.433,3.454,-1,0.094,0.031
16.000,1091,18.1,55.2,7.525,3.180,3.218,-1,0.095,0.030
17.000,1166,19.9,50.2,6.416,2.914,3.107,-1,0.116,0.048
18.000,1240,19.2,52.2,6.629,3.257,3.108,-1,0.094,0.030
19.000,1310,18.2,55,7.053,3.299,3.538,-1,0.094,0.031
20.000,1378,17.9,55.9,6.884,3.414,3.672,-1,0.094,0.030
21.000,1448,18.5,54.2,6.893,3.034,3.692,-1,0.094,0.030
22.001,1527,21.4,46.7,5.500,2.704,3.368,-1,0.095,0.031
23.000,1614,23.4,42.8,4.733,2.555,3.204,-1,0.094,0.030
24.000,1693,19.5,51.3,6.541,2.922,3.254,-1,0.130,0.030
25.000,1755,15.8,63.2,8.856,3.462,3.577,-1,0.094,0.031
26.000,1813,15.2,65.6,9.197,3.814,3.943,-1,0.094,0.031
27.000,1871,15.1,66.2,9.297,3.576,3.644,-1,0.094,0.030
28.000,1935,16.8,59.4,7.802,3.508,3.182,-1,0.094,0.031
29.000,2005,18.7,53.6,7.129,2.965,3.081,-1,0.135,0.030
30.000,2081,19.5,51.3,6.425,3.031,3.011,-1,0.095,0.030
31.000,2153,18.7,53.4,6.757,3.347,3.294,-1,0.094,0.031
32.001,2222,18.2,54.8,7.030,3.361,3.654,-1,0.094,0.030
33.000,2290,18.1,55.2,6.838,3.164,3.862,-1,0.095,0.031
34.000,2362,19.3,51.9,6.343,2.851,3.551,-1,0.094,0.030
35.000,2445,21.8,45.9,5.430,2.668,3.138,-1,0.094,0.031
36.000,2532,21.8,45.8,5.332,2.770,3.088,-1,0.094,0.031
37.001,2603,16.9,59,8.226,3.234,3.334,-1,0.159,0.031
38.000,2662,15.3,65.6,9.098,3.752,3.668,-1,0.094,0.030
39.000,2720,15.3,65.4,9.034,3.786,3.891,-1,0.095,0.030
40.000,2780,15.9,62.9,8.718,3.551,3.520,-1,0.094,0.030
41.000,2846,17.9,55.8,7.457,3.330,3.146,-1,0.098,0.030
42.000,2920,19.6,51,6.627,2.860,3.177,-1,0.111,0.030
43.000,2994,19.7,50.8,6.634,3.240,3.106,-1,0.130,0.030
44.000,3065,18.3,54.7,7.006,3.385,3.421,-1,0.095,0.031
45.000,3133,18,55.7,6.931,3.486,3.766,-1,0.094,0.030
46.000,3202,18.4,54.3,6.825,3.015,3.705,-1,0.114,0.031
47.000,3280,20.8,48.1,5.548,2.857,3.427,-1,0.095,0.030
48.000,3367,23.1,43.3,4.805,2.650,3.110,-1,0.094,0.030
49.000,3448,20.4,49,5.831,2.926,3.348,-1,0.113,0.031
50.000,3511,15.9,62.7,8.852,3.484,3.645,-1,0.099,0.031
51.000,3569,15.2,65.8,9.440,3.733,3.663,-1,0.094,0.030
52.000,3628,15.3,65.3,9.144,3.665,3.651,-1,0.094,0.030
53.000,3690,16.7,59.7,8.101,3.538,3.309,-1,0.095,0.030
54.000,3760,18.4,54.2,7.339,3.140,3.069,-1,0.094,0.031
55.000,3835,19.7,50.8,6.365,2.962,3.033,-1,0.133,0.031
56.001,3908,18.8,53.3,6.750,3.305,3.179,-1,0.094,0.031
57.000,3977,18.2,54.9,6.974,3.337,3.753,-1,0.094,0.030
58.000,4045,17.8,56.1,7.023,3.271,3.759,-1,0.094,0.031
59.000,4117,19.1,52.3,6.574,2.789,3.666,-1,0.094,0.031
60.001,4199,21.7,46.1,5.462,2.544,3.244,-1,0.094,0.054
61.000,4287,22.8,43.9,5.022,2.688,3.055,-1,0.118,0.031
62.000,4359,17.4,57.3,7.797,3.167,3.255,-1,0.133,0.030
63.000,4419,15.2,65.7,9.182,3.709,3.611,-1,0.094,0.030
64.000,4477,15.1,66.4,9.339,3.852,3.511,-1,0.099,0.030
65.000,4536,15.6,64.2,8.925,3.544,3.473,-1,0.124,0.030
66.000,4602,17.6,56.7,7.726,3.379,3.196,-1,0.098,0.030
67.001,4675,19.3,51.8,6.866,2.836,3.014,-1,0.094,0.031
68.000,4750,19.5,51.4,6.662,3.141,2.956,-1,0.098,0.031
69.000,4821,18.3,54.7,6.994,3.202,3.399,-1,0.094,0.030
70.000,4889,18.1,55.3,6.931,3.480,3.658,-1,0.095,0.032
71.000,4958,18.2,55.1,6.998,3.076,3.767,-1,0.133,0.030
72.000,5034,20.1,49.8,5.696,2.774,3.466,-1,0.094,0.031
73.000,5119,22.7,44,4.916,2.570,3.169,-1,0.110,0.031
74.001,5204,21,47.7,5.594,2.870,3.429,-1,0.094,0.030
75.000,5268,16.3,61.5,8.804,3.409,3.366,-1,0.094,0.030
76.000,5326,15.1,66.2,9.424,3.907,3.713,-1,0.094,0.030
77.000,5384,15.3,65.2,9.209,3.827,3.829,-1,0.094,0.030
78.000,5446,16.6,60.4,8.284,3.494,3.345,-1,0.117,0.031
79.000,5514,17.9,55.8,7.539,3.147,2.974,-1,0.094,0.030
80.000,5589,19.7,50.7,6.429,2.991,3.156,-1,0.094,0.030
81.000,5663,19.1,52.3,6.617,3.278,3.196,-1,0.098,0.030
82.000,5733,18.1,55.1,7.022,3.322,3.545,-1,0.095,0.031
83.000,5801,18,55.7,7.009,3.253,3.936,-1,0.094,0.031
84.001,5872,19,52.5,6.601,3.058,3.554,-1,0.141,0.056
85.000,5952,21.5,46.6,5.349,2.643,3.236,-1,0.095,0.062
86.000,6040,23.3,42.9,4.841,2.589,3.042,-1,0.095,0.031
87.000,6115,18.1,55.3,7.384,2.977,3.346,-1,0.094,0.031
88.000,6176,15.6,64.2,9.078,3.506,3.611,-1,0.094,0.031
89.000,6234,15.2,65.9,9.595,3.847,3.481,-1,0.095,0.030
90.000,6293,15.4,65,8.961,3.657,3.645,-1,0.095,0.031
91.000,6358,17.3,57.8,7.640,3.330,3.276,-1,0.095,0.030
92.000,6429,19.1,52.4,6.880,3.012,3.019,-1,0.094,0.030
93.001,6505,19.3,51.9,6.647,3.068,3.023,-1,0.094,0.031
94.000,6576,18.6,53.8,6.816,3.331,3.301,-1,0.120,0.030
95.000,6645,18.1,55.2,6.991,3.368,3.738,-1,0.094,0.031
96.000,6713,18.1,55.4,6.982,3.176,3.684,-1,0.095,0.030
97.000,6788,19.8,50.4,5.948,2.917,3.515,-1,0.094,0.031
98.000,6872,22.3,44.8,5.161,2.644,3.198,-1,0.094,0.031
99.000,6958,21.4,46.7,5.326,2.869,3.308,-1,0.110,0.030
100.000,7025,16.4,61.1,8.398,3.271,3.410,-1,0.094,0.030
101.000,7084,15.3,65.4,9.363,3.522,3.684,-1,0.094,0.030
102.000,7142,15.2,65.7,9.293,3.538,3.730,-1,0.094,0.030
103.000,7203,16.3,61.5,8.505,3.503,3.544,-1,0.094,0.030
104.000,7270,18.1,55.3,7.589,3.159,3.083,-1,0.094,0.030
105.000,7345,19.8,50.6,6.524,2.888,3.050,-1,0.095,0.034
106.000,7419,19.3,51.9,6.741,3.241,3.197,-1,0.094,0.030
107.000,7489,18.2,54.9,7.036,3.377,3.576,-1,0.114,0.030
108.000,7557,18,55.7,6.887,3.383,3.710,-1,0.094,0.030
109.000,7627,18.8,53.3,6.762,3.010,3.589,-1,0.095,0.031
