time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,144,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
2.000,288,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
3.000,432,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
4.000,576,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
5.000,720,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
6.000,863,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
7.000,1007,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
8.000,1151,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
9.000,1295,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
10.000,1439,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
11.000,1583,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
12.000,1727,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
13.000,1871,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
14.000,2014,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
15.000,2158,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
16.000,2302,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
17.000,2446,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
18.000,2590,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
19.000,2734,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
20.000,2878,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
21.000,3022,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
22.000,3165,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
23.000,3309,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
24.000,3453,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
25.000,3597,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
26.000,3741,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
27.000,3885,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
28.000,4029,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
29.000,4173,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
30.000,4317,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
