time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,146,134.4,7.4,1.027,1.029,3.242,-1,0.098,0.031
2.000,290,141.3,7.1,0.941,0.981,3.009,-1,0.092,0.031
3.001,434,146.8,6.8,1.017,0.882,2.714,-1,0.094,0.031
4.000,577,157.6,6.3,1.106,0.821,2.610,-1,0.099,0.031
5.000,721,148.4,6.7,1.032,0.844,2.716,-1,0.094,0.031
6.000,865,160.5,6.2,1.045,0.807,2.656,-1,0.093,0.032
7.000,1009,143.1,7,0.988,0.880,2.914,-1,0.093,0.031
8.000,1153,138.8,7.2,0.944,0.973,3.134,-1,0.093,0.031
9.000,1297,140.6,7.1,0.969,0.922,3.229,-1,0.093,0.031
10.000,1441,135.7,7.4,1.031,0.940,3.318,-1,0.094,0.032
11.000,1542,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
12.000,1594,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
13.000,1738,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
14.000,1882,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
15.000,2025,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
16.000,2169,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
17.000,2313,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
18.000,2457,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
19.000,2601,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
20.000,2745,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
21.000,2889,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
22.000,3033,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
23.000,3177,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
24.000,3320,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
25.000,3464,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
26.000,3608,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
27.000,3752,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
28.000,3896,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
29.000,4040,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
30.000,4184,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
31.000,4328,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
32.000,4472,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
33.000,4616,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
34.000,4759,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
35.000,4903,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
36.000,5047,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
37.000,5191,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
38.000,5335,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
39.000,5479,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
40.000,5623,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
41.000,5767,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
42.000,5910,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
43.000,6054,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
44.000,6198,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
45.000,6342,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
46.000,6486,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
47.000,6630,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
48.000,6774,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
49.000,6918,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
50.000,7062,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
51.000,7205,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
52.000,7349,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
53.000,7493,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
54.000,7637,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
55.000,7781,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
56.000,7925,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
57.000,8069,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
58.000,8213,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
59.000,8357,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
60.000,8500,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
61.000,8644,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
62.000,8788,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
63.000,8932,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
64.000,9076,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
65.000,9220,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
66.000,9364,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
67.000,9508,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
68.000,9651,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
69.000,9795,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
70.000,9939,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
71.000,10083,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
72.000,10227,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
73.000,10371,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
74.000,10515,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
75.000,10659,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
76.000,10802,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
77.000,10946,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
78.000,11090,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
79.000,11234,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
80.000,11378,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
81.000,11522,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
82.000,11666,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
83.000,11810,136.2,7.3,1.102,0.945,3.369,-1,0.098,0.033
