time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,146,126.2,7.9,1.502,0.895,3.259,-1,0.126,0.037
2.000,289,135.7,7.4,1.372,0.871,3.223,-1,0.110,0.032
3.000,433,131.1,7.6,1.556,0.995,2.930,-1,0.099,0.032
4.000,577,139.1,7.2,1.316,0.912,2.814,-1,0.097,0.031
5.000,721,139.4,7.2,1.454,0.842,2.642,-1,0.099,0.031
6.000,865,140.3,7.1,1.324,0.861,2.786,-1,0.094,0.036
7.000,1009,137,7.3,1.305,0.838,2.996,-1,0.108,0.036
8.000,1153,139.3,7.2,1.356,0.809,2.933,-1,0.095,0.035
9.000,1297,143.6,7,1.209,0.744,2.904,-1,0.094,0.031
10.000,1441,152.9,6.5,0.996,0.708,2.874,-1,0.095,0.031
11.000,1584,146.6,6.8,1.021,0.717,2.924,-1,0.094,0.031
12.000,1728,136,7.4,1.268,0.801,2.952,-1,0.094,0.031
13.000,1872,136.4,7.3,1.416,0.848,3.031,-1,0.098,0.032
14.000,2016,136.9,7.3,1.394,0.894,2.989,-1,0.097,0.031
15.000,2160,137.1,7.3,1.409,0.884,2.804,-1,0.094,0.031
16.000,2304,145.2,6.9,1.404,0.907,2.541,-1,0.095,0.031
17.000,2448,145.1,6.9,1.273,0.882,2.506,-1,0.094,0.031
18.000,2592,136.6,7.3,1.396,0.868,2.880,-1,0.095,0.031
19.000,2735,135.5,7.4,1.351,0.843,3.086,-1,0.099,0.031
20.000,2879,133.6,7.5,1.338,0.857,3.104,-1,0.095,0.031
21.000,3023,139.7,7.2,1.294,0.760,3.016,-1,0.096,0.031
22.000,3167,139.5,7.2,1.114,0.699,2.895,-1,0.099,0.032
23.000,3311,148,6.8,0.967,0.716,2.840,-1,0.096,0.032
24.000,3455,145,6.9,1.143,0.729,2.759,-1,0.094,0.035
25.000,3599,139,7.2,1.349,0.789,2.861,-1,0.101,0.038
26.000,3743,134.7,7.4,1.427,0.882,3.005,-1,0.095,0.032
27.000,3887,138.9,7.2,1.385,0.905,3.024,-1,0.115,0.031
28.000,4030,134.7,7.4,1.634,0.929,2.891,-1,0.094,0.036
29.000,4174,136.9,7.3,1.291,0.877,2.773,-1,0.095,0.032
30.000,4318,140.2,7.1,1.362,0.850,2.697,-1,0.096,0.031
31.000,4462,140.7,7.1,1.346,0.869,2.850,-1,0.097,0.032
32.000,4606,135.8,7.4,1.337,0.841,2.957,-1,0.094,0.032
33.000,4750,139.6,7.2,1.383,0.782,2.916,-1,0.099,0.031
34.000,4894,144.8,6.9,1.214,0.738,2.734,-1,0.095,0.031
35.000,5038,169.5,5.9,1.034,0.697,2.618,-1,0.095,0.031
36.000,5182,157.1,6.4,0.989,0.717,2.764,-1,0.098,0.032
37.000,5325,139.5,7.2,1.245,0.774,3.001,-1,0.098,0.032
38.000,5469,133.1,7.5,1.360,0.831,3.119,-1,0.098,0.036
39.000,5613,133.4,7.5,1.426,0.892,3.122,-1,0.105,0.032
40.000,5757,138.8,7.2,1.409,0.887,2.896,-1,0.096,0.031
41.000,5901,141.5,7.1,1.567,0.876,2.545,-1,0.095,0.032
42.000,6045,144.7,6.9,1.291,0.855,2.543,-1,0.095,0.031
43.000,6189,141.7,7.1,1.376,0.878,2.593,-1,0.094,0.031
44.000,6333,138.8,7.2,1.342,0.852,2.870,-1,0.095,0.040
45.000,6477,134.1,7.5,1.344,0.833,3.175,-1,0.113,0.040
46.000,6620,133.3,7.5,1.365,0.811,3.060,-1,0.095,0.031
47.000,6764,142.4,7,1.120,0.711,2.944,-1,0.094,0.031
48.000,6908,148.6,6.7,0.977,0.705,2.931,-1,0.095,0.032
49.000,7052,148.2,6.7,1.116,0.718,2.739,-1,0.099,0.032
50.002,7196,139.6,7.2,1.325,0.772,2.867,-1,0.095,0.031
51.000,7340,139,7.2,1.414,0.866,2.981,-1,0.114,0.031
52.000,7484,133.6,7.5,1.407,0.914,2.951,-1,0.095,0.031
53.000,7628,129.7,7.7,1.548,0.959,2.852,-1,0.122,0.031
54.000,7771,138.6,7.2,1.338,0.883,2.732,-1,0.094,0.031
55.000,7915,143.1,7,1.343,0.827,2.722,-1,0.095,0.031
56.000,8059,137.7,7.3,1.357,0.860,2.920,-1,0.096,0.031
57.000,8203,136.9,7.3,1.326,0.846,3.061,-1,0.099,0.031
58.000,8347,133.3,7.5,1.419,0.808,2.971,-1,0.096,0.036
59.000,8491,144.7,6.9,1.300,0.754,2.750,-1,0.095,0.032
60.000,8635,158.5,6.3,1.062,0.706,2.642,-1,0.097,0.031
61.000,8779,150.1,6.7,0.980,0.721,2.839,-1,0.095,0.031
62.000,8923,138.7,7.2,1.206,0.765,3.002,-1,0.095,0.031
63.000,9066,136.2,7.3,1.424,0.834,3.115,-1,0.100,0.035
64.000,9210,135.3,7.4,1.393,0.888,3.175,-1,0.105,0.031
65.000,9354,136.9,7.3,1.333,0.918,2.998,-1,0.097,0.031
66.000,9498,135,7.4,1.623,0.973,2.611,-1,0.095,0.032
67.000,9642,146.1,6.8,1.323,0.878,2.584,-1,0.097,0.031
68.000,9786,143.8,7,1.427,0.841,2.603,-1,0.096,0.032
69.000,9930,137.4,7.3,1.368,0.870,2.924,-1,0.099,0.031
70.000,10074,132.7,7.5,1.388,0.882,3.219,-1,0.109,0.035
71.000,10218,139.2,7.2,1.383,0.793,3.102,-1,0.095,0.031
72.000,10361,137.4,7.3,1.190,0.719,2.969,-1,0.095,0.031
73.000,10505,147.8,6.8,0.970,0.723,2.905,-1,0.095,0.031
