time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.001,122,155.9,6.4,0.796,0.703,2.958,-1,0.093,0.031
2.000,266,170.2,5.9,0.713,0.893,2.732,-1,0.093,0.031
3.000,410,172.3,5.8,0.763,0.788,2.527,-1,0.094,0.031
4.000,554,180.6,5.5,0.647,0.838,2.429,-1,0.094,0.032
5.000,698,170.4,5.9,0.706,0.760,2.399,-1,0.097,0.032
6.001,842,163.2,6.1,0.680,0.720,2.657,-1,0.094,0.032
7.000,986,152.8,6.5,0.701,0.678,2.920,-1,0.099,0.031
8.000,1129,149.3,6.7,0.717,0.686,2.996,-1,0.107,0.031
9.000,1273,169.2,5.9,0.657,0.690,2.812,-1,0.103,0.039
10.000,1417,177.1,5.6,0.545,0.731,2.690,-1,0.094,0.031
11.000,1561,170.8,5.9,0.542,0.706,2.745,-1,0.095,0.031
12.000,1705,172.5,5.8,0.669,0.771,2.906,-1,0.094,0.031
13.000,1849,155.4,6.4,0.729,0.815,2.961,-1,0.096,0.032
14.000,1993,153.6,6.5,0.743,0.805,2.857,-1,0.094,0.031
15.001,2137,165.4,6,0.716,0.766,2.678,-1,0.094,0.031
16.000,2280,180.2,5.5,0.714,0.797,2.457,-1,0.094,0.031
17.000,2424,178.6,5.6,0.654,0.728,2.401,-1,0.093,0.031
18.000,2568,172.9,5.8,0.758,0.719,2.570,-1,0.164,0.047
19.000,2712,152.6,6.6,0.690,0.714,3.021,-1,0.103,0.031
20.000,2856,145.5,6.9,0.708,0.687,3.102,-1,0.094,0.032
21.000,3000,165,6.1,0.686,0.716,2.898,-1,0.097,0.032
22.000,3144,172.7,5.8,0.604,0.776,2.681,-1,0.097,0.032
23.000,3288,174.8,5.7,0.516,0.751,2.613,-1,0.094,0.032
24.000,3432,177.2,5.6,0.611,0.738,2.623,-1,0.094,0.032
25.000,3575,167.9,6,0.711,0.745,2.756,-1,0.097,0.031
26.000,3719,148.7,6.7,0.798,0.692,2.977,-1,0.097,0.035
27.000,3863,150.6,6.6,0.763,0.694,3.015,-1,0.097,0.031
28.000,4007,159.8,6.3,0.767,0.727,2.812,-1,0.109,0.031
29.000,4151,169,5.9,0.655,0.625,2.673,-1,0.093,0.031
30.001,4295,180.8,5.5,0.698,0.799,2.566,-1,0.095,0.032
31.000,4439,168.7,5.9,0.689,0.882,2.675,-1,0.096,0.031
32.000,4583,157.2,6.4,0.699,0.770,2.869,-1,0.094,0.031
33.000,4726,162.9,6.1,0.713,0.764,2.833,-1,0.093,0.031
34.000,4870,183,5.5,0.654,0.788,2.656,-1,0.094,0.031
35.000,5014,173.5,5.8,0.567,0.683,2.496,-1,0.094,0.031
