time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,94,23.4,42.7,6.062,2.217,1.914,-1,0.094,0.031
2.000,190,24.6,40.6,5.377,2.315,1.845,-1,0.099,0.031
3.000,285,24.5,40.9,5.734,2.264,1.809,-1,0.096,0.031
4.000,373,23.2,43.1,6.386,2.237,1.932,-1,0.117,0.031
5.000,467,25.5,39.2,5.706,2.157,2.071,-1,0.095,0.031
6.000,563,25.6,39,5.561,2.084,2.095,-1,0.203,0.058
7.000,654,23.7,42.2,6.014,2.345,2.131,-1,0.095,0.031
8.000,740,22.1,45.3,6.455,2.544,2.176,-1,0.095,0.031
9.000,826,22.4,44.5,6.363,2.664,2.114,-1,0.095,0.031
10.000,918,24.7,40.5,5.861,2.284,1.980,-1,0.112,0.045
11.000,1014,25.3,39.5,5.509,2.068,1.994,-1,0.095,0.031
12.000,1111,25.4,39.3,5.410,2.104,2.033,-1,0.097,0.031
13.000,1206,23.6,42.3,5.972,2.104,1.842,-1,0.094,0.032
14.000,1301,24.7,40.5,5.592,2.197,1.761,-1,0.109,0.031
15.000,1397,24.9,40.2,5.536,2.256,1.838,-1,0.096,0.031
16.001,1491,24.3,41.1,6.040,2.247,1.856,-1,0.095,0.031
17.000,1583,24.9,40.1,5.866,2.178,1.895,-1,0.097,0.032
18.000,1679,26.1,38.4,5.415,2.156,2.132,-1,0.111,0.031
19.000,1775,25.3,39.5,5.728,2.137,2.140,-1,0.109,0.047
20.000,1862,21.9,45.7,6.355,2.566,2.107,-1,0.095,0.031
21.000,1948,22.3,44.9,6.218,2.549,2.234,-1,0.095,0.031
22.000,2036,24.1,41.5,5.893,2.449,2.082,-1,0.095,0.031
23.001,2130,25.2,39.7,5.711,2.166,1.949,-1,0.097,0.045
24.000,2227,25.1,39.8,5.452,2.071,1.995,-1,0.094,0.031
25.000,2324,24.8,40.4,5.614,2.074,1.852,-1,0.097,0.047
26.000,2417,23.5,42.6,6.052,2.243,1.846,-1,0.095,0.031
27.000,2515,25.3,39.5,5.322,2.224,1.860,-1,0.098,0.031
28.000,2610,25,40,5.252,2.231,1.836,-1,0.111,0.031
29.000,2702,23.7,42.3,6.224,2.261,1.883,-1,0.100,0.031
30.000,2796,25.8,38.8,5.636,2.088,1.994,-1,0.109,0.046
31.000,2893,25.8,38.8,5.498,2.069,2.114,-1,0.174,0.085
32.000,2986,24.3,41.1,5.986,2.320,2.103,-1,0.098,0.031
33.000,3070,22.1,45.3,6.162,2.474,2.146,-1,0.095,0.031
34.000,3157,22.5,44.4,6.294,2.668,2.189,-1,0.095,0.031
35.000,3247,24.3,41.2,5.924,2.345,2.046,-1,0.095,0.031
36.000,3343,25.4,39.3,5.536,2.100,1.930,-1,0.095,0.031
37.000,3441,25.4,39.4,5.411,2.118,1.975,-1,0.094,0.031
38.000,3536,24.1,41.5,5.860,2.111,1.817,-1,0.095,0.031
39.000,3630,24.3,41.1,5.669,2.190,1.901,-1,0.095,0.031
40.000,3727,24.7,40.5,5.439,2.359,1.839,-1,0.111,0.031
41.000,3822,24.3,41.2,5.995,2.237,1.841,-1,0.098,0.031
42.000,3913,24.7,40.5,5.994,2.171,1.922,-1,0.095,0.031
43.000,4010,26.1,38.3,5.438,2.104,2.122,-1,0.124,0.046
44.000,4105,25.6,39.1,5.629,2.150,2.105,-1,0.127,0.046
45.000,4194,22.3,44.9,6.432,2.555,2.126,-1,0.095,0.031
46.000,4279,22.2,45.1,6.241,2.540,2.235,-1,0.096,0.031
47.000,4367,23.7,42.2,6.393,2.437,2.006,-1,0.095,0.031
48.000,4460,25.1,39.9,5.833,2.223,1.954,-1,0.113,0.033
49.000,4556,25.1,39.9,5.441,2.214,1.971,-1,0.095,0.031
50.000,4654,24.6,40.6,5.552,2.106,1.898,-1,0.109,0.031
51.000,4747,23.3,43,6.221,2.165,1.805,-1,0.094,0.031
52.000,4844,25.2,39.7,5.315,2.192,1.853,-1,0.095,0.031
53.000,4939,24.6,40.6,5.586,2.329,1.840,-1,0.110,0.046
54.000,5031,23.5,42.5,6.246,2.242,1.909,-1,0.095,0.031
55.000,5125,25.4,39.4,5.712,2.122,2.028,-1,0.110,0.046
56.000,5221,25.9,38.6,5.519,2.094,2.143,-1,0.163,0.031
57.000,5315,24.7,40.5,5.910,2.291,2.071,-1,0.110,0.031
58.000,5401,22.1,45.2,6.868,2.760,2.079,-1,0.096,0.031
59.001,5488,22.4,44.7,6.047,2.578,2.193,-1,0.095,0.031
60.000,5577,24.3,41.2,5.919,2.403,2.040,-1,0.095,0.031
61.000,5673,25.3,39.6,5.681,2.087,2.006,-1,0.095,0.031
62.000,5770,25.2,39.6,5.338,2.403,1.939,-1,0.095,0.031
63.000,5866,23.9,41.8,5.875,2.086,1.781,-1,0.095,0.031
64.000,5959,24.1,41.5,5.951,2.275,1.837,-1,0.095,0.031
65.000,6056,24.8,40.3,5.282,2.228,1.829,-1,0.096,0.033
66.000,6151,24.3,41.2,5.682,2.254,1.830,-1,0.095,0.032
67.000,6242,24.5,40.8,6.109,2.195,1.904,-1,0.098,0.031
68.000,6338,25.9,38.7,5.468,2.238,2.061,-1,0.111,0.032
69.000,6434,25.7,39,5.637,2.166,2.042,-1,0.095,0.031
70.000,6523,22.8,43.9,6.327,2.476,2.102,-1,0.101,0.031
71.000,6608,22.1,45.2,6.347,2.631,2.211,-1,0.095,0.031
72.000,6695,23,43.4,6.136,2.511,2.101,-1,0.095,0.031
73.000,6787,25,40,5.852,2.238,2.005,-1,0.098,0.031
74.000,6884,25.3,39.5,5.424,2.057,2.029,-1,0.095,0.031
75.000,6982,25,40,5.433,2.054,2.009,-1,0.095,0.031
76.000,7076,23.3,43,6.027,2.229,1.883,-1,0.095,0.031
77.000,7172,25.2,39.7,5.448,2.217,1.811,-1,0.110,0.031
78.000,7267,24.7,40.5,5.762,2.286,1.855,-1,0.098,0.031
