time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,146,173.3,5.8,1.397,0.637,1.791,-1,0.094,0.031
2.000,290,179.9,5.6,1.273,0.626,1.812,-1,0.100,0.032
3.000,433,175.5,5.7,1.301,0.632,1.807,-1,0.094,0.031
4.000,577,165.6,6,1.591,0.674,1.969,-1,0.094,0.031
5.000,721,167.1,6,1.343,0.689,2.220,-1,0.094,0.031
6.000,865,163.5,6.1,1.406,0.685,2.213,-1,0.094,0.037
7.000,1009,158.7,6.3,1.520,0.752,2.131,-1,0.100,0.031
8.000,1153,169.7,5.9,1.425,0.725,2.120,-1,0.095,0.031
9.000,1297,175.7,5.7,1.334,0.712,2.002,-1,0.095,0.031
10.000,1441,172.4,5.8,1.350,0.700,1.911,-1,0.099,0.033
11.000,1585,180.7,5.5,1.408,0.657,1.929,-1,0.095,0.031
12.000,1728,171.9,5.8,1.323,0.649,1.882,-1,0.094,0.032
13.000,1872,181.4,5.5,1.356,0.674,1.713,-1,0.094,0.032
14.000,2016,179.3,5.6,1.267,0.635,1.710,-1,0.094,0.031
15.000,2160,167.8,6,1.412,0.628,1.857,-1,0.094,0.032
16.000,2304,176.2,5.7,1.394,0.671,1.976,-1,0.094,0.031
17.000,2448,178.7,5.6,1.511,0.672,2.075,-1,0.095,0.031
18.000,2592,173.2,5.8,1.286,0.674,2.262,-1,0.097,0.032
19.000,2736,172.7,5.8,1.543,0.696,2.005,-1,0.098,0.031
20.000,2880,169.7,5.9,1.405,0.709,2.013,-1,0.097,0.031
21.000,3023,169.9,5.9,1.474,0.709,2.047,-1,0.096,0.031
22.000,3167,182.9,5.5,1.349,0.722,1.925,-1,0.094,0.032
23.000,3311,172.4,5.8,1.363,0.672,1.867,-1,0.095,0.031
24.000,3455,164.5,6.1,1.235,0.663,2.049,-1,0.094,0.031
25.000,3599,175.2,5.7,1.405,0.652,2.024,-1,0.094,0.031
26.000,3743,172.1,5.8,1.340,0.658,1.932,-1,0.095,0.031
27.000,3887,176,5.7,1.248,0.632,1.864,-1,0.096,0.031
28.000,4031,172.3,5.8,1.344,0.634,1.778,-1,0.097,0.032
29.000,4174,172.2,5.8,1.599,0.666,1.806,-1,0.095,0.032
30.000,4318,176.3,5.7,1.410,0.673,1.950,-1,0.094,0.031
31.000,4462,174.4,5.7,1.365,0.686,2.049,-1,0.095,0.031
32.000,4606,171.8,5.8,1.593,0.709,1.993,-1,0.102,0.034
33.000,4750,162.7,6.1,1.478,0.726,2.161,-1,0.098,0.038
34.000,4894,177.5,5.6,1.293,0.728,2.222,-1,0.104,0.036
35.000,5038,179.8,5.6,1.360,0.699,2.061,-1,0.094,0.031
36.000,5182,178.7,5.6,1.382,0.658,2.070,-1,0.097,0.032
37.001,5326,181.5,5.5,1.351,0.657,1.944,-1,0.097,0.032
38.001,5470,178,5.6,1.396,0.654,1.748,-1,0.094,0.031
39.000,5613,182.4,5.5,1.278,0.639,1.727,-1,0.094,0.032
40.000,5757,168.6,5.9,1.306,0.633,1.799,-1,0.095,0.031
41.000,5901,172.4,5.8,1.408,0.666,1.833,-1,0.094,0.031
42.000,6045,173.7,5.8,1.504,0.697,1.983,-1,0.094,0.031
43.000,6189,166.5,6,1.291,0.672,2.277,-1,0.095,0.031
44.000,6333,167.8,6,1.478,0.698,2.097,-1,0.098,0.031
45.000,6477,171.3,5.8,1.435,0.724,2.010,-1,0.096,0.033
46.001,6621,166.2,6,1.519,0.695,2.071,-1,0.097,0.032
47.000,6764,174.5,5.7,1.334,0.707,1.967,-1,0.096,0.032
48.000,6908,172.4,5.8,1.279,0.688,1.879,-1,0.095,0.031
49.000,7052,171.8,5.8,1.285,0.664,1.922,-1,0.094,0.031
50.000,7196,173,5.8,1.411,0.642,1.899,-1,0.094,0.031
51.000,7340,175.5,5.7,1.341,0.662,1.922,-1,0.095,0.031
52.000,7484,177.4,5.6,1.231,0.625,1.974,-1,0.094,0.031
53.000,7628,178,5.6,1.328,0.631,1.873,-1,0.094,0.031
54.001,7772,175.5,5.7,1.541,0.670,1.794,-1,0.098,0.031
55.001,7916,174.6,5.7,1.450,0.664,1.917,-1,0.095,0.031
