time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,64,16.4,61,8.914,4.205,1.798,-1,0.094,0.031
2.000,132,18.1,55.2,9.377,2.694,1.684,-1,0.094,0.031
3.000,199,17.2,58.2,10.292,2.557,1.747,-1,0.094,0.031
4.000,267,18.6,53.8,9.250,2.175,1.680,-1,0.094,0.031
5.000,339,18,55.5,9.017,2.504,1.649,-1,0.093,0.031
6.000,407,17.7,56.5,10.157,2.525,1.756,-1,0.115,0.032
7.000,471,16.9,59.3,9.669,3.476,1.734,-1,0.094,0.031
8.000,534,15.8,63.1,9.823,4.105,2.003,-1,0.094,0.031
9.000,585,12.6,79.3,13.909,4.097,1.942,-1,0.094,0.031
10.000,630,11.4,87.8,16.405,3.858,1.875,-1,0.094,0.031
11.000,678,12.3,81.6,14.422,3.816,1.751,-1,0.094,0.035
12.000,722,11.8,84.6,15.936,3.629,1.888,-1,0.094,0.031
13.000,775,14.5,69,11.118,4.134,1.858,-1,0.094,0.031
14.000,843,18.6,53.6,8.574,3.152,1.741,-1,0.098,0.033
15.000,913,17.9,55.7,9.886,2.491,1.611,-1,0.094,0.031
16.000,980,16.9,59,10.183,2.419,1.686,-1,0.094,0.031
17.000,1053,19.1,52.5,8.778,2.404,1.661,-1,0.111,0.031
18.000,1125,17.9,55.7,9.312,2.425,1.743,-1,0.094,0.031
19.000,1191,17.4,57.4,10.283,2.504,1.800,-1,0.094,0.031
20.000,1255,16.1,62.2,9.284,3.797,1.866,-1,0.094,0.031
21.000,1313,14.4,69.5,10.885,4.285,1.989,-1,0.094,0.031
22.000,1359,11.5,87.1,15.554,4.013,1.954,-1,0.123,0.031
23.000,1405,12.2,81.7,15.306,3.585,1.782,-1,0.094,0.031
24.000,1452,11.8,84.6,15.510,3.830,1.828,-1,0.094,0.031
25.000,1498,12.4,80.8,14.520,4.161,1.890,-1,0.094,0.031
26.000,1558,16.4,61.1,8.842,4.226,1.793,-1,0.094,0.031
27.000,1629,18.9,52.9,8.940,2.705,1.649,-1,0.114,0.031
28.000,1697,17.6,56.7,9.973,2.348,1.708,-1,0.094,0.031
29.000,1765,18.4,54.3,9.237,2.308,1.639,-1,0.094,0.031
30.000,1841,19.5,51.3,8.537,2.156,1.767,-1,0.094,0.031
31.000,1909,18.2,55,10.083,2.429,1.802,-1,0.094,0.031
32.000,1974,16.9,59.1,10.186,2.621,1.999,-1,0.094,0.031
33.000,2037,16.1,62.3,9.536,4.210,1.939,-1,0.094,0.031
34.000,2090,12.7,79,13.252,4.505,1.947,-1,0.094,0.031
35.000,2135,11.2,89.5,16.674,3.822,1.933,-1,0.099,0.032
36.000,2183,12.2,81.7,13.777,3.834,1.752,-1,0.094,0.031
37.000,2227,11.5,87.3,16.990,3.596,1.845,-1,0.094,0.031
38.000,2278,13.8,72.5,12.358,4.207,1.835,-1,0.094,0.031
39.000,2345,18.1,55.2,8.168,3.313,1.718,-1,0.094,0.031
40.000,2415,18.3,54.6,9.709,2.517,1.601,-1,0.113,0.031
41.000,2482,16.9,59,10.154,2.616,1.689,-1,0.094,0.031
42.000,2555,18.7,53.5,8.652,2.256,1.658,-1,0.094,0.031
43.000,2628,18.4,54.2,9.044,2.473,1.686,-1,0.094,0.031
44.000,2694,17.7,56.5,10.221,2.640,1.802,-1,0.099,0.031
45.000,2758,16.6,60.3,9.351,3.795,1.822,-1,0.094,0.031
46.000,2818,15,66.8,10.426,3.910,2.080,-1,0.093,0.031
47.000,2866,12.3,81.4,14.422,4.106,1.920,-1,0.123,0.032
48.000,2912,12.4,80.3,14.550,3.599,1.800,-1,0.099,0.031
49.000,2959,12.2,82.2,15.414,3.561,1.789,-1,0.094,0.031
50.000,3004,12.2,82,15.180,3.622,1.851,-1,0.094,0.031
51.000,3062,16.2,61.6,9.186,3.877,1.949,-1,0.094,0.031
52.000,3133,19.1,52.5,8.682,2.773,1.699,-1,0.094,0.032
53.000,3201,17.9,55.8,9.990,2.296,1.654,-1,0.097,0.031
54.000,3269,18.1,55.2,9.607,2.397,1.699,-1,0.094,0.031
55.000,3344,19.4,51.6,8.590,2.322,1.704,-1,0.113,0.031
56.000,3414,18.3,54.6,9.977,2.346,1.771,-1,0.094,0.052
57.000,3479,17,58.9,10.264,2.973,1.738,-1,0.098,0.031
58.000,3542,16.2,61.8,9.310,3.795,1.916,-1,0.097,0.031
59.000,3597,13.1,76.5,12.691,4.435,2.022,-1,0.118,0.056
60.000,3642,11.3,88.4,16.052,4.032,1.907,-1,0.094,0.031
61.000,3690,12.2,81.6,15.051,3.500,1.765,-1,0.100,0.031
62.000,3735,11.2,89.1,17.273,3.613,1.873,-1,0.095,0.031
63.000,3783,13.2,75.9,13.273,4.029,1.866,-1,0.094,0.032
64.000,3848,17.6,56.7,8.309,3.864,1.819,-1,0.095,0.031
65.000,3919,18.4,54.2,9.744,2.527,1.611,-1,0.114,0.031
66.001,3986,17.3,58,10.225,2.347,1.668,-1,0.094,0.031
67.000,4057,18.8,53.2,8.830,2.491,1.660,-1,0.094,0.031
68.000,4131,19.1,52.3,8.761,2.342,1.699,-1,0.094,0.034
69.000,4198,17.8,56.1,10.161,2.550,1.793,-1,0.119,0.031
70.000,4262,16.6,60.4,9.534,4.208,1.761,-1,0.095,0.031
71.000,4323,15.5,64.7,9.884,4.323,2.044,-1,0.095,0.032
