time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,115,30.4,32.9,4.539,1.846,1.861,-1,0.095,0.031
2.000,235,31.9,31.4,4.320,1.571,1.658,-1,0.111,0.031
3.000,359,33.2,30.1,4.257,1.476,1.636,-1,0.094,0.077
4.000,486,33.7,29.7,3.708,1.712,1.727,-1,0.094,0.033
5.000,614,33.9,29.5,3.897,1.549,1.687,-1,0.118,0.031
6.000,736,32,31.2,4.460,1.581,1.785,-1,0.094,0.031
7.000,851,30.6,32.7,4.688,1.580,1.734,-1,0.096,0.031
8.000,962,27.8,36,4.772,1.743,1.906,-1,0.097,0.031
9.000,1063,25.7,38.9,5.617,1.687,2.028,-1,0.097,0.031
10.000,1162,25.7,38.9,5.963,1.603,1.873,-1,0.094,0.031
11.000,1263,26.9,37.2,5.822,1.636,1.828,-1,0.094,0.031
12.000,1364,26.6,37.6,5.759,1.649,1.876,-1,0.096,0.031
13.000,1471,29.1,34.4,4.937,1.718,1.860,-1,0.094,0.031
14.000,1590,32.1,31.2,4.291,1.552,1.731,-1,0.096,0.031
15.000,1714,33,30.3,4.220,1.470,1.660,-1,0.094,0.054
16.000,1842,34.4,29.1,4.020,1.419,1.664,-1,0.095,0.042
17.000,1973,34.4,29.1,3.774,1.525,1.690,-1,0.094,0.031
18.000,2099,33.4,29.9,4.209,1.528,1.714,-1,0.117,0.032
19.000,2217,31.1,32.2,4.612,1.568,1.800,-1,0.094,0.031
20.000,2331,30.1,33.2,4.683,1.707,1.883,-1,0.096,0.033
21.000,2438,26.9,37.2,5.124,1.783,1.974,-1,0.107,0.031
22.000,2537,25.2,39.6,5.821,1.706,1.945,-1,0.094,0.031
23.000,2637,26,38.4,5.822,1.611,1.895,-1,0.094,0.031
24.000,2737,26.7,37.5,5.940,1.621,1.840,-1,0.097,0.031
25.000,2840,27.2,36.8,5.441,1.674,1.848,-1,0.096,0.031
26.000,2953,30.8,32.5,4.544,1.629,1.745,-1,0.099,0.031
27.000,3075,32.4,30.9,4.262,1.507,1.666,-1,0.096,0.031
28.000,3200,33.5,29.9,4.177,1.437,1.645,-1,0.106,0.031
29.000,3330,34.7,28.8,3.775,1.541,1.697,-1,0.096,0.031
30.000,3460,34.5,29,3.807,1.575,1.682,-1,0.094,0.042
31.000,3583,32.4,30.9,4.409,1.537,1.796,-1,0.094,0.033
32.000,3699,30.6,32.7,4.660,1.756,1.725,-1,0.094,0.031
33.000,3811,28.4,35.2,4.710,1.720,1.906,-1,0.094,0.031
34.000,3914,25.8,38.8,5.521,1.696,2.007,-1,0.109,0.031
35.000,4012,25.3,39.5,5.979,1.633,1.939,-1,0.094,0.031
36.000,4112,26.7,37.5,5.829,1.602,1.824,-1,0.098,0.031
37.000,4213,26.8,37.4,5.829,1.629,1.890,-1,0.094,0.031
38.000,4319,28.7,34.9,5.165,1.655,1.890,-1,0.094,0.031
39.000,4437,31.8,31.4,4.315,1.659,1.711,-1,0.105,0.031
40.000,4560,32.6,30.6,4.257,1.465,1.668,-1,0.102,0.032
41.000,4687,33.8,29.6,4.079,1.449,1.656,-1,0.107,0.032
42.000,4818,34.8,28.7,3.701,1.617,1.664,-1,0.094,0.031
43.000,4946,33.3,30,4.029,1.527,1.713,-1,0.105,0.031
44.000,5065,31.3,32,4.584,1.578,1.841,-1,0.094,0.031
45.001,5180,30.4,32.9,4.708,1.701,1.848,-1,0.094,0.033
46.000,5288,26.9,37.2,4.985,1.687,1.986,-1,0.094,0.031
47.000,5388,25.6,39.1,5.737,1.724,1.974,-1,0.094,0.031
48.000,5487,26.1,38.3,5.858,1.617,1.902,-1,0.094,0.031
49.000,5588,26.7,37.4,5.929,1.586,1.835,-1,0.097,0.031
50.000,5689,26.9,37.1,5.531,1.651,1.905,-1,0.094,0.031
51.000,5800,30.4,32.9,4.661,1.643,1.773,-1,0.094,0.031
52.000,5922,32.8,30.5,4.277,1.544,1.633,-1,0.105,0.053
53.000,6047,33.7,29.7,4.195,1.478,1.646,-1,0.107,0.042
54.000,6176,34.4,29,3.787,1.572,1.650,-1,0.094,0.031
55.000,6307,34.3,29.1,3.741,1.586,1.706,-1,0.096,0.031
56.000,6431,32.8,30.5,4.366,1.562,1.742,-1,0.105,0.031
57.000,6547,30.9,32.3,4.704,1.583,1.989,-1,0.094,0.031
58.000,6660,28.9,34.6,4.635,1.737,1.914,-1,0.095,0.032
59.000,6764,26,38.5,5.418,1.688,1.975,-1,0.111,0.031
60.000,6862,25.1,39.9,5.926,1.694,1.950,-1,0.099,0.031
61.000,6963,26.6,37.6,5.786,1.625,1.835,-1,0.108,0.031
62.000,7063,26.7,37.5,5.878,1.680,1.837,-1,0.094,0.031
63.000,7168,28.2,35.5,5.303,1.723,1.841,-1,0.094,0.031
64.000,7284,31.7,31.6,4.398,1.658,1.767,-1,0.096,0.031
65.000,7408,33.1,30.3,4.274,1.480,1.668,-1,0.094,0.042
66.000,7534,34,29.4,4.135,1.459,1.666,-1,0.096,0.042
67.000,7664,35.1,28.5,3.661,1.658,1.725,-1,0.096,0.033
68.000,7793,33.7,29.7,3.942,1.575,1.690,-1,0.094,0.032
69.000,7913,31.7,31.6,4.532,1.583,1.830,-1,0.094,0.031
70.000,8028,30.5,32.8,4.694,1.602,1.796,-1,0.094,0.031
