time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,97,24.3,41.2,3.557,2.848,3.626,-1,0.115,0.032
2.000,188,22.9,43.6,3.998,2.845,3.653,-1,0.094,0.031
3.000,274,21.3,47,4.968,2.902,3.723,-1,0.094,0.031
4.000,358,22.1,45.2,4.946,2.698,3.477,-1,0.111,0.031
5.000,441,21.2,47.3,5.108,2.855,3.427,-1,0.094,0.031
6.000,529,23,43.4,3.996,2.826,3.746,-1,0.094,0.031
7.000,625,24.5,40.8,3.323,2.849,3.598,-1,0.094,0.031
8.000,719,24.1,41.6,3.472,2.823,3.736,-1,0.094,0.031
9.000,808,22.1,45.2,4.425,2.939,3.716,-1,0.094,0.031
10.000,890,21.3,47,4.796,2.764,3.939,-1,0.094,0.031
11.000,976,22.2,45,4.637,2.808,3.588,-1,0.095,0.031
12.000,1064,22.8,43.9,4.097,2.850,3.594,-1,0.095,0.031
13.000,1158,24.6,40.7,3.466,2.775,3.505,-1,0.094,0.032
14.000,1254,24.6,40.7,3.625,2.705,3.502,-1,0.095,0.031
15.000,1344,22.6,44.3,4.366,2.804,3.598,-1,0.094,0.031
16.000,1430,22,45.5,4.939,2.773,3.338,-1,0.110,0.031
17.000,1516,22.3,44.8,4.834,2.713,3.451,-1,0.095,0.031
18.000,1601,22.1,45.2,4.589,2.877,3.532,-1,0.095,0.034
19.000,1693,24.1,41.4,3.649,2.842,3.613,-1,0.094,0.031
20.000,1789,24.4,41,3.298,2.823,3.789,-1,0.094,0.031
21.000,1881,22.9,43.6,3.758,2.865,3.781,-1,0.094,0.031
22.000,1966,20.9,47.9,4.964,2.796,3.984,-1,0.094,0.031
23.000,2050,21.7,46.2,4.849,2.760,3.702,-1,0.095,0.031
24.000,2135,21.9,45.7,4.667,2.796,3.661,-1,0.094,0.031
25.000,2225,23.6,42.4,3.773,2.808,3.720,-1,0.094,0.033
26.000,2321,24.8,40.3,3.568,2.727,3.471,-1,0.094,0.032
27.000,2415,23.7,42.2,3.831,2.684,3.542,-1,0.094,0.031
28.000,2503,22,45.5,4.782,2.773,3.432,-1,0.094,0.031
29.000,2588,22.1,45.3,4.852,2.741,3.445,-1,0.111,0.031
30.000,2673,21.6,46.4,4.923,2.757,3.619,-1,0.094,0.031
31.000,2761,23,43.4,4.127,2.941,3.675,-1,0.094,0.031
32.000,2856,24.4,40.9,3.403,2.821,3.572,-1,0.094,0.032
33.000,2952,24.3,41.2,3.203,2.831,3.603,-1,0.094,0.031
34.000,3041,22.3,44.8,4.279,2.912,3.752,-1,0.094,0.031
35.000,3123,21.1,47.3,4.794,2.914,3.745,-1,0.094,0.031
36.000,3208,21.8,46,4.707,2.848,3.606,-1,0.095,0.031
37.001,3295,22.7,44,4.239,2.817,3.574,-1,0.095,0.031
38.000,3388,24.6,40.7,3.516,2.716,3.629,-1,0.094,0.031
39.000,3484,24.6,40.6,3.560,2.632,3.683,-1,0.094,0.031
40.000,3576,22.7,44,4.291,2.793,3.527,-1,0.097,0.031
41.000,3661,21.9,45.7,4.953,2.826,3.357,-1,0.110,0.031
42.000,3747,22.2,45.1,4.833,2.744,3.462,-1,0.096,0.033
43.000,3832,21.9,45.7,4.744,2.922,3.516,-1,0.094,0.033
44.000,3923,23.7,42.3,3.752,2.858,3.680,-1,0.094,0.031
45.000,4019,24.4,41,3.145,2.846,3.657,-1,0.094,0.031
46.000,4112,23.3,42.9,3.774,2.918,3.679,-1,0.094,0.031
47.000,4198,21.3,46.9,4.794,2.972,3.637,-1,0.094,0.031
48.000,4281,21.2,47.2,4.935,2.838,3.709,-1,0.095,0.031
49.000,4367,22.2,45.1,4.609,2.812,3.677,-1,0.095,0.031
50.000,4456,23.2,43,3.869,2.795,3.599,-1,0.109,0.031
51.000,4552,24.6,40.6,3.574,2.673,3.520,-1,0.094,0.032
52.000,4647,24,41.6,3.838,2.758,3.550,-1,0.094,0.031
53.000,4735,22.2,45,4.632,2.858,3.488,-1,0.097,0.031
54.000,4821,22.2,45,4.875,2.710,3.373,-1,0.113,0.031
55.000,4906,21.6,46.3,4.881,2.710,3.546,-1,0.110,0.031
56.000,4993,22.7,44.1,4.240,2.932,3.589,-1,0.094,0.033
57.000,5087,24.7,40.5,3.413,2.760,3.741,-1,0.094,0.031
58.000,5183,24.3,41.1,3.386,2.820,3.624,-1,0.094,0.031
59.000,5273,22.6,44.2,4.135,2.872,3.637,-1,0.094,0.031
60.000,5357,21.3,47,4.929,2.773,3.806,-1,0.095,0.031
61.000,5441,21.8,45.9,4.677,2.797,3.705,-1,0.094,0.031
62.000,5527,22.2,45,4.397,2.817,3.695,-1,0.097,0.031
63.000,5619,24.3,41.1,3.697,2.734,3.576,-1,0.094,0.031
64.000,5715,24.6,40.7,3.549,2.660,3.866,-1,0.094,0.031
65.000,5807,22.9,43.7,4.146,2.948,3.651,-1,0.095,0.031
66.000,5893,21.8,45.9,4.944,2.679,3.343,-1,0.094,0.031
67.000,5979,22.2,45,4.807,2.696,3.383,-1,0.098,0.033
68.000,6064,21.7,46.1,4.862,2.829,3.482,-1,0.094,0.031
69.000,6154,23.4,42.7,3.848,2.855,3.675,-1,0.094,0.031
70.000,6250,24.5,40.9,3.174,2.851,3.604,-1,0.094,0.031
71.000,6344,23.4,42.7,3.642,2.931,3.737,-1,0.094,0.031
72.000,6430,21.4,46.6,4.744,2.894,3.712,-1,0.097,0.031
73.000,6513,21,47.6,4.963,2.749,3.801,-1,0.095,0.031
74.000,6598,21.6,46.2,4.712,2.829,3.602,-1,0.095,0.031
75.001,6687,23,43.5,4.009,2.782,3.654,-1,0.095,0.031
76.000,6782,24.6,40.7,3.404,2.679,3.782,-1,0.094,0.031
77.000,6877,24.4,41.1,3.658,2.671,3.409,-1,0.094,0.031
78.000,6967,22.6,44.3,4.490,2.799,3.590,-1,0.097,0.031
79.000,7052,21.7,46.2,5.028,2.639,3.386,-1,0.097,0.031
80.000,7138,22.3,44.8,4.882,2.664,3.471,-1,0.094,0.031
81.000,7224,22.4,44.6,4.392,2.846,3.542,-1,0.094,0.031
82.000,7317,24.3,41.1,3.455,2.848,3.533,-1,0.094,0.031
83.000,7413,24.5,40.8,3.327,2.828,3.626,-1,0.094,0.031
84.000,7504,22.7,44.1,3.974,3.020,3.718,-1,0.094,0.031
85.000,7587,20.9,47.8,5.014,2.794,3.873,-1,0.095,0.031
86.000,7671,21.7,46,4.746,2.756,3.701,-1,0.095,0.031
87.000,7757,22,45.4,4.478,2.812,3.678,-1,0.094,0.031
88.000,7848,24.1,41.6,3.746,2.825,3.531,-1,0.094,0.031
89.000,7944,24.6,40.7,3.560,2.685,3.459,-1,0.094,0.032
90.000,8038,23.4,42.8,3.986,2.716,3.572,-1,0.094,0.031
91.000,8124,21.9,45.7,4.893,2.712,3.528,-1,0.094,0.032
92.000,8210,22.2,45.1,4.829,2.723,3.378,-1,0.120,0.031
93.000,8295,21.6,46.4,4.953,2.770,3.604,-1,0.094,0.031
94.000,8384,23.2,43.2,3.810,2.866,3.669,-1,0.094,0.031
95.000,8479,24.6,40.7,3.211,2.853,3.609,-1,0.094,0.032
96.000,8574,24.1,41.5,3.586,2.809,3.678,-1,0.094,0.031
97.000,8662,21.9,45.6,4.483,2.893,3.685,-1,0.094,0.031
98.000,8744,21.3,47,4.913,2.808,3.628,-1,0.094,0.031
99.000,8829,21.7,46.1,4.625,2.796,3.682,-1,0.095,0.031
100.000,8917,22.6,44.2,4.116,2.755,3.669,-1,0.095,0.032
101.000,9011,24.7,40.6,3.486,2.701,3.759,-1,0.094,0.031
102.000,9107,24.5,40.7,3.617,2.685,3.594,-1,0.094,0.031
103.000,9197,22.6,44.3,4.382,2.751,3.399,-1,0.094,0.031
104.000,9283,22,45.5,4.922,2.764,3.449,-1,0.094,0.031
105.000,9369,21.9,45.6,4.803,2.715,3.563,-1,0.094,0.031
106.000,9454,22.4,44.7,4.493,2.888,3.546,-1,0.094,0.031
107.000,9546,24.2,41.4,3.524,2.806,3.591,-1,0.094,0.031
108.000,9642,24.6,40.7,3.207,2.863,3.622,-1,0.093,0.031
109.000,9735,23.2,43.2,3.732,2.977,3.639,-1,0.094,0.031
110.000,9820,20.9,47.9,4.789,2.970,3.613,-1,0.094,0.031
111.000,9903,21.5,46.5,4.716,2.897,3.660,-1,0.095,0.031
112.000,9989,21.9,45.7,4.633,2.780,3.626,-1,0.095,0.031
113.000,10079,23.7,42.1,3.870,2.811,3.633,-1,0.097,0.031
114.000,10175,24.6,40.6,3.570,2.732,3.474,-1,0.094,0.032
115.000,10269,23.6,42.4,4.080,2.766,3.554,-1,0.094,0.031
116.000,10357,22.2,45.1,4.812,2.679,3.503,-1,0.094,0.031
117.000,10442,22.2,45,4.836,2.682,3.349,-1,0.111,0.034
118.000,10527,21.6,46.2,5.030,2.700,3.538,-1,0.094,0.031
119.000,10615,23,43.5,4.060,2.830,3.630,-1,0.094,0.031
