time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,145,130.3,7.7,3.026,1.193,1.278,-1,0.094,0.031
2.001,289,113.1,8.8,3.798,1.123,1.258,-1,0.098,0.032
3.000,427,34.1,29.4,4.467,1.149,1.255,-1,0.094,0.031
4.000,562,35.8,27.9,4.348,1.114,1.283,-1,0.094,0.031
5.000,695,33.8,29.6,4.487,1.154,1.320,-1,0.096,0.031
6.000,836,37.7,26.5,3.837,1.132,1.264,-1,0.102,0.033
7.000,980,118.5,8.4,3.141,1.246,1.422,-1,0.096,0.032
8.000,1124,128.2,7.8,3.264,1.215,1.361,-1,0.094,0.031
9.000,1265,36.7,27.2,3.981,1.196,1.472,-1,0.094,0.031
10.000,1398,33.4,29.9,4.130,1.223,1.360,-1,0.097,0.033
11.001,1533,34.1,29.3,4.256,1.121,1.355,-1,0.094,0.031
12.000,1672,37.6,26.6,3.677,1.121,1.318,-1,0.097,0.033
13.000,1816,122.2,8.2,2.972,1.108,1.370,-1,0.095,0.031
14.000,1960,123.3,8.1,3.245,1.064,1.420,-1,0.095,0.032
15.000,2104,68,14.7,3.934,1.142,1.302,-1,0.098,0.031
16.000,2241,35,28.6,4.399,1.096,1.213,-1,0.094,0.031
17.000,2379,35.4,28.3,4.275,1.100,1.222,-1,0.094,0.031
18.000,2515,35.4,28.3,4.139,1.138,1.277,-1,0.094,0.031
19.000,2659,39.5,25.3,3.611,1.264,1.437,-1,0.097,0.032
20.000,2803,119.6,8.4,3.054,1.181,1.358,-1,0.097,0.032
21.000,2946,81.2,12.3,3.598,1.318,1.433,-1,0.098,0.032
22.000,3083,33.2,30.2,4.339,1.161,1.379,-1,0.094,0.031
23.000,3218,34.6,28.9,4.104,1.160,1.348,-1,0.094,0.031
24.000,3353,33.9,29.5,4.192,1.129,1.363,-1,0.096,0.031
25.000,3496,75.6,13.2,3.390,1.170,1.365,-1,0.097,0.032
26.000,3640,139.5,7.2,2.883,1.128,1.239,-1,0.094,0.031
27.000,3784,117.1,8.5,3.542,1.095,1.359,-1,0.095,0.032
28.000,3926,38.5,26,4.323,1.136,1.245,-1,0.094,0.031
29.000,4063,36.2,27.6,4.246,1.090,1.211,-1,0.096,0.031
30.000,4198,34.6,28.9,4.385,1.134,1.234,-1,0.094,0.031
31.000,4339,37.3,26.8,3.816,1.257,1.303,-1,0.098,0.031
32.000,4483,76.8,13,3.247,1.244,1.441,-1,0.095,0.032
33.000,4627,120.6,8.3,3.252,1.218,1.547,-1,0.096,0.032
34.000,4770,40.8,24.5,3.832,1.235,1.395,-1,0.094,0.032
35.000,4902,33.3,30,4.205,1.151,1.394,-1,0.096,0.031
36.000,5037,33.9,29.5,4.157,1.165,1.320,-1,0.094,0.031
37.000,5176,36.4,27.5,3.803,1.246,1.307,-1,0.094,0.031
38.000,5319,111.5,9,3.025,1.152,1.368,-1,0.094,0.032
39.000,5463,131.3,7.6,2.983,1.070,1.274,-1,0.095,0.032
40.000,5607,72.3,13.8,3.973,1.150,1.243,-1,0.097,0.032
41.000,5745,34.9,28.7,4.349,1.123,1.235,-1,0.094,0.031
42.000,5883,36.1,27.7,4.302,1.093,1.236,-1,0.094,0.032
43.000,6019,35,28.6,4.163,1.138,1.286,-1,0.094,0.031
44.000,6162,38.3,26.1,3.644,1.223,1.446,-1,0.094,0.031
45.000,6306,127.2,7.9,2.973,1.113,1.334,-1,0.103,0.031
46.500,6521,53.8,18.6,3.859,1.235,1.379,-1,0.099,0.031
47.000,6587,33.2,30.1,4.259,1.219,1.372,-1,0.094,0.031
