time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,36,8.9,112.9,15.105,2.995,10.372,-1,0.094,0.030
2.000,76,10.1,99.2,18.382,2.777,4.087,-1,0.093,0.031
3.000,115,10.3,97.5,17.976,2.676,4.194,-1,0.094,0.030
4.000,149,8.4,119.2,15.976,3.368,11.004,-1,0.093,0.030
5.000,183,8.9,112.8,11.795,4.265,12.203,-1,0.142,0.031
6.000,217,8.8,113.5,12.394,4.336,11.682,-1,0.094,0.030
7.000,249,8.2,122.4,14.990,4.178,11.733,-1,0.137,0.031
8.000,281,9.2,108.7,15.944,3.381,6.843,-1,0.133,0.031
9.000,317,9.2,108.6,22.460,2.290,3.587,-1,0.094,0.030
10.000,352,9,111.1,14.951,4.173,8.548,-1,0.095,0.030
11.000,386,9,111.5,12.596,4.386,11.411,-1,0.095,0.031
12.000,421,8.9,112.8,11.309,4.813,12.058,-1,0.094,0.030
13.000,454,8.2,122.1,14.136,4.334,12.936,-1,0.103,0.030
14.000,491,10.9,92.1,15.266,2.722,6.229,-1,0.095,0.030
15.000,530,10.7,93.6,18.115,2.377,3.412,-1,0.094,0.031
16.000,568,9.6,103.8,18.019,2.623,5.868,-1,0.095,0.035
17.000,600,8.3,120.3,13.827,3.595,12.136,-1,0.093,0.030
18.000,635,9.1,109.5,11.553,4.391,11.996,-1,0.094,0.031
19.000,669,8.2,121.7,14.157,4.100,11.731,-1,0.094,0.031
20.000,699,7.5,134.2,19.522,4.433,10.443,-1,0.094,0.031
21.000,733,9,110.9,19.573,2.423,4.359,-1,0.094,0.030
22.000,770,9.6,104.1,17.072,3.147,6.929,-1,0.095,0.031
23.000,804,8.5,118.3,14.154,4.939,10.443,-1,0.095,0.031
24.000,839,9.1,109.8,11.037,5.136,11.872,-1,0.094,0.031
25.000,873,8.6,116.1,12.191,4.555,12.882,-1,0.094,0.036
26.000,905,8.2,122.3,14.798,3.155,11.543,-1,0.094,0.030
27.000,945,9.9,101.1,18.373,2.809,3.647,-1,0.095,0.030
28.000,985,10.1,98.6,20.270,2.534,3.962,-1,0.131,0.031
29.000,1019,8.6,116.8,17.104,2.850,9.059,-1,0.094,0.031
30.000,1052,8.9,112.7,11.696,3.816,12.791,-1,0.094,0.030
31.000,1088,8.9,112,12.107,4.051,11.460,-1,0.094,0.030
32.000,1120,8.3,120.6,14.868,4.231,10.984,-1,0.094,0.031
33.000,1151,8.8,114.2,18.157,3.574,7.665,-1,0.094,0.031
34.000,1187,8.9,112.3,21.254,2.600,3.547,-1,0.094,0.031
35.000,1223,8.7,114.7,15.875,5.200,8.863,-1,0.094,0.030
36.000,1257,8.7,115.1,13.378,4.722,10.822,-1,0.095,0.031
37.000,1292,8.9,111.8,11.123,4.684,12.134,-1,0.094,0.030
38.000,1325,8.2,122.7,13.495,4.620,12.740,-1,0.094,0.030
39.000,1360,10.5,95.3,14.579,2.798,7.440,-1,0.095,0.030
40.000,1400,10.7,93.2,18.149,2.511,3.572,-1,0.095,0.031
41.000,1437,9.9,101.3,17.995,2.557,5.425,-1,0.095,0.030
42.000,1470,7.7,130.5,15.360,4.348,11.306,-1,0.093,0.030
43.000,1504,9,110.7,11.663,4.265,12.042,-1,0.100,0.031
44.000,1538,8.4,118.8,13.594,4.502,12.133,-1,0.129,0.031
45.000,1569,7.7,129.3,18.328,4.899,10.532,-1,0.094,0.030
46.000,1604,8.8,113.5,20.877,2.606,6.494,-1,0.094,0.030
47.000,1639,9.5,104.9,17.930,2.825,6.449,-1,0.094,0.031
48.000,1673,8.7,114.8,14.670,4.306,10.117,-1,0.096,0.031
49.000,1709,9.1,109.3,11.212,4.522,11.376,-1,0.095,0.031
50.000,1743,8.7,115.2,11.952,4.769,12.405,-1,0.094,0.031
51.000,1774,7.9,127.3,16.886,4.396,12.392,-1,0.094,0.030
52.000,1813,9.8,102.1,18.542,2.548,3.909,-1,0.095,0.031
53.000,1852,10,100.2,18.895,2.604,3.622,-1,0.094,0.030
54.000,1888,9.2,109,17.692,2.858,8.149,-1,0.095,0.030
55.000,1921,8.9,112.4,11.861,4.509,12.653,-1,0.093,0.031
56.000,1957,9.2,109.2,11.832,4.502,11.501,-1,0.094,0.030
57.000,1989,8.3,120.5,14.494,4.113,11.484,-1,0.130,0.031
58.000,2020,8,124.8,22.338,4.625,9.076,-1,0.094,0.074
59.000,2055,9,110.8,21.699,2.242,3.803,-1,0.094,0.031
60.000,2092,9.3,107.5,15.151,3.867,8.062,-1,0.166,0.031
61.000,2126,8.3,119.8,14.128,4.561,11.229,-1,0.095,0.030
62.000,2161,9.1,109.4,10.609,4.375,11.886,-1,0.095,0.031
63.000,2194,8.3,121.1,13.336,4.369,13.125,-1,0.101,0.030
64.000,2228,10.1,99,15.522,2.770,8.758,-1,0.094,0.031
65.000,2269,10.7,93.5,18.040,2.385,3.410,-1,0.095,0.030
66.000,2307,9.6,104.2,18.769,2.566,4.499,-1,0.095,0.030
67.000,2340,7.9,126.5,16.920,3.412,11.512,-1,0.093,0.031
68.000,2375,9.1,109.8,11.596,4.423,12.144,-1,0.094,0.030
69.000,2410,8.7,114.9,13.072,4.269,12.632,-1,0.130,0.030
70.000,2441,8.1,123,16.089,4.661,10.641,-1,0.094,0.031
71.000,2474,9.2,108.2,18.126,2.683,6.214,-1,0.094,0.031
72.000,2511,10.1,99,16.908,2.736,5.355,-1,0.101,0.031
73.000,2546,8.9,112.2,14.715,4.344,9.660,-1,0.095,0.031
74.000,2580,9,110.7,11.388,4.410,11.416,-1,0.095,0.031
75.000,2615,8.6,116.3,11.648,4.683,12.399,-1,0.095,0.034
76.000,2646,8.1,124.1,14.623,4.194,12.255,-1,0.093,0.030
77.000,2684,10.3,97.5,18.196,3.049,4.304,-1,0.095,0.031
78.000,2723,9.8,101.7,20.766,2.450,3.501,-1,0.095,0.030
79.000,2761,9.4,106.2,17.487,2.703,7.321,-1,0.095,0.031
80.000,2794,9,110.5,12.571,3.742,12.961,-1,0.093,0.030
81.000,2829,9.3,108.1,11.578,3.972,11.564,-1,0.094,0.031
82.000,2862,8.1,123.9,14.670,4.059,10.821,-1,0.094,0.031
83.000,2892,7.5,132.8,19.818,4.658,8.285,-1,0.094,0.031
84.000,2927,9.1,109.5,21.578,2.282,3.513,-1,0.094,0.031
85.000,2964,9.3,107.8,15.822,3.526,7.066,-1,0.094,0.066
86.000,2997,8.4,119,14.148,4.742,10.776,-1,0.095,0.031
