time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,48,12,83.5,12.440,1.980,6.547,-1,0.094,0.031
2.000,101,14.7,67.9,12.879,1.011,3.422,-1,0.093,0.030
3.000,157,14.2,70.4,12.217,1.303,4.270,-1,0.098,0.031
4.000,205,12.1,82.4,12.047,1.965,6.867,-1,0.094,0.030
5.000,254,12.9,77.5,9.014,2.465,7.958,-1,0.094,0.030
6.000,303,12,83.6,9.703,2.358,8.123,-1,0.094,0.031
7.000,347,11.1,90.2,11.663,2.595,8.433,-1,0.094,0.030
8.000,395,13,77,10.482,2.205,6.371,-1,0.094,0.031
9.000,448,13.8,72.7,12.734,1.337,4.228,-1,0.094,0.030
10.000,492,10.7,93.5,12.105,2.519,8.313,-1,0.094,0.031
11.000,535,11.4,87.9,9.779,2.721,9.575,-1,0.094,0.030
12.000,582,12.1,82.7,8.972,2.473,8.824,-1,0.094,0.031
13.000,626,11.4,88.1,12.005,2.344,7.916,-1,0.094,0.031
14.000,675,13.6,73.4,12.302,1.376,4.814,-1,0.096,0.033
15.000,732,15,66.6,12.458,0.990,3.231,-1,0.094,0.031
16.000,785,13.3,75.1,12.173,1.568,5.457,-1,0.120,0.030
17.000,833,12.5,80.2,10.573,2.283,7.512,-1,0.094,0.030
18.000,884,13.1,76.3,8.458,2.435,8.053,-1,0.094,0.030
19.000,931,11.6,86.4,10.375,2.588,8.415,-1,0.093,0.031
20.000,975,11.6,86,11.016,2.617,7.743,-1,0.094,0.031
21.000,1027,14.1,71.1,12.060,1.419,4.339,-1,0.094,0.030
22.000,1077,12.3,81.2,11.604,2.175,6.477,-1,0.094,0.030
23.000,1119,10.6,94.6,11.858,2.586,9.253,-1,0.094,0.031
24.000,1164,11.9,84.2,9.139,2.590,9.189,-1,0.124,0.030
25.000,1210,11.6,86.1,10.315,2.468,8.566,-1,0.094,0.031
26.000,1254,11.9,84.2,12.325,1.922,6.865,-1,0.094,0.031
27.000,1308,14.6,68.6,12.680,1.012,3.500,-1,0.099,0.031
28.000,1365,14.9,67.2,11.969,1.126,3.949,-1,0.094,0.031
29.000,1414,12.6,79.1,11.971,1.826,6.227,-1,0.123,0.031
30.000,1463,12.9,77.5,9.359,2.353,7.970,-1,0.093,0.030
31.000,1513,12.4,80.6,9.005,2.538,8.436,-1,0.093,0.031
32.000,1558,11.1,90,11.536,2.553,8.296,-1,0.093,0.031
33.000,1605,12.8,78.2,10.794,2.398,6.766,-1,0.094,0.030
34.000,1659,14.2,70.4,12.884,1.175,3.672,-1,0.094,0.031
35.000,1704,11.1,90.3,12.144,2.438,8.201,-1,0.094,0.030
36.000,1747,11.1,90.1,10.208,2.723,9.573,-1,0.094,0.031
37.000,1793,12,83.1,9.136,2.453,8.937,-1,0.094,0.030
38.000,1838,11.3,88.2,11.701,2.493,8.176,-1,0.097,0.031
39.000,1886,13.5,74.3,12.245,1.575,5.465,-1,0.094,0.031
40.000,1942,15,66.5,12.507,1.204,3.116,-1,0.093,0.031
41.000,1996,13.7,72.7,11.997,1.432,5.077,-1,0.094,0.030
42.000,2044,12.4,80.8,10.871,2.138,7.378,-1,0.093,0.031
43.000,2095,13.3,75.5,8.526,2.366,8.038,-1,0.118,0.030
44.000,2143,12,83.6,9.205,2.407,8.197,-1,0.094,0.031
45.000,2187,11.3,88.4,11.844,2.485,7.938,-1,0.093,0.031
46.000,2238,14,71.6,11.210,1.697,5.190,-1,0.120,0.030
47.000,2290,12.6,79.4,11.631,2.035,6.048,-1,0.093,0.031
48.000,2332,10.6,94.7,12.040,2.646,9.156,-1,0.094,0.031
49.000,2376,11.8,84.6,9.092,2.614,9.202,-1,0.094,0.059
