time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,132,33.8,29.6,2.350,1.440,3.333,-1,0.096,0.032
2.000,266,35.1,28.5,2.055,1.487,3.177,-1,0.104,0.045
3.000,404,35.7,28,2.060,1.570,3.060,-1,0.096,0.030
4.000,540,35.6,28.1,2.423,1.417,2.784,-1,0.126,0.031
5.000,683,37.8,26.5,2.644,1.232,2.456,-1,0.095,0.031
6.000,825,36.4,27.5,2.552,1.127,2.817,-1,0.095,0.032
7.000,956,33,30.3,2.698,1.140,3.170,-1,0.095,0.032
8.000,1094,39.3,25.5,2.167,1.036,2.901,-1,0.094,0.031
9.000,1238,128.8,7.8,1.805,0.800,2.874,-1,0.105,0.031
10.000,1367,31.2,32,2.407,1.573,3.631,-1,0.098,0.031
11.000,1488,31,32.3,2.721,1.255,3.688,-1,0.101,0.031
12.000,1616,34.4,29.1,2.785,1.105,2.953,-1,0.095,0.031
13.000,1752,34.2,29.2,2.817,1.015,3.014,-1,0.096,0.030
14.000,1889,35.8,27.9,2.106,1.532,3.048,-1,0.094,0.031
15.000,2031,38,26.3,1.969,1.513,2.890,-1,0.094,0.031
16.000,2172,36.5,27.4,2.143,1.501,2.846,-1,0.098,0.030
17.000,2314,39.7,25.2,2.683,1.088,2.601,-1,0.095,0.032
18.000,2458,42.1,23.8,2.408,1.391,2.584,-1,0.099,0.032
19.000,2595,34.9,28.6,2.576,1.218,3.045,-1,0.095,0.031
20.000,2725,33.7,29.7,2.425,1.243,3.260,-1,0.094,0.051
21.000,2868,99.6,10,2.064,0.951,2.714,-1,0.095,0.031
22.000,3011,58.8,17,2.188,1.138,3.172,-1,0.105,0.031
23.000,3133,31.4,31.9,2.758,1.104,3.753,-1,0.094,0.030
24.000,3254,31.7,31.6,2.663,1.391,3.372,-1,0.094,0.032
25.000,3389,36.4,27.5,2.898,0.942,2.839,-1,0.097,0.031
26.000,3524,35.1,28.5,2.482,1.197,3.069,-1,0.105,0.031
27.000,3663,36.5,27.4,2.013,1.518,3.012,-1,0.096,0.031
28.000,3806,37.4,26.8,2.019,1.516,2.858,-1,0.093,0.032
29.000,3945,36.2,27.6,2.383,1.448,2.697,-1,0.096,0.031
30.000,4089,37.9,26.4,2.629,1.215,2.499,-1,0.095,0.031
31.000,4233,40,25,2.418,1.090,2.841,-1,0.098,0.031
32.000,4366,33.3,30,2.660,1.231,3.220,-1,0.105,0.030
33.000,4502,36.8,27.2,2.240,1.010,3.090,-1,0.097,0.031
34.000,4646,133.7,7.5,1.786,0.795,2.658,-1,0.127,0.035
35.000,4780,32,31.2,2.371,1.281,3.628,-1,0.096,0.031
36.000,4900,31.2,32.1,2.756,1.233,3.769,-1,0.094,0.030
37.001,5026,33.5,29.8,2.700,1.219,3.076,-1,0.094,0.031
38.000,5161,34.4,29.1,2.847,0.912,3.028,-1,0.094,0.031
39.000,5297,35.4,28.3,2.140,1.429,3.026,-1,0.095,0.031
40.000,5438,36.7,27.2,1.981,1.520,2.944,-1,0.096,0.031
41.000,5580,36.6,27.3,2.122,1.522,2.972,-1,0.095,0.031
42.000,5721,38.1,26.3,2.658,1.028,2.622,-1,0.095,0.032
43.000,5865,57.3,17.4,2.529,1.245,2.503,-1,0.111,0.032
44.000,6006,35.9,27.8,2.602,1.119,2.928,-1,0.095,0.031
45.000,6136,33.6,29.8,2.432,1.380,3.247,-1,0.105,0.031
46.001,6279,59.4,16.8,1.942,0.968,2.863,-1,0.095,0.031
47.000,6422,122.4,8.2,1.984,0.951,3.028,-1,0.104,0.031
48.000,6547,31.2,32.1,2.666,1.296,3.718,-1,0.097,0.031
49.000,6666,30.8,32.5,2.625,1.413,3.632,-1,0.110,0.030
50.000,6799,35.7,28,2.805,1.007,2.787,-1,0.097,0.031
51.000,6934,34.9,28.7,2.597,1.045,2.978,-1,0.095,0.030
52.000,7072,36.2,27.6,1.984,1.493,3.045,-1,0.094,0.030
53.000,7215,37.3,26.8,2.000,1.501,2.851,-1,0.096,0.031
54.000,7355,36.1,27.7,2.316,1.486,2.796,-1,0.106,0.050
55.000,7497,37.6,26.6,2.640,1.234,2.458,-1,0.096,0.031
56.000,7641,40,25,2.462,1.105,2.757,-1,0.099,0.032
57.000,7775,33.5,29.9,2.700,1.125,3.075,-1,0.094,0.041
58.000,7909,35.7,28,2.299,1.167,3.106,-1,0.098,0.031
59.000,8053,126.7,7.9,1.881,0.810,2.634,-1,0.099,0.031
60.000,8191,40.6,24.6,2.214,1.274,3.660,-1,0.121,0.031
61.000,8311,31.2,32,2.806,1.123,3.712,-1,0.097,0.031
62.000,8435,32.8,30.5,2.649,1.376,3.169,-1,0.095,0.031
63.000,8571,34.9,28.6,2.856,0.929,2.899,-1,0.101,0.030
64.000,8706,35.1,28.5,2.201,1.454,3.089,-1,0.094,0.031
65.000,8847,36.5,27.4,1.989,1.512,2.979,-1,0.098,0.031
66.000,8989,36.9,27.1,2.073,1.502,2.848,-1,0.094,0.032
67.000,9130,36.8,27.2,2.530,1.273,2.609,-1,0.096,0.031
68.000,9273,55.7,17.9,2.540,1.244,2.482,-1,0.100,0.032
69.000,9414,36.6,27.4,2.496,1.174,2.947,-1,0.096,0.032
70.000,9545,33.5,29.8,2.554,1.319,3.264,-1,0.105,0.031
71.000,9686,40.6,24.6,2.098,1.063,2.757,-1,0.096,0.031
72.000,9829,125.7,8,1.930,0.969,2.935,-1,0.118,0.038
73.000,9957,31.4,31.9,2.539,1.449,3.743,-1,0.099,0.030
74.000,10078,31.2,32.1,2.590,1.452,3.617,-1,0.106,0.031
75.000,10208,34.8,28.7,2.795,1.150,2.958,-1,0.097,0.030
76.000,10342,34.2,29.3,2.663,1.156,3.039,-1,0.095,0.030
77.000,10479,35.9,27.9,2.044,1.526,3.080,-1,0.111,0.031
78.000,10621,37.5,26.7,1.996,1.501,2.962,-1,0.094,0.033
79.000,10762,36.9,27.1,2.217,1.451,2.847,-1,0.105,0.030
80.000,10905,37.8,26.4,2.685,1.040,2.557,-1,0.095,0.030
81.000,11049,39.9,25.1,2.512,1.158,2.639,-1,0.097,0.031
82.000,11185,33.9,29.5,2.606,1.247,3.081,-1,0.094,0.031
83.000,11316,34.6,28.9,2.339,1.248,3.417,-1,0.098,0.041
84.000,11460,131.8,7.6,1.830,0.788,2.582,-1,0.117,0.039
85.000,11602,59.8,16.7,2.063,1.008,3.476,-1,0.117,0.032
86.000,11723,31.4,31.8,2.801,1.101,3.702,-1,0.094,0.030
87.000,11846,32.5,30.8,2.644,1.334,3.347,-1,0.094,0.031
88.000,11981,35.4,28.3,2.882,1.057,2.854,-1,0.096,0.030
89.000,12116,35.1,28.5,2.301,1.287,3.027,-1,0.096,0.031
90.000,12255,36.5,27.4,1.985,1.517,3.006,-1,0.094,0.031
91.000,12396,37,27,2.040,1.514,2.982,-1,0.096,0.032
92.000,12535,36.5,27.4,2.413,1.377,2.652,-1,0.098,0.031
93.000,12679,39.7,25.2,2.549,1.379,2.504,-1,0.100,0.031
94.001,12822,37.3,26.8,2.472,1.127,2.886,-1,0.097,0.034
