time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,145,154.4,6.5,1.408,0.684,2.524,-1,0.106,0.030
2.000,288,154.8,6.5,1.127,0.625,2.599,-1,0.099,0.030
3.000,432,164.9,6.1,1.188,0.748,2.354,-1,0.101,0.030
4.000,576,165.4,6,1.795,0.708,1.958,-1,0.094,0.034
5.001,720,168.7,5.9,2.199,0.662,1.574,-1,0.094,0.030
6.000,864,160.8,6.2,2.112,0.586,1.846,-1,0.097,0.030
7.000,1008,153.3,6.5,2.056,0.622,2.110,-1,0.095,0.031
8.000,1152,173.3,5.8,1.382,0.691,1.893,-1,0.094,0.031
9.000,1296,175.4,5.7,1.278,0.619,1.874,-1,0.094,0.031
10.001,1440,142.9,7,1.610,0.912,2.641,-1,0.093,0.030
11.000,1583,140.6,7.1,2.145,0.709,2.355,-1,0.093,0.031
12.000,1727,159,6.3,2.272,0.604,1.852,-1,0.095,0.030
13.000,1871,152.5,6.6,1.920,0.662,2.166,-1,0.093,0.030
14.000,2015,162.8,6.1,1.274,0.627,2.218,-1,0.123,0.033
15.000,2159,165.2,6.1,1.104,0.623,2.162,-1,0.098,0.032
16.000,2303,160.9,6.2,1.350,0.643,2.059,-1,0.150,0.043
17.000,2447,153,6.5,2.163,0.557,1.863,-1,0.094,0.031
18.000,2591,156,6.4,2.180,0.557,1.742,-1,0.095,0.031
19.000,2735,150.6,6.6,2.091,0.599,2.030,-1,0.095,0.030
20.000,2878,146.4,6.8,1.779,0.649,2.378,-1,0.094,0.030
21.000,3022,171.8,5.8,1.302,0.713,1.896,-1,0.095,0.031
22.000,3166,168,6,1.345,0.821,2.026,-1,0.094,0.030
23.000,3310,148.2,6.7,1.914,0.814,2.151,-1,0.096,0.032
24.000,3454,153.5,6.5,1.937,0.681,2.163,-1,0.094,0.031
25.000,3598,155.2,6.4,2.145,0.577,1.963,-1,0.094,0.031
26.000,3742,158.1,6.3,1.462,0.637,2.231,-1,0.098,0.034
27.000,3886,167.3,6,1.075,0.626,2.153,-1,0.095,0.054
28.000,4029,166.9,6,1.128,0.628,2.284,-1,0.096,0.038
29.000,4173,172.8,5.8,1.648,0.782,1.918,-1,0.158,0.050
30.000,4317,158.6,6.3,2.292,0.554,1.694,-1,0.095,0.030
31.000,4461,155.3,6.4,2.138,0.592,1.845,-1,0.096,0.031
32.000,4605,155.1,6.4,2.031,0.669,1.990,-1,0.097,0.031
33.000,4749,158.1,6.3,1.519,0.608,2.059,-1,0.102,0.034
34.000,4893,164.5,6.1,1.284,0.564,1.859,-1,0.094,0.031
35.000,5037,150,6.7,1.549,0.711,2.410,-1,0.094,0.034
36.001,5181,138.3,7.2,2.006,0.707,2.327,-1,0.098,0.031
37.000,5324,152.7,6.5,2.080,0.632,2.072,-1,0.095,0.030
38.000,5468,145.9,6.9,2.085,0.624,2.233,-1,0.094,0.030
39.000,5612,158.1,6.3,1.237,0.738,2.297,-1,0.144,0.043
40.000,5756,163.3,6.1,1.206,0.625,2.176,-1,0.094,0.030
41.000,5900,166.4,6,1.411,0.628,2.130,-1,0.109,0.035
42.000,6044,162.5,6.2,2.029,0.550,1.933,-1,0.094,0.031
43.000,6188,167.1,6,2.303,0.538,1.620,-1,0.094,0.031
44.000,6332,154,6.5,2.116,0.600,1.940,-1,0.094,0.031
45.000,6476,149.8,6.7,1.929,0.702,2.162,-1,0.094,0.030
46.000,6619,171.9,5.8,1.327,0.584,1.973,-1,0.095,0.031
47.000,6763,166.4,6,1.315,0.691,2.128,-1,0.099,0.035
48.000,6907,143.1,7,1.876,0.793,2.332,-1,0.097,0.031
49.000,7051,146.3,6.8,2.003,0.732,2.061,-1,0.098,0.032
50.000,7195,160.6,6.2,2.128,0.652,1.819,-1,0.095,0.030
51.000,7339,162.3,6.2,1.638,0.754,2.112,-1,0.095,0.031
52.000,7483,169,5.9,1.088,0.619,2.196,-1,0.096,0.036
53.000,7627,161.7,6.2,1.101,0.629,2.149,-1,0.094,0.035
54.001,7771,160.5,6.2,1.519,0.670,2.089,-1,0.129,0.037
55.000,7914,150.9,6.6,2.304,0.555,1.865,-1,0.094,0.030
