time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,145,185.9,5.4,1.779,0.562,0.805,-1,0.095,0.031
2.000,289,195.2,5.1,1.635,0.621,0.748,-1,0.097,0.032
3.000,433,193.1,5.2,1.736,0.743,0.853,-1,0.099,0.037
4.000,577,198.2,5,1.767,0.726,0.852,-1,0.098,0.034
5.000,721,187.5,5.3,1.593,0.656,0.869,-1,0.095,0.031
6.000,865,192.1,5.2,1.630,0.779,0.910,-1,0.097,0.031
7.000,1008,197.6,5.1,1.636,0.667,0.870,-1,0.097,0.037
8.000,1152,187.3,5.3,1.669,0.697,0.955,-1,0.105,0.031
9.000,1296,207.9,4.8,1.774,0.592,0.798,-1,0.094,0.031
10.000,1440,194.6,5.1,1.817,0.545,0.646,-1,0.094,0.031
11.000,1584,178.1,5.6,1.736,0.530,0.616,-1,0.098,0.033
12.000,1728,179.9,5.6,1.838,0.543,0.645,-1,0.098,0.041
13.000,1872,193.5,5.2,1.826,0.556,0.633,-1,0.095,0.031
14.000,2016,196.8,5.1,1.667,0.574,0.695,-1,0.095,0.032
15.000,2159,182.7,5.5,1.682,0.713,0.940,-1,0.094,0.031
16.000,2303,191,5.2,1.707,0.784,0.864,-1,0.097,0.031
17.000,2447,182.8,5.5,1.682,0.737,0.971,-1,0.100,0.031
18.000,2591,176.1,5.7,1.609,0.714,0.834,-1,0.099,0.034
19.000,2735,206.7,4.8,1.684,0.730,0.860,-1,0.098,0.032
20.000,2879,188.8,5.3,1.714,0.673,0.780,-1,0.097,0.032
21.000,3023,179.6,5.6,1.698,0.687,0.794,-1,0.104,0.032
22.000,3167,211.5,4.7,1.755,0.565,0.718,-1,0.094,0.031
23.001,3311,183,5.5,1.770,0.567,0.745,-1,0.094,0.031
24.000,3454,185.5,5.4,1.828,0.524,0.631,-1,0.094,0.031
25.000,3598,182.1,5.5,1.890,0.520,0.729,-1,0.097,0.031
26.000,3742,202.4,4.9,1.797,0.557,0.676,-1,0.094,0.031
27.000,3886,185.7,5.4,1.565,0.605,0.690,-1,0.095,0.031
28.000,4030,203.1,4.9,1.748,0.706,0.834,-1,0.100,0.031
29.000,4174,200.2,5,1.735,0.729,0.838,-1,0.097,0.031
30.000,4318,199.8,5,1.619,0.690,0.790,-1,0.094,0.032
31.001,4462,179.1,5.6,1.702,0.798,0.916,-1,0.096,0.031
32.000,4605,185.7,5.4,1.704,0.720,0.893,-1,0.102,0.031
33.000,4749,175.1,5.7,1.635,0.733,0.972,-1,0.097,0.032
34.000,4893,186.1,5.4,1.736,0.606,0.792,-1,0.095,0.031
35.000,5037,203.1,4.9,1.865,0.532,0.637,-1,0.095,0.031
36.000,5181,222.1,4.5,1.791,0.522,0.634,-1,0.094,0.031
37.000,5325,194.2,5.1,1.778,0.550,0.655,-1,0.100,0.036
38.000,5469,202.2,4.9,1.817,0.558,0.662,-1,0.094,0.031
39.000,5613,212.1,4.7,1.691,0.582,0.647,-1,0.094,0.032
40.000,5757,183.3,5.5,1.726,0.647,0.792,-1,0.097,0.031
41.000,5900,193.8,5.2,1.757,0.717,0.845,-1,0.094,0.038
42.000,6044,197,5.1,1.679,0.756,0.918,-1,0.094,0.031
43.000,6188,186.3,5.4,1.578,0.701,1.047,-1,0.098,0.031
44.000,6332,193.8,5.2,1.639,0.771,0.896,-1,0.094,0.031
45.000,6476,208.8,4.8,1.751,0.643,0.776,-1,0.096,0.032
46.000,6620,203.3,4.9,1.667,0.678,0.842,-1,0.102,0.034
47.000,6764,211.5,4.7,1.765,0.560,0.735,-1,0.094,0.032
48.000,6908,224.4,4.5,1.824,0.531,0.629,-1,0.094,0.031
49.000,7052,221.7,4.5,1.772,0.534,0.632,-1,0.094,0.031
50.000,7195,219.1,4.6,1.827,0.549,0.686,-1,0.094,0.037
51.000,7339,188,5.3,1.714,0.558,0.843,-1,0.098,0.031
52.000,7483,178.8,5.6,1.533,0.599,0.813,-1,0.095,0.032
53.000,7627,185.2,5.4,1.726,0.727,0.825,-1,0.095,0.031
54.000,7771,201.5,5,1.803,0.719,0.825,-1,0.099,0.033
55.000,7915,197.4,5.1,1.580,0.687,0.857,-1,0.097,0.035
56.000,8059,193.1,5.2,1.663,0.742,0.849,-1,0.100,0.032
57.000,8203,189.3,5.3,1.672,0.695,0.824,-1,0.094,0.032
58.000,8346,197.8,5.1,1.668,0.699,0.806,-1,0.104,0.031
59.000,8490,205.3,4.9,1.771,0.612,0.858,-1,0.097,0.031
60.000,8634,203.6,4.9,1.762,0.547,0.766,-1,0.094,0.031
61.000,8778,222.8,4.5,1.751,0.543,0.695,-1,0.095,0.031
62.000,8922,214.9,4.7,1.855,0.528,0.673,-1,0.094,0.031
63.000,9066,206.5,4.8,1.825,0.554,0.684,-1,0.096,0.034
64.000,9210,197.6,5.1,1.738,0.568,0.706,-1,0.097,0.031
65.000,9354,203,4.9,1.656,0.629,0.766,-1,0.100,0.037
66.000,9498,199.6,5,1.754,0.709,0.847,-1,0.094,0.031
67.000,9641,196.8,5.1,1.725,0.742,0.836,-1,0.096,0.033
68.000,9785,188.1,5.3,1.614,0.674,0.883,-1,0.094,0.031
69.000,9929,193,5.2,1.649,0.805,0.926,-1,0.097,0.031
70.000,10073,188.5,5.3,1.671,0.680,0.814,-1,0.094,0.031
71.000,10217,192.1,5.2,1.688,0.695,0.862,-1,0.096,0.031
72.000,10361,186.7,5.4,1.797,0.555,0.687,-1,0.100,0.031
73.000,10505,193.8,5.2,1.773,0.561,0.637,-1,0.096,0.032
74.000,10649,221.6,4.5,1.752,0.541,0.607,-1,0.095,0.031
75.001,10793,202,5,1.825,0.546,0.660,-1,0.097,0.034
76.000,10936,187.6,5.3,1.748,0.562,0.644,-1,0.096,0.034
77.000,11080,196.7,5.1,1.575,0.581,0.735,-1,0.095,0.031
78.000,11224,186.4,5.4,1.716,0.747,0.916,-1,0.097,0.031
79.000,11368,170.3,5.9,1.748,0.721,0.852,-1,0.094,0.031
80.000,11512,199.6,5,1.631,0.692,0.847,-1,0.098,0.032
81.000,11656,181.4,5.5,1.669,0.691,0.857,-1,0.104,0.031
82.000,11800,189.1,5.3,1.685,0.731,0.869,-1,0.094,0.032
83.000,11944,184,5.4,1.561,0.680,0.786,-1,0.117,0.037
84.000,12087,215.7,4.6,1.683,0.623,0.755,-1,0.112,0.034
85.000,12231,203,4.9,1.691,0.540,0.655,-1,0.094,0.031
86.000,12375,178.6,5.6,1.670,0.551,0.673,-1,0.095,0.032
87.000,12519,177,5.6,1.770,0.559,0.734,-1,0.095,0.031
88.000,12663,189.3,5.3,1.830,0.562,0.654,-1,0.094,0.034
89.000,12807,193.7,5.2,1.804,0.552,0.683,-1,0.096,0.032
90.000,12951,213.8,4.7,1.663,0.609,0.748,-1,0.096,0.034
91.000,13095,207.6,4.8,1.745,0.719,0.845,-1,0.094,0.031
92.000,13239,202.6,4.9,1.766,0.704,0.832,-1,0.094,0.031
93.000,13382,194.5,5.1,1.606,0.664,0.806,-1,0.100,0.031
94.000,13526,185.9,5.4,1.687,0.767,0.845,-1,0.097,0.034
95.000,13670,188.6,5.3,1.715,0.670,0.994,-1,0.095,0.034
96.000,13814,188.8,5.3,1.667,0.711,0.937,-1,0.098,0.031
97.000,13958,198.9,5,1.786,0.582,0.682,-1,0.095,0.031
98.000,14102,178.1,5.6,1.777,0.548,0.646,-1,0.100,0.032
99.000,14246,206.2,4.8,1.729,0.540,0.625,-1,0.098,0.032
100.000,14390,191.1,5.2,1.840,0.546,0.647,-1,0.096,0.038
101.000,14533,188,5.3,1.821,0.559,0.639,-1,0.098,0.034
102.000,14677,175.6,5.7,1.633,0.586,0.671,-1,0.095,0.032
103.000,14821,174.9,5.7,1.631,0.709,0.884,-1,0.094,0.032
104.000,14965,170.3,5.9,1.707,0.831,0.859,-1,0.095,0.031
105.000,15109,177.4,5.6,1.686,0.752,0.891,-1,0.095,0.031
106.000,15253,190.5,5.3,1.685,0.706,0.815,-1,0.098,0.032
107.000,15397,187.8,5.3,1.737,0.738,0.866,-1,0.096,0.031
108.000,15541,195.3,5.1,1.622,0.679,0.814,-1,0.104,0.034
109.000,15685,204.3,4.9,1.637,0.660,0.790,-1,0.115,0.034
110.000,15828,210.7,4.7,1.798,0.568,0.630,-1,0.095,0.031
111.000,15972,197.1,5.1,1.767,0.535,0.644,-1,0.095,0.031
112.000,16116,185.9,5.4,1.800,0.532,0.769,-1,0.095,0.031
113.000,16260,182.6,5.5,1.815,0.556,0.867,-1,0.095,0.041
114.000,16404,203.4,4.9,1.788,0.572,0.715,-1,0.095,0.034
115.000,16548,174.7,5.7,1.587,0.607,0.738,-1,0.097,0.033
116.000,16692,184.4,5.4,1.757,0.729,0.847,-1,0.095,0.032
117.000,16836,191.2,5.2,1.726,0.732,0.844,-1,0.095,0.031
