time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,34,8.1,123.3,12.691,6.798,12.259,-1,0.094,0.030
2.000,66,8.3,121.2,12.297,6.676,11.813,-1,0.094,0.030
3.000,101,9.2,109.2,10.318,6.177,11.131,-1,0.095,0.031
4.000,141,10.7,93.4,7.821,5.931,10.150,-1,0.093,0.031
5.000,183,10.9,91.6,7.274,5.926,9.959,-1,0.093,0.030
6.000,225,10.7,93.7,8.169,5.740,10.010,-1,0.094,0.031
7.000,266,10.5,95.4,8.329,5.754,9.641,-1,0.092,0.031
8.000,309,11.4,87.5,8.379,5.150,8.814,-1,0.138,0.030
9.000,356,12.7,78.9,7.318,4.438,7.851,-1,0.097,0.030
10.000,412,14.9,67,5.526,4.369,7.158,-1,0.092,0.030
11.000,466,13,77.2,5.923,4.659,8.435,-1,0.093,0.031
12.000,506,9.5,105.3,11.125,5.586,10.104,-1,0.093,0.030
13.000,538,8.3,120.1,12.585,6.532,11.580,-1,0.094,0.030
14.000,570,8.3,120,12.265,6.672,11.654,-1,0.093,0.031
15.000,604,8.9,113,11.618,6.175,11.306,-1,0.093,0.030
16.000,641,10.3,96.9,8.795,5.672,10.159,-1,0.093,0.031
17.000,684,11.1,90,7.152,5.727,9.857,-1,0.093,0.031
18.000,726,10.8,92.6,7.925,5.841,9.909,-1,0.093,0.031
19.000,767,10.6,94.3,8.189,5.710,9.791,-1,0.093,0.030
20.000,808,10.7,93.8,8.281,5.411,9.655,-1,0.093,0.030
21.000,853,11.8,85,8.162,4.805,8.402,-1,0.093,0.030
22.000,904,13.9,72.1,6.250,4.267,7.511,-1,0.093,0.030
23.000,961,14.9,67.2,4.826,4.366,7.556,-1,0.093,0.034
24.000,1009,12.2,81.8,7.269,4.517,8.487,-1,0.093,0.030
25.000,1044,8.6,115.7,12.171,5.892,10.781,-1,0.092,0.031
26.000,1076,8.2,122,12.596,6.555,11.750,-1,0.093,0.030
27.000,1108,8.4,118.9,12.182,6.592,11.789,-1,0.093,0.030
28.000,1143,9.2,108.7,10.491,5.862,10.937,-1,0.093,0.030
29.000,1183,10.9,91.5,7.851,5.609,9.809,-1,0.093,0.030
30.000,1226,11.2,89.6,6.905,5.717,9.846,-1,0.093,0.031
31.000,1267,10.6,94.7,8.405,5.635,9.975,-1,0.093,0.031
32.000,1308,10.5,95.3,8.423,5.594,9.908,-1,0.093,0.031
33.000,1351,11.4,87.8,8.287,5.221,9.115,-1,0.093,0.031
34.000,1397,12.3,81.2,7.562,4.545,7.961,-1,0.093,0.030
35.000,1452,14.8,67.7,5.663,4.111,7.225,-1,0.093,0.030
36.000,1507,13.1,76.1,6.213,4.653,8.390,-1,0.093,0.055
37.000,1549,9.7,103.3,10.908,5.394,10.082,-1,0.093,0.031
38.000,1582,8.3,120.5,12.658,6.190,11.509,-1,0.093,0.030
39.000,1614,8.3,120.1,12.389,6.672,11.674,-1,0.093,0.030
40.000,1647,8.7,114.5,11.868,6.199,11.303,-1,0.092,0.030
41.000,1684,10,100,9.141,5.720,10.269,-1,0.093,0.030
42.000,1727,11.2,89.2,7.232,5.654,9.667,-1,0.093,0.031
