time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,144,142.9,7,0.813,0.793,3.220,-1,0.105,0.038
2.000,288,154.8,6.5,0.658,0.769,3.247,-1,0.095,0.039
3.000,432,140.8,7.1,0.822,0.759,3.556,-1,0.105,0.043
4.000,576,114.9,8.7,1.271,0.800,3.928,-1,0.097,0.032
5.000,720,123.8,8.1,1.015,0.842,4.171,-1,0.097,0.032
6.000,864,142.4,7,0.860,0.710,3.650,-1,0.094,0.031
7.000,1007,130.7,7.7,0.881,0.803,3.721,-1,0.107,0.031
8.000,1151,100.2,10,1.007,0.918,4.346,-1,0.099,0.032
9.000,1295,93.6,10.7,0.874,0.866,4.127,-1,0.099,0.032
10.000,1439,47.7,21,1.161,0.981,4.252,-1,0.095,0.031
11.000,1570,31.7,31.5,1.285,0.922,5.204,-1,0.094,0.031
12.000,1694,32.9,30.3,1.381,1.046,4.855,-1,0.095,0.032
13.000,1837,51.4,19.5,1.122,1.010,3.631,-1,0.102,0.031
14.000,1981,140.8,7.1,0.827,0.906,3.329,-1,0.093,0.031
15.001,2125,137.7,7.3,0.705,0.848,3.219,-1,0.093,0.031
16.000,2269,136.8,7.3,0.956,0.786,3.424,-1,0.094,0.037
17.000,2412,126.7,7.9,1.082,0.725,3.828,-1,0.095,0.032
18.000,2556,136.4,7.3,0.857,0.743,3.646,-1,0.105,0.032
19.000,2700,139.2,7.2,0.994,0.736,3.327,-1,0.108,0.031
20.000,2844,139.4,7.2,0.746,0.855,3.436,-1,0.116,0.062
21.000,2988,75.8,13.2,0.901,0.909,4.480,-1,0.099,0.031
22.000,3132,122.5,8.2,1.040,0.951,4.144,-1,0.097,0.032
23.000,3274,51.8,19.3,1.094,0.777,4.709,-1,0.094,0.032
24.000,3397,30.4,32.9,1.254,0.908,5.518,-1,0.112,0.031
25.000,3530,35.5,28.2,1.244,1.019,4.315,-1,0.094,0.031
26.000,3674,138.5,7.2,0.973,0.808,2.849,-1,0.097,0.031
27.000,3818,144.7,6.9,0.657,0.917,3.029,-1,0.095,0.032
28.000,3962,143.7,7,0.932,0.756,3.003,-1,0.093,0.035
29.000,4106,131.5,7.6,1.116,0.742,3.566,-1,0.102,0.051
30.000,4250,112.8,8.9,0.947,0.734,4.427,-1,0.102,0.032
31.000,4394,124.2,8.1,0.980,0.687,3.901,-1,0.168,0.052
32.000,4538,134.1,7.5,0.888,0.824,3.771,-1,0.112,0.037
33.001,4682,118.4,8.4,0.835,0.897,3.975,-1,0.106,0.032
34.000,4825,133.2,7.5,0.776,0.940,3.770,-1,0.106,0.032
35.000,4969,120.9,8.3,1.068,0.875,3.973,-1,0.096,0.038
36.000,5104,32.6,30.6,1.281,0.876,5.096,-1,0.094,0.031
37.000,5227,32,31.2,1.323,0.980,5.096,-1,0.095,0.033
38.000,5368,37.4,26.7,1.199,1.177,3.804,-1,0.095,0.040
39.000,5512,138.7,7.2,0.850,0.881,3.489,-1,0.104,0.037
40.000,5656,142.3,7,0.669,0.886,3.217,-1,0.093,0.031
41.000,5800,133.2,7.5,0.995,0.771,3.370,-1,0.096,0.032
42.000,5943,127.5,7.8,1.139,0.682,3.719,-1,0.107,0.031
43.000,6087,125.1,8,0.922,0.782,3.784,-1,0.115,0.038
44.000,6231,137.5,7.3,1.023,0.745,3.331,-1,0.095,0.031
45.000,6375,144.8,6.9,0.795,0.874,3.452,-1,0.112,0.049
46.000,6519,96.5,10.4,0.901,0.862,4.532,-1,0.105,0.032
47.000,6663,107.4,9.3,0.993,0.840,4.310,-1,0.103,0.033
48.000,6807,59.1,16.9,1.053,0.784,4.651,-1,0.102,0.031
49.000,6930,30.6,32.7,1.249,0.897,5.552,-1,0.094,0.031
50.001,7060,34.3,29.1,1.302,1.092,4.415,-1,0.094,0.031
51.000,7203,131.9,7.6,0.993,0.834,2.900,-1,0.104,0.032
52.000,7347,144.4,6.9,0.671,0.962,2.965,-1,0.098,0.033
53.000,7491,146.8,6.8,0.822,0.782,2.897,-1,0.095,0.032
54.000,7635,137.1,7.3,1.050,0.746,3.445,-1,0.118,0.052
55.000,7779,112,8.9,0.959,0.724,4.532,-1,0.098,0.033
56.000,7923,127.4,7.8,0.892,0.688,4.075,-1,0.146,0.038
57.000,8067,129,7.8,1.007,0.776,3.833,-1,0.136,0.036
58.000,8211,124.8,8,0.804,0.842,4.104,-1,0.114,0.031
59.000,8355,102.5,9.8,0.771,0.859,4.261,-1,0.133,0.037
60.000,8498,57,17.6,1.072,0.968,4.361,-1,0.111,0.040
61.000,8636,33.5,29.8,1.268,0.896,4.889,-1,0.094,0.053
62.000,8757,31.2,32,1.270,0.884,5.438,-1,0.096,0.031
63.000,8896,40.1,24.9,1.114,1.207,3.921,-1,0.095,0.032
64.000,9040,144.3,6.9,0.932,0.808,3.073,-1,0.099,0.031
65.000,9184,136.6,7.3,0.664,0.872,3.472,-1,0.093,0.031
66.000,9328,135.1,7.4,0.890,0.801,3.468,-1,0.093,0.031
67.000,9472,124.8,8,1.146,0.695,3.654,-1,0.114,0.033
68.000,9616,127.1,7.9,0.912,0.727,3.984,-1,0.112,0.033
69.000,9759,134.1,7.5,0.988,0.738,3.381,-1,0.100,0.032
70.000,9903,133.5,7.5,0.897,0.808,3.415,-1,0.100,0.044
71.000,10047,121.4,8.2,0.891,0.896,3.997,-1,0.095,0.037
72.000,10191,120.1,8.3,0.797,0.894,3.765,-1,0.094,0.036
73.000,10333,36,27.8,1.168,0.948,4.359,-1,0.094,0.031
74.000,10460,30.8,32.5,1.306,0.862,5.315,-1,0.105,0.032
75.000,10586,33.8,29.6,1.322,1.035,4.727,-1,0.094,0.033
76.000,10730,76.4,13.1,1.079,0.914,3.220,-1,0.099,0.031
77.000,10873,140.3,7.1,0.712,0.998,2.925,-1,0.093,0.031
78.000,11017,155.4,6.4,0.771,0.844,2.813,-1,0.096,0.032
79.000,11161,136.7,7.3,1.012,0.751,3.366,-1,0.113,0.032
80.000,11305,127.7,7.8,0.972,0.725,3.951,-1,0.095,0.032
81.000,11449,136.3,7.3,0.880,0.684,3.583,-1,0.118,0.035
82.000,11593,130.7,7.6,1.003,0.764,3.519,-1,0.114,0.032
83.000,11737,123.6,8.1,0.807,0.857,4.089,-1,0.112,0.036
84.000,11881,93.4,10.7,0.881,0.828,4.449,-1,0.113,0.032
85.000,12024,118.6,8.4,1.059,0.907,4.160,-1,0.098,0.034
86.000,12166,47.6,21,1.243,0.824,4.706,-1,0.094,0.031
87.000,12287,30.8,32.4,1.217,1.016,5.343,-1,0.096,0.031
88.000,12423,37.6,26.6,1.216,1.111,4.067,-1,0.098,0.032
89.000,12567,145.7,6.9,0.974,0.806,2.885,-1,0.095,0.036
90.000,12711,134.7,7.4,0.678,0.903,3.351,-1,0.098,0.031
91.000,12855,133.7,7.5,0.890,0.799,3.590,-1,0.106,0.031
92.000,12999,126.6,7.9,1.192,0.707,3.916,-1,0.104,0.032
93.000,13143,125.3,8,0.988,0.730,4.126,-1,0.099,0.032
94.000,13286,135.6,7.4,0.955,0.751,3.470,-1,0.093,0.031
95.000,13430,136.5,7.3,0.886,0.843,3.558,-1,0.098,0.032
96.000,13574,117.8,8.5,0.903,0.938,4.031,-1,0.095,0.032
97.000,13718,130.9,7.6,0.812,0.901,3.875,-1,0.132,0.032
98.000,13862,41.1,24.3,1.167,0.975,4.243,-1,0.104,0.031
99.000,13992,31.5,31.8,1.306,0.986,5.087,-1,0.094,0.031
100.000,14116,32.6,30.6,1.364,1.081,4.628,-1,0.094,0.042
101.000,14260,48.7,20.5,1.167,1.061,3.565,-1,0.102,0.031
102.001,14404,141.4,7.1,0.847,0.886,3.073,-1,0.093,0.031
103.000,14547,147.9,6.8,0.730,0.905,2.879,-1,0.093,0.031
104.000,14691,135.5,7.4,1.015,0.760,3.362,-1,0.103,0.032
105.000,14835,127.1,7.9,1.023,0.692,3.805,-1,0.102,0.031
106.000,14979,133.7,7.5,0.893,0.690,3.714,-1,0.108,0.032
107.000,15123,131.4,7.6,0.979,0.756,3.383,-1,0.122,0.035
108.000,15267,133.7,7.5,0.744,0.869,3.599,-1,0.107,0.031
109.000,15411,80.1,12.5,0.906,0.868,4.574,-1,0.101,0.037
110.000,15555,110.9,9,1.091,0.919,4.254,-1,0.099,0.032
111.000,15697,44.4,22.5,1.176,0.799,4.618,-1,0.112,0.050
112.000,15818,30.5,32.8,1.270,0.954,5.493,-1,0.094,0.031
113.000,15952,35.9,27.8,1.209,1.189,4.087,-1,0.096,0.031
114.000,16096,148,6.8,0.941,0.794,2.788,-1,0.094,0.032
115.000,16240,146.8,6.8,0.662,0.931,2.961,-1,0.095,0.031
116.000,16384,140.4,7.1,0.934,0.755,3.027,-1,0.098,0.031
117.000,16528,118.2,8.5,1.230,0.761,4.050,-1,0.123,0.032
118.000,16672,110.8,9,1.030,0.738,4.405,-1,0.098,0.032
119.000,16816,131.2,7.6,0.898,0.698,3.739,-1,0.117,0.031
