time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,113,148.3,6.7,0.984,0.971,2.635,-1,0.094,0.031
2.001,257,140.8,7.1,0.869,0.943,2.969,-1,0.094,0.031
3.000,401,139.6,7.2,0.989,0.871,2.870,-1,0.094,0.031
4.000,544,140.5,7.1,1.110,0.811,2.958,-1,0.093,0.031
5.000,688,136,7.4,1.058,0.811,2.974,-1,0.093,0.031
6.000,832,157.9,6.3,1.069,0.789,2.607,-1,0.092,0.031
7.000,976,155.2,6.4,0.976,0.854,2.559,-1,0.093,0.031
8.000,1120,143.5,7,0.941,0.940,2.976,-1,0.096,0.032
9.000,1264,143.5,7,0.902,0.901,2.917,-1,0.096,0.031
10.000,1408,140.8,7.1,1.057,0.886,3.028,-1,0.093,0.031
11.000,1552,112.8,8.9,1.132,0.971,3.824,-1,0.095,0.032
12.000,1695,128.3,7.8,1.152,1.036,3.511,-1,0.100,0.033
13.000,1839,142.7,7,1.099,1.024,2.896,-1,0.092,0.031
14.000,1983,135.3,7.4,0.981,0.999,2.781,-1,0.099,0.031
15.000,2127,149.8,6.7,0.980,0.874,2.583,-1,0.094,0.031
16.000,2271,141.4,7.1,1.044,0.854,2.610,-1,0.096,0.032
17.000,2415,137.5,7.3,1.060,0.793,2.841,-1,0.100,0.032
18.000,2559,148.2,6.7,1.022,0.779,2.791,-1,0.093,0.032
19.000,2703,153.3,6.5,1.047,0.817,2.586,-1,0.093,0.032
20.000,2847,146.3,6.8,0.877,0.877,2.732,-1,0.094,0.031
21.001,2991,137.5,7.3,0.936,0.983,3.394,-1,0.098,0.031
22.000,3134,139,7.2,0.984,0.939,3.131,-1,0.094,0.031
23.000,3278,135.5,7.4,1.130,0.842,3.282,-1,0.095,0.032
24.000,3422,122.3,8.2,1.183,1.108,3.729,-1,0.102,0.033
25.000,3566,139.5,7.2,1.170,0.989,2.973,-1,0.093,0.032
26.000,3710,147.5,6.8,1.012,0.970,2.573,-1,0.094,0.032
27.000,3854,141.5,7.1,0.963,0.951,2.761,-1,0.096,0.031
28.000,3998,155.2,6.4,0.964,0.861,2.542,-1,0.093,0.032
29.000,4141,146.4,6.8,1.068,0.832,2.653,-1,0.093,0.031
30.000,4285,140.9,7.1,0.988,0.830,3.008,-1,0.094,0.032
31.000,4429,140.9,7.1,0.989,0.777,2.885,-1,0.093,0.031
32.000,4573,139.5,7.2,0.973,0.845,2.912,-1,0.094,0.031
33.000,4717,138.6,7.2,0.920,0.926,3.174,-1,0.097,0.031
34.000,4861,138.3,7.2,0.935,0.906,3.126,-1,0.102,0.031
35.000,5005,133.9,7.5,1.080,0.894,2.933,-1,0.093,0.032
36.000,5149,115.9,8.6,1.082,0.926,3.669,-1,0.102,0.032
37.000,5293,114.6,8.7,1.095,1.002,3.864,-1,0.097,0.032
38.001,5437,134,7.5,1.060,1.021,2.861,-1,0.095,0.031
39.000,5580,135.3,7.4,0.954,1.017,2.944,-1,0.094,0.031
40.000,5724,144.9,6.9,0.881,0.887,2.861,-1,0.095,0.031
41.000,5868,138.2,7.2,1.009,0.876,2.797,-1,0.093,0.031
42.000,6012,140.9,7.1,1.075,0.789,2.810,-1,0.097,0.032
43.000,6156,145.6,6.9,1.042,0.794,3.000,-1,0.096,0.031
44.000,6300,153.3,6.5,1.024,0.807,2.582,-1,0.094,0.031
45.000,6444,146.2,6.8,0.918,0.852,2.756,-1,0.094,0.031
46.000,6588,135.5,7.4,0.942,0.972,3.341,-1,0.100,0.032
47.001,6732,141.6,7.1,0.984,0.936,3.153,-1,0.093,0.032
48.000,6875,134.9,7.4,1.058,0.866,3.212,-1,0.100,0.037
49.000,7019,123.9,8.1,1.216,1.089,3.776,-1,0.122,0.032
50.000,7163,132.7,7.5,1.157,1.036,3.082,-1,0.105,0.032
51.000,7307,145.5,6.9,1.058,0.987,2.616,-1,0.099,0.032
52.000,7451,142.8,7,0.935,0.961,2.788,-1,0.094,0.031
53.000,7595,158.3,6.3,1.003,0.863,2.544,-1,0.093,0.031
54.000,7739,143.3,7,1.069,0.836,2.658,-1,0.094,0.031
55.001,7883,137.7,7.3,1.003,0.829,2.905,-1,0.098,0.031
56.000,8026,148.7,6.7,0.990,0.774,2.745,-1,0.097,0.031
57.000,8170,145.9,6.9,1.025,0.849,2.801,-1,0.095,0.031
58.000,8314,134.2,7.5,0.854,0.912,3.102,-1,0.101,0.044
59.000,8458,137.4,7.3,0.983,0.925,3.169,-1,0.100,0.032
