time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,68,18.4,54.3,5.421,2.349,5.543,-1,0.095,0.031
2.000,137,18,55.5,5.492,2.649,5.212,-1,0.095,0.031
3.000,201,16.9,59.2,5.872,2.600,6.248,-1,0.095,0.031
4.000,263,15.7,63.7,6.347,3.087,6.516,-1,0.095,0.031
5.000,327,17.3,57.8,5.478,2.698,6.497,-1,0.095,0.031
6.000,399,18.4,54.3,5.229,2.398,5.158,-1,0.095,0.032
7.000,471,18.6,53.8,5.206,1.964,6.314,-1,0.094,0.031
8.000,545,19.8,50.5,5.073,1.843,5.620,-1,0.112,0.031
9.000,628,22.4,44.6,4.514,1.865,4.683,-1,0.095,0.031
10.000,725,25.4,39.4,3.458,1.705,4.114,-1,0.094,0.031
11.000,821,23.8,42,3.338,1.822,4.505,-1,0.095,0.031
12.000,906,20.4,49.1,4.642,2.036,5.432,-1,0.099,0.031
13.000,978,18.4,54.4,5.251,1.995,5.979,-1,0.095,0.033
14.000,1050,18.2,54.8,5.313,2.519,5.104,-1,0.098,0.031
15.000,1120,18.4,54.5,5.735,2.368,5.548,-1,0.096,0.031
16.000,1189,17.7,56.4,5.595,2.643,6.019,-1,0.096,0.031
17.000,1254,17.1,58.5,5.863,2.735,5.705,-1,0.096,0.031
18.000,1326,18.8,53.1,5.576,2.606,5.051,-1,0.131,0.031
19.000,1398,18.6,53.8,5.072,2.177,5.643,-1,0.095,0.033
20.000,1471,18.9,53,5.058,1.865,6.089,-1,0.094,0.031
21.000,1549,20.6,48.6,5.241,1.869,4.794,-1,0.094,0.031
22.000,1639,23.7,42.2,3.953,1.834,4.249,-1,0.095,0.031
23.000,1738,25,40.1,3.193,1.761,4.396,-1,0.095,0.031
24.000,1831,23.5,42.6,3.806,1.893,4.755,-1,0.095,0.033
25.000,1908,18.5,54.1,5.234,1.977,6.226,-1,0.094,0.031
26.000,1980,18.4,54.4,5.117,1.972,6.033,-1,0.094,0.031
27.000,2051,18.3,54.7,5.323,2.461,5.201,-1,0.115,0.034
28.000,2121,17.5,57,5.866,2.717,6.121,-1,0.095,0.031
29.000,2187,16.7,60,5.854,2.670,6.244,-1,0.095,0.031
30.000,2256,18.9,53,5.364,2.854,5.324,-1,0.097,0.031
