time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,145,131.2,7.6,1.400,1.010,3.054,-1,0.095,0.031
2.000,289,135.8,7.4,1.419,1.049,3.064,-1,0.094,0.031
3.000,432,124.1,8.1,1.747,1.208,3.028,-1,0.100,0.032
4.000,576,90.5,11,1.477,1.149,3.486,-1,0.096,0.031
5.000,720,138.3,7.2,1.364,0.970,2.945,-1,0.108,0.044
6.000,864,155.2,6.4,1.203,0.910,2.660,-1,0.101,0.038
7.000,1008,152.1,6.6,1.201,0.926,2.641,-1,0.112,0.038
8.000,1152,147.1,6.8,1.210,0.835,2.686,-1,0.098,0.039
9.000,1296,155.7,6.4,1.065,0.758,2.309,-1,0.187,0.044
10.000,1440,158.8,6.3,0.867,0.690,2.491,-1,0.098,0.031
11.000,1583,150.5,6.6,0.875,0.711,2.910,-1,0.094,0.031
12.000,1727,149.2,6.7,1.160,0.895,2.495,-1,0.102,0.032
13.000,1871,135.1,7.4,1.301,0.873,2.702,-1,0.100,0.032
14.000,2015,129.7,7.7,1.404,0.891,2.990,-1,0.095,0.032
15.000,2159,116.1,8.6,1.486,1.094,3.177,-1,0.107,0.041
16.000,2303,106.4,9.4,1.641,1.143,3.384,-1,0.103,0.037
17.000,2447,131.1,7.6,1.269,0.955,3.392,-1,0.095,0.031
18.000,2591,130.1,7.7,1.386,1.041,3.045,-1,0.095,0.031
19.000,2735,140.4,7.1,1.200,0.881,2.969,-1,0.102,0.035
20.000,2879,149.8,6.7,1.205,0.955,2.781,-1,0.094,0.038
21.000,3022,159.3,6.3,1.232,0.893,2.427,-1,0.099,0.032
22.000,3166,163.6,6.1,1.121,0.711,2.364,-1,0.095,0.034
23.000,3310,165.5,6,0.887,0.704,2.538,-1,0.097,0.032
24.000,3454,155.8,6.4,1.083,0.735,2.596,-1,0.115,0.043
25.000,3598,150.5,6.6,1.226,0.820,2.575,-1,0.100,0.031
26.000,3742,140.6,7.1,1.313,0.902,2.781,-1,0.096,0.035
27.000,3886,128.8,7.8,1.404,1.048,2.972,-1,0.095,0.031
28.001,4030,108.9,9.2,1.598,1.120,3.201,-1,0.109,0.037
29.000,4173,136.5,7.3,1.253,1.040,2.991,-1,0.095,0.031
30.000,4317,130.1,7.7,1.422,0.886,3.128,-1,0.096,0.031
31.000,4461,137.9,7.3,1.351,0.858,3.004,-1,0.095,0.031
32.000,4605,149.5,6.7,1.261,0.880,2.745,-1,0.095,0.032
33.000,4749,154,6.5,1.221,0.867,2.562,-1,0.096,0.034
34.000,4893,157.5,6.3,1.096,0.786,2.289,-1,0.140,0.040
35.000,5037,158.6,6.3,0.869,0.707,2.298,-1,0.095,0.031
36.001,5181,153.5,6.5,0.850,0.715,2.329,-1,0.098,0.037
37.000,5324,152.4,6.6,1.097,0.762,2.724,-1,0.103,0.031
38.000,5468,137.7,7.3,1.314,0.937,2.820,-1,0.094,0.032
39.000,5612,129.8,7.7,1.461,0.885,3.138,-1,0.096,0.032
40.000,5756,140.3,7.1,1.440,0.922,3.075,-1,0.095,0.031
41.000,5900,58,17.2,1.689,1.166,3.393,-1,0.097,0.032
42.000,6044,133.3,7.5,1.257,0.942,3.374,-1,0.095,0.031
43.000,6188,133.9,7.5,1.412,1.021,3.213,-1,0.095,0.031
44.000,6332,149,6.7,1.202,0.940,2.846,-1,0.102,0.038
45.000,6476,144.1,6.9,1.250,0.972,2.767,-1,0.099,0.031
46.000,6619,153.4,6.5,1.314,0.826,2.702,-1,0.094,0.031
47.000,6763,166,6,1.101,0.710,2.581,-1,0.095,0.031
