time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,71,18.4,54.3,5.858,2.249,5.572,-1,0.095,0.034
2.000,140,17.5,57.3,6.139,2.330,5.843,-1,0.095,0.031
3.000,207,16.7,59.9,6.293,2.441,5.499,-1,0.094,0.031
4.000,273,16.8,59.7,6.221,2.304,6.300,-1,0.094,0.031
5.000,337,16.8,59.5,5.649,2.191,6.837,-1,0.162,0.031
6.000,409,19,52.7,5.531,2.173,5.518,-1,0.130,0.031
7.000,479,18.3,54.6,6.016,2.461,5.169,-1,0.095,0.031
8.000,546,16.9,59,6.001,2.640,5.545,-1,0.115,0.031
9.000,613,17.4,57.3,5.915,2.608,5.320,-1,0.095,0.031
10.000,684,19,52.5,5.861,2.323,5.036,-1,0.095,0.031
11.000,757,18.3,54.7,5.409,2.188,5.149,-1,0.095,0.031
12.000,829,18.4,54.3,5.376,2.127,5.619,-1,0.095,0.051
13.000,900,18.6,53.7,5.960,2.627,4.906,-1,0.095,0.031
14.000,973,18.7,53.5,6.133,2.463,4.783,-1,0.094,0.031
15.000,1045,18.3,54.5,5.245,2.403,5.279,-1,0.095,0.031
16.000,1115,18.3,54.8,6.095,2.257,4.812,-1,0.094,0.031
17.000,1186,19,52.7,5.805,2.270,5.168,-1,0.095,0.031
18.000,1258,18.9,53,5.381,2.228,5.865,-1,0.115,0.050
19.000,1330,18.7,53.5,5.643,2.152,5.124,-1,0.099,0.051
20.000,1400,17.7,56.4,5.916,2.456,5.199,-1,0.095,0.031
21.000,1465,16.3,61.4,6.447,2.705,5.623,-1,0.095,0.031
22.000,1535,18.5,54,5.698,2.411,5.231,-1,0.135,0.031
23.000,1607,18.6,53.9,5.782,2.184,4.860,-1,0.095,0.032
24.000,1679,18.5,54,5.310,2.268,4.971,-1,0.095,0.032
25.000,1751,18.1,55.1,5.620,2.397,5.115,-1,0.095,0.032
26.000,1823,18.8,53.2,6.112,2.123,5.006,-1,0.095,0.031
27.000,1895,18.4,54.4,5.769,2.303,4.829,-1,0.095,0.031
28.000,1966,17.9,55.8,5.823,2.438,5.110,-1,0.095,0.031
29.000,2036,18.2,55,6.230,2.170,5.217,-1,0.095,0.031
30.000,2109,18.8,53.1,5.622,2.246,5.083,-1,0.115,0.031
31.000,2181,18.9,52.9,5.548,2.196,5.824,-1,0.095,0.031
32.000,2252,18.5,54,5.967,2.384,5.132,-1,0.114,0.031
33.000,2320,17.7,56.6,6.242,2.717,5.223,-1,0.095,0.031
34.000,2386,17.3,57.7,6.005,2.575,5.395,-1,0.095,0.031
35.000,2457,18.6,53.7,5.893,2.504,5.066,-1,0.095,0.031
36.000,2530,18.5,54.1,5.545,2.178,5.469,-1,0.115,0.031
37.000,2602,18.3,54.6,5.342,2.098,5.681,-1,0.115,0.031
38.000,2673,18.5,54.1,5.825,2.372,5.142,-1,0.095,0.031
39.000,2746,18.4,54.3,6.285,2.352,4.870,-1,0.094,0.032
40.000,2818,18.4,54.2,5.786,2.515,5.169,-1,0.095,0.031
41.000,2888,17.9,55.9,6.530,2.217,4.941,-1,0.094,0.031
42.000,2959,18.9,52.9,5.932,2.215,5.094,-1,0.095,0.031
43.000,3032,19.1,52.3,5.408,2.250,5.594,-1,0.115,0.031
44.000,3103,19,52.5,5.649,2.319,5.380,-1,0.112,0.048
45.000,3173,18,55.5,6.234,2.484,5.131,-1,0.115,0.031
46.000,3239,16.4,60.9,6.116,2.470,6.193,-1,0.095,0.031
47.000,3307,18.7,53.6,5.591,2.398,5.221,-1,0.134,0.031
48.000,3379,18.7,53.6,5.810,2.227,4.940,-1,0.115,0.031
49.000,3451,18.4,54.3,5.394,2.147,5.396,-1,0.095,0.031
50.000,3523,18.4,54.4,5.567,2.211,5.171,-1,0.098,0.031
51.000,3595,18.7,53.5,6.004,2.380,4.832,-1,0.095,0.031
52.000,3667,18.5,53.9,6.044,2.340,4.562,-1,0.098,0.031
53.000,3739,18.7,53.4,6.322,2.159,4.820,-1,0.095,0.031
54.000,3809,18.3,54.5,6.146,2.295,5.196,-1,0.095,0.031
55.000,3880,18.8,53.3,5.682,2.260,5.038,-1,0.133,0.031
56.000,3952,18.9,52.9,5.552,2.218,5.278,-1,0.113,0.048
57.000,4024,18.4,54.3,5.922,2.252,5.197,-1,0.114,0.031
58.000,4091,17,58.7,5.996,2.531,5.472,-1,0.095,0.031
59.000,4156,16.9,59,6.688,2.462,5.990,-1,0.098,0.031
60.000,4228,18.6,53.7,5.885,2.380,5.099,-1,0.095,0.031
61.000,4300,18.5,54.1,5.571,2.152,5.365,-1,0.115,0.031
62.000,4372,18.4,54.2,5.305,2.094,6.033,-1,0.095,0.031
63.000,4444,18.5,54.2,5.767,2.220,4.958,-1,0.095,0.031
64.000,4516,18.6,53.8,6.097,2.432,4.904,-1,0.095,0.031
65.000,4588,18.4,54.3,6.001,2.241,4.935,-1,0.095,0.031
66.000,4658,17.6,56.7,6.613,2.352,5.288,-1,0.098,0.031
67.000,4729,18.8,53.1,6.046,2.176,5.090,-1,0.114,0.031
68.000,4801,19,52.6,5.512,2.260,5.278,-1,0.095,0.051
69.000,4873,19,52.5,5.610,2.202,5.395,-1,0.112,0.049
70.000,4943,17.8,56.2,6.002,2.418,5.374,-1,0.095,0.031
71.000,5009,16.6,60.1,6.060,2.610,6.071,-1,0.095,0.032
72.000,5076,18,55.6,5.558,2.623,5.248,-1,0.119,0.031
73.000,5147,18.8,53.2,5.848,2.482,4.936,-1,0.095,0.031
74.000,5220,18.4,54.4,5.355,2.078,5.959,-1,0.095,0.032
75.000,5291,18.3,54.7,5.511,2.177,5.649,-1,0.098,0.051
76.001,5364,18.7,53.4,6.334,2.348,4.907,-1,0.095,0.031
77.000,5436,18.5,53.9,6.079,2.253,4.993,-1,0.094,0.031
78.000,5507,18.6,53.9,5.783,2.201,5.161,-1,0.095,0.031
79.000,5578,18.7,53.4,6.186,2.473,4.882,-1,0.095,0.031
80.000,5650,18.8,53.2,5.667,2.284,5.136,-1,0.112,0.031
81.000,5722,18.9,52.9,5.378,2.228,5.542,-1,0.114,0.050
82.000,5794,18.8,53.3,5.814,2.206,5.054,-1,0.115,0.031
83.000,5862,17.3,57.7,6.411,2.504,5.134,-1,0.095,0.031
84.000,5926,16.6,60.3,6.591,2.612,5.885,-1,0.099,0.031
85.000,5997,18.8,53.2,5.862,2.385,5.047,-1,0.136,0.031
86.000,6070,18.6,53.7,5.752,2.139,5.161,-1,0.095,0.031
87.000,6142,18.7,53.4,5.294,2.086,5.831,-1,0.095,0.031
88.000,6213,18.3,54.7,5.694,2.513,5.411,-1,0.099,0.031
89.000,6286,18.6,53.9,5.808,2.524,4.756,-1,0.095,0.031
90.001,6358,18.4,54.5,5.827,2.264,4.940,-1,0.095,0.031
91.000,6428,17.9,55.8,6.677,2.359,5.041,-1,0.098,0.031
92.000,6499,18.1,55.3,6.179,2.324,5.008,-1,0.114,0.031
93.000,6571,19,52.7,5.491,2.264,5.330,-1,0.148,0.031
94.000,6643,19,52.6,5.562,2.374,5.210,-1,0.174,0.051
95.000,6714,18.1,55.2,6.008,2.353,5.152,-1,0.095,0.031
96.000,6780,16.6,60.2,6.154,2.734,5.603,-1,0.095,0.031
97.000,6846,18,55.7,5.866,2.665,5.274,-1,0.095,0.031
98.000,6918,18.4,54.4,5.868,2.572,4.959,-1,0.095,0.031
99.000,6990,18.3,54.5,5.433,2.193,5.167,-1,0.095,0.032
100.000,7062,18.6,53.8,5.439,2.189,5.468,-1,0.099,0.031
101.000,7134,18.7,53.5,6.016,2.409,4.860,-1,0.094,0.031
102.000,7206,18.6,53.9,6.036,2.274,4.979,-1,0.095,0.031
103.000,7278,18.1,55.1,4.875,2.272,5.808,-1,0.095,0.031
104.000,7349,18.5,54,6.192,2.214,4.804,-1,0.095,0.032
105.000,7420,18.8,53.1,5.761,2.358,5.058,-1,0.094,0.031
106.000,7492,18.9,53,5.458,2.228,5.271,-1,0.165,0.031
107.000,7564,18.8,53.3,5.813,2.211,5.106,-1,0.095,0.051
108.000,7632,17.3,57.6,6.200,2.471,5.165,-1,0.095,0.032
109.000,7698,16.6,60.1,6.253,2.545,5.907,-1,0.099,0.031
110.000,7768,18.7,53.5,5.676,2.423,5.021,-1,0.134,0.050
111.000,7839,18.4,54.4,5.805,2.155,5.267,-1,0.095,0.031
112.000,7911,18.7,53.6,5.480,2.125,5.371,-1,0.095,0.031
113.000,7983,18.2,54.9,5.582,2.188,4.958,-1,0.118,0.033
114.000,8055,18.7,53.4,5.912,2.425,4.785,-1,0.095,0.031
115.000,8127,18.3,54.5,5.483,2.340,5.008,-1,0.094,0.031
116.000,8198,18.1,55.3,6.416,2.213,4.750,-1,0.095,0.031
117.000,8269,18.3,54.5,6.193,2.188,5.303,-1,0.095,0.031
118.000,8340,18.9,52.9,5.646,2.242,5.272,-1,0.099,0.032
119.001,8413,19,52.7,5.483,2.250,5.377,-1,0.134,0.031
