time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,49,12.4,80.4,8.527,3.557,8.131,-1,0.094,0.032
2.000,103,14.7,68,8.954,2.535,5.907,-1,0.095,0.031
3.000,161,15.6,64.2,9.823,2.426,3.993,-1,0.093,0.031
4.000,224,18,55.5,8.717,2.339,3.756,-1,0.094,0.031
5.000,293,18.9,53,8.174,2.191,3.484,-1,0.094,0.031
6.000,352,15.1,66.4,10.019,2.373,3.861,-1,0.115,0.052
7.000,405,13.9,72,9.611,2.733,5.641,-1,0.093,0.031
8.000,453,12.3,81.2,9.100,3.791,7.554,-1,0.094,0.031
9.000,492,9.3,107,13.311,3.966,9.008,-1,0.094,0.031
10.000,528,9,111.4,15.597,3.613,8.318,-1,0.128,0.032
11.000,565,9.4,105.9,13.646,3.725,8.935,-1,0.093,0.031
12.000,599,9.1,110,16.531,3.625,8.060,-1,0.094,0.031
13.000,640,11.4,87.5,10.396,3.630,8.024,-1,0.094,0.031
14.000,690,13.5,74.3,8.259,3.056,7.736,-1,0.093,0.034
15.000,748,16,62.5,9.427,2.319,4.527,-1,0.093,0.031
16.000,809,16.5,60.5,9.853,2.277,3.691,-1,0.094,0.033
17.000,878,18.9,53,8.139,2.222,3.274,-1,0.093,0.031
18.000,945,16.8,59.4,9.444,2.290,3.565,-1,0.094,0.031
19.000,1002,15,66.5,10.207,2.434,4.638,-1,0.094,0.031
20.000,1052,12.5,80.2,8.980,3.199,7.786,-1,0.093,0.031
21.000,1097,10.8,92.6,10.216,4.165,7.932,-1,0.094,0.031
22.000,1133,9.2,109,14.406,4.001,8.664,-1,0.094,0.033
23.000,1168,9.1,110,13.747,4.131,9.204,-1,0.093,0.032
24.000,1204,9,111.1,15.843,3.571,8.178,-1,0.093,0.031
25.000,1240,9.3,107.5,14.639,3.498,8.904,-1,0.093,0.032
26.000,1285,12.5,79.7,8.771,3.527,7.890,-1,0.094,0.031
27.000,1339,15.1,66.1,8.476,2.574,5.658,-1,0.094,0.031
28.000,1399,15.9,62.7,9.679,2.323,4.082,-1,0.097,0.031
29.000,1463,18.2,55,8.908,2.217,3.585,-1,0.093,0.031
30.000,1534,18.9,52.9,8.138,2.256,3.312,-1,0.094,0.031
31.000,1595,15.3,65.4,10.020,2.403,4.158,-1,0.093,0.031
32.000,1650,14.1,71.2,9.983,2.566,6.279,-1,0.094,0.031
33.000,1699,12.3,81.1,8.975,3.771,7.796,-1,0.094,0.031
34.000,1739,9.3,107.7,12.386,4.633,8.526,-1,0.093,0.031
35.000,1774,9,110.9,15.745,3.590,8.202,-1,0.094,0.031
36.000,1810,9,110.6,13.984,3.434,9.149,-1,0.093,0.032
37.000,1846,9.1,110.1,16.771,3.640,7.824,-1,0.094,0.031
38.000,1884,10.5,94.9,11.605,3.638,8.719,-1,0.093,0.031
39.000,1934,13.1,76.4,8.020,3.338,7.440,-1,0.093,0.031
40.000,1992,15.8,63.4,9.295,2.339,4.450,-1,0.116,0.031
41.000,2052,16.4,61.1,9.855,2.323,3.499,-1,0.094,0.031
42.000,2120,19.2,52.1,7.956,2.192,3.220,-1,0.097,0.031
43.000,2188,17.8,56.1,8.903,2.246,3.634,-1,0.093,0.031
44.000,2245,15,66.6,10.138,2.425,4.125,-1,0.094,0.032
45.000,2297,13.1,76.6,9.070,2.983,6.851,-1,0.093,0.031
46.000,2343,11.4,87.6,9.525,4.308,8.190,-1,0.094,0.031
47.000,2380,9.2,108.3,13.953,4.327,8.587,-1,0.093,0.031
48.000,2416,9.2,108.6,13.937,3.818,9.009,-1,0.093,0.031
49.000,2452,9,110.7,14.936,3.496,9.214,-1,0.093,0.032
50.000,2487,9.2,108.4,15.304,3.892,8.479,-1,0.094,0.031
51.000,2530,12.4,80.8,8.801,3.534,7.962,-1,0.094,0.031
52.000,2584,14.9,67.1,8.177,2.750,5.788,-1,0.094,0.031
53.000,2643,15.9,62.8,9.547,2.348,4.372,-1,0.095,0.031
54.000,2705,18,55.7,9.141,2.262,3.442,-1,0.093,0.031
55.000,2776,19.1,52.3,8.100,2.213,3.292,-1,0.094,0.031
56.000,2839,15.7,63.7,10.075,2.329,4.145,-1,0.093,0.031
57.000,2894,14.1,70.8,9.977,2.544,5.227,-1,0.094,0.031
58.000,2943,12.1,82.6,8.907,3.612,7.989,-1,0.094,0.031
59.000,2984,9.8,101.9,12.074,4.334,8.296,-1,0.093,0.031
60.000,3020,9.1,109.4,15.783,3.997,8.449,-1,0.094,0.031
61.000,3056,9.1,110,14.013,3.535,9.589,-1,0.093,0.031
62.000,3091,9,111.3,16.652,3.972,7.886,-1,0.093,0.031
63.000,3128,9.7,102.8,13.014,3.590,8.849,-1,0.093,0.031
64.000,3176,12.2,81.7,8.255,3.259,8.438,-1,0.093,0.031
65.000,3233,15.2,66,9.125,2.450,5.300,-1,0.093,0.035
66.000,3293,16.1,62.1,9.516,2.317,3.695,-1,0.093,0.031
67.000,3360,19.2,52.2,8.129,2.206,3.267,-1,0.093,0.031
68.000,3429,18.5,54.1,8.529,2.175,3.314,-1,0.093,0.031
69.000,3487,15.1,66.3,10.140,2.370,4.167,-1,0.115,0.031
