time,frame_index,fps,frame_time,stage_sample_gen,stage_direct,stage_indirect,stage_filter,stage_accumulate,stage_compose
1.000,71,18.3,54.8,6.354,2.379,4.878,-1,0.093,0.031
2.000,144,19,52.6,6.363,2.169,4.484,-1,0.122,0.032
3.000,220,20.1,49.6,6.268,1.919,3.966,-1,0.093,0.031
4.000,304,22.2,45.1,5.474,1.707,3.606,-1,0.093,0.031
5.000,390,21.8,45.9,5.503,1.966,3.571,-1,0.093,0.032
6.000,467,19.5,51.2,6.567,2.140,3.969,-1,0.097,0.031
7.000,537,17.9,55.8,7.024,2.283,4.667,-1,0.093,0.031
8.000,605,17.4,57.4,6.450,2.613,5.115,-1,0.098,0.031
9.000,666,15.5,64.4,8.369,2.547,5.063,-1,0.093,0.031
10.000,724,15.3,65.4,9.301,2.759,4.540,-1,0.093,0.031
11.000,783,15.3,65.4,9.192,2.495,4.564,-1,0.093,0.031
12.000,843,15.9,63,8.826,2.368,4.709,-1,0.116,0.031
13.000,907,17.4,57.5,7.207,2.391,4.864,-1,0.097,0.031
14.000,980,18.7,53.4,5.946,2.418,4.571,-1,0.093,0.031
15.000,1055,19.5,51.2,6.307,1.933,4.207,-1,0.093,0.031
16.000,1137,21.6,46.2,5.976,1.809,3.461,-1,0.097,0.047
17.000,1225,22.8,43.9,5.313,1.844,3.411,-1,0.125,0.047
18.000,1309,21,47.5,5.895,1.933,3.760,-1,0.093,0.031
19.000,1382,19.2,52,6.951,2.277,4.219,-1,0.093,0.031
20.000,1451,17.8,56.1,6.592,2.518,4.848,-1,0.094,0.031
21.000,1516,16.6,60.3,7.126,2.632,5.155,-1,0.093,0.032
22.000,1575,15.2,65.8,9.079,2.560,4.891,-1,0.096,0.031
23.000,1634,15.8,63.2,8.954,2.485,4.669,-1,0.114,0.031
24.000,1694,15.7,63.9,9.247,2.294,4.709,-1,0.093,0.031
25.000,1755,16.4,60.8,8.300,2.316,4.851,-1,0.136,0.031
26.000,1823,18.6,53.7,6.351,2.345,4.784,-1,0.093,0.031
27.000,1898,19.6,51.1,6.164,2.105,4.452,-1,0.093,0.031
28.000,1975,20.5,48.7,6.253,1.959,3.890,-1,0.093,0.032
29.000,2060,22.9,43.7,5.517,1.699,3.543,-1,0.093,0.031
30.000,2148,22.3,44.8,5.430,1.850,3.614,-1,0.099,0.031
31.000,2226,19.4,51.5,6.420,2.002,4.016,-1,0.093,0.031
32.000,2296,18,55.5,6.916,2.284,4.501,-1,0.093,0.031
33.000,2365,17.4,57.3,6.456,2.560,5.123,-1,0.094,0.031
34.000,2427,15.7,63.6,8.215,2.528,5.106,-1,0.094,0.031
35.000,2485,15.3,65.5,9.363,2.846,4.540,-1,0.093,0.031
36.000,2544,14.8,67.7,9.561,2.287,4.815,-1,0.093,0.031
37.000,2603,16,62.7,9.061,2.342,4.660,-1,0.093,0.031
38.000,2667,17,58.7,7.528,2.448,4.694,-1,0.093,0.031
39.001,2739,18.5,54,5.916,2.471,4.559,-1,0.093,0.034
40.000,2814,19.4,51.5,6.303,2.039,4.283,-1,0.093,0.031
