time,run,ssim_global,ssim_indirect,lpips_global,lpips_indirect,psnr_global,psnr_indirect
0.1,1,0.7782278,0.86601925,0.22134430706501007,0.20261481404304504,26.43244096257059,28.95793767591669
0.204,1,0.8353925,0.890141,0.19422030448913574,0.18380096554756165,28.908776550987024,30.666052998487427
0.308,1,0.87956685,0.9158251,0.16816669702529907,0.16008290648460388,31.109221219697645,32.535420171269244
0.4,1,0.9150118,0.92560905,0.1421475112438202,0.15048037469387054,33.2987333970116,33.36165224256094
0.532,1,0.92373365,0.9357236,0.13535015285015106,0.1399989128112793,33.93050045824424,34.26931703909819
0.617,1,0.93646103,0.9413174,0.12261927872896194,0.13279037177562714,34.98989417763803,34.834989328280535
0.731,1,0.9453543,0.94726586,0.11298465728759766,0.12458840757608414,35.81984841195415,35.482306063987274
0.815,1,0.9503948,0.9523108,0.10718300938606262,0.11708393692970276,36.34574514331071,36.05484390853243
0.926,1,0.95600176,0.95640033,0.09938522428274155,0.11147768050432205,36.97723402479028,36.55736945635755
1.039,1,0.96046233,0.9598488,0.09309572726488113,0.10592526197433472,37.53277509309052,37.00697297612185
1.154,1,0.96392375,0.96336764,0.08793869614601135,0.09995896369218826,38.00423113637954,37.50247583561893
1.267,1,0.9668079,0.9657391,0.08279228955507278,0.09551919996738434,38.43813603098845,37.86360620245577
1.301,1,0.968056,0.9673168,0.08052138984203339,0.09270693361759186,38.62979944586026,38.11593621849275
1.406,1,0.96981925,0.9687783,0.0777508020401001,0.08993905782699585,38.91848929081057,38.35849431476643
1.517,1,0.97182935,0.9700832,0.0732414498925209,0.08704537153244019,39.2631898673463,38.57853515027911
1.601,1,0.9727073,0.9723992,0.07184207439422607,0.08281289041042328,39.42248136220408,38.990419742563944
1.77,1,0.9755371,0.97404003,0.06573067605495453,0.07893741130828857,39.96487991921049,39.3074997053873
1.801,1,0.97586185,0.9745943,0.06491256505250931,0.07737003266811371,40.03252156986841,39.41956331730229
1.938,1,0.9774448,0.9757584,0.06204143539071083,0.0744486153125763,40.35965577334582,39.655106823115794
2.075,1,0.97862726,0.9768069,0.058812059462070465,0.07155953347682953,40.61504604730783,39.87624429422023
2.134,1,0.9793846,0.97834855,0.0567852184176445,0.06784975528717041,40.7884824139536,40.2269202965515
2.247,1,0.98033375,0.97899276,0.054560769349336624,0.06564447283744812,41.011940657877545,40.3730734178187
2.358,1,0.98115516,0.97959757,0.0522877536714077,0.06378531455993652,41.220865949775664,40.51804775342095
2.4,1,0.98172337,0.98014206,0.05125296860933304,0.06271113455295563,41.36772183596917,40.65069379171988
2.556,1,0.9822872,0.98130894,0.049860671162605286,0.05926544591784477,41.5178745754184,40.955030533501564
2.642,1,0.9828119,0.9827388,0.048391811549663544,0.0555231049656868,41.66732182015325,41.34761323988321
2.727,1,0.9834773,0.9831364,0.046682506799697876,0.054089345037937164,41.855726262663325,41.4608043043178
2.812,1,0.98377657,0.9808297,0.04579494893550873,0.06090076267719269,41.93966712434872,40.82804521113622
2.922,1,0.9845271,0.98206407,0.044079720973968506,0.05682292580604553,42.16278809565488,41.1581233719789
3.008,1,0.9849184,0.9824799,0.04295356944203377,0.05583672970533371,42.28810076309461,41.27394078054081
3.147,1,0.98542744,0.9835933,0.041336655616760254,0.052728403359651566,42.447448143796265,41.59521405951789
3.233,1,0.98577684,0.9841711,0.040435791015625,0.051254697144031525,42.5645002542086,41.768416648967595
3.303,1,0.9863065,0.9845762,0.03904130309820175,0.049754589796066284,42.747397990229416,41.89766810671442
3.491,1,0.9867007,0.985094,0.037937965244054794,0.048297129571437836,42.882006060690394,42.062395622601684
3.505,1,0.98689103,0.98528033,0.037414029240608215,0.047591954469680786,42.948931086128,42.1293113348124
3.636,1,0.98727983,0.9855635,0.03627432882785797,0.047051575034856796,43.09316675539125,42.225874304044254
3.75,1,0.98761934,0.98608714,0.035294193774461746,0.04568804055452347,43.21940164301132,42.40057221330973
3.889,1,0.9879422,0.9865041,0.03469201922416687,0.04426460713148117,43.35064833265599,42.547923785560336
3.949,1,0.98811454,0.9867325,0.03426317870616913,0.04343231022357941,43.41785216395837,42.6313793585393
4.035,1,0.98833615,0.98590463,0.03372626751661301,0.046214669942855835,43.50920589645991,42.34222080735469
4.147,1,0.9886494,0.98748535,0.032579563558101654,0.040777191519737244,43.630843603434606,42.91906369642443
4.205,1,0.98884887,0.9877534,0.032029494643211365,0.03989692032337189,43.716973790117315,43.017778079722675
4.342,1,0.98910356,0.98803955,0.031482402235269547,0.0385306254029274,43.83099235738969,43.14221370143635
4.429,1,0.989351,0.98708445,0.030351348221302032,0.0421222448348999,43.93963443132503,42.76368467823848
4.568,1,0.9896324,0.988478,0.029699556529521942,0.03692487254738808,44.070987284140834,43.31178481782466
4.603,1,0.9897604,0.9886844,0.029313277453184128,0.035908475518226624,44.123771452225625,43.40178148429614
4.736,1,0.9899185,0.9888422,0.028955508023500443,0.035448670387268066,44.19945852186935,43.47050880981798
4.848,1,0.9901753,0.98904914,0.02800067514181137,0.034995175898075104,44.32236283574193,43.55962784574963
4.987,1,0.9903643,0.98930687,0.02742479369044304,0.033969759941101074,44.41659002628417,43.667282527198964
5.0,1,0.9905049,0.9894461,0.02713899314403534,0.03343064337968826,44.4846233589563,43.729868324350896
5.184,1,0.9907481,0.98956984,0.02612743154168129,0.03315991163253784,44.60631602835481,43.78832955142299
5.215,1,0.9907822,0.9897046,0.02603147178888321,0.032705023884773254,44.62524923983789,43.8483938999218
5.313,1,0.9909921,0.98984236,0.025390150025486946,0.03240696340799332,44.73457301028867,43.91212818070634
5.402,1,0.99117154,0.9900095,0.024821078404784203,0.03185829520225525,44.82758565635294,43.98868297200571
5.5,1,0.9912122,0.9901371,0.024727359414100647,0.031425394117832184,44.8479801164616,44.04985558247145
5.637,1,0.99140835,0.9905856,0.024324089288711548,0.029919954016804695,44.955381046084355,44.26724710809204
5.721,1,0.99147063,0.99092287,0.02401862107217312,0.028519537299871445,44.99058176901465,44.441793884437175
5.805,1,0.991615,0.99108005,0.023567158728837967,0.027939988300204277,45.06942786616315,44.523622476614435
5.971,1,0.99183273,0.9912336,0.022822337225079536,0.027635520324110985,45.188622796973675,44.60180755200688
