time,run,ssim_global,ssim_indirect,lpips_global,lpips_indirect,psnr_global,psnr_indirect
0.25,1,0.77121073,0.7817576,0.20412838459014893,0.20382076501846313,28.823679846806517,29.840139260326602
0.5,1,0.8443248,0.82904553,0.16615238785743713,0.18081529438495636,33.01448167938035,32.445045491290216
0.75,1,0.88606405,0.8740239,0.1456930786371231,0.1563776582479477,35.45653119129052,34.957778946912256
1.0,1,0.9115586,0.9000571,0.12982505559921265,0.1408950388431549,37.13228744870338,36.5443454009478
1.25,1,0.92669517,0.91450787,0.12013234198093414,0.13026534020900726,38.25753574601301,37.51829284656825
1.5,1,0.937793,0.92678547,0.11219470947980881,0.12165957689285278,39.20306581455736,38.43818774354731
1.75,1,0.94540435,0.93535113,0.10552594065666199,0.11491476744413376,39.919805857528516,39.143863694317275
2.0,1,0.951735,0.9426324,0.09893997758626938,0.10907269269227982,40.58022156786631,39.80251391705736
2.25,1,0.95638776,0.9483426,0.09449581801891327,0.10338756442070007,41.1029257671051,40.36169255427065
2.5,1,0.96052384,0.95266825,0.08975975960493088,0.09973160922527313,41.6100484283188,40.81880730891519
2.75,1,0.9638482,0.95689034,0.08594395220279694,0.09541881829500198,42.05268720446718,41.30327087341467
3.0,1,0.9664847,0.95963687,0.082731693983078,0.09240255504846573,42.42378607699304,41.64028354540024
3.25,1,0.9689641,0.9627619,0.07940320670604706,0.08885131776332855,42.80318869185759,42.04330479950764
3.5,1,0.9709787,0.9648456,0.07629485428333282,0.08574985712766647,43.1289586785368,42.3297042180226
3.75,1,0.9727426,0.9672063,0.07319746166467667,0.08216194808483124,43.43528811595753,42.669945650943305
4.0,1,0.9742667,0.9689379,0.07099130749702454,0.07973974943161011,43.709257954867894,42.933125798683484
4.25,1,0.9756895,0.9707436,0.0687006339430809,0.07734367251396179,43.9830674854833,43.224855523607346
4.5,1,0.9768415,0.9720331,0.06688012182712555,0.0752631425857544,44.21705864336687,43.44441241165521
4.75,1,0.9779587,0.9733019,0.06474113464355469,0.07284179329872131,44.44959933347049,43.669725598566444
5.0,1,0.97899485,0.97444934,0.06291556358337402,0.07081663608551025,44.67940515098097,43.87845746619809
5.25,1,0.9798722,0.97556704,0.06095403805375099,0.06853199005126953,44.87865473657272,44.09293290132353
5.5,1,0.9807785,0.9765747,0.05930524691939354,0.06701263785362244,45.09550151243934,44.29211466359861
5.75,1,0.9814844,0.9774701,0.057781025767326355,0.06540711224079132,45.27164316621451,44.4806684503012
6.0,1,0.9821913,0.97832227,0.05610554292798042,0.0637277141213417,45.454850160102765,44.664553384066146
6.25,1,0.9828245,0.9790938,0.05470375716686249,0.062111712992191315,45.626358318274185,44.83856669497854
6.5,1,0.98346597,0.979942,0.052784111350774765,0.0603129081428051,45.798152250107506,45.02743491813975
6.75,1,0.98401624,0.9805673,0.05156777799129486,0.0590212345123291,45.95270814733289,45.17308683837661
7.0,1,0.9845219,0.9811471,0.05039968341588974,0.05800541490316391,46.102732891226694,45.3132942318349
