time,run,ssim_global,ssim_indirect,lpips_global,lpips_indirect,psnr_global,psnr_indirect
0.25,1,0.9319461,0.9027367,0.09104357659816742,0.07949814200401306,32.96910627563185,28.493067969439952
0.5,1,0.95667297,0.91222215,0.07181970775127411,0.06588694453239441,34.621286665981955,29.08851489658315
0.75,1,0.96657926,0.91578466,0.06089552491903305,0.0588027685880661,35.22316598481917,29.275943344161348
1.0,1,0.9718399,0.9175351,0.054207004606723785,0.054808489978313446,35.539812534715615,29.364677008795795
1.25,1,0.97509533,0.9186533,0.048785313963890076,0.05275480076670647,35.722713566156386,29.415876831095517
1.5,1,0.9773864,0.9194093,0.04580644518136978,0.05123845487833023,35.85338799242654,29.457816662915807
1.75,1,0.97894174,0.9199452,0.04290901497006416,0.050075169652700424,35.93914736407707,29.486076169057096
2.0,1,0.9802039,0.9202977,0.04049341753125191,0.049237173050642014,36.01502908195994,29.50224442657493
2.25,1,0.98116416,0.9206124,0.03827938437461853,0.0484442338347435,36.06897214642934,29.5189781676562
2.5,1,0.9819141,0.92089343,0.03702487796545029,0.04797767475247383,36.111678143471565,29.5320506111567
2.75,1,0.9825842,0.9211147,0.03572157770395279,0.047595228999853134,36.14879661976821,29.540539280336727
3.0,1,0.9830864,0.9213031,0.03500014916062355,0.04722827300429344,36.17562328606378,29.5495289326481
3.25,1,0.9834892,0.92144173,0.033837348222732544,0.04704834520816803,36.196013972032446,29.55617979486414
3.5,1,0.983898,0.921573,0.033150967210531235,0.046907275915145874,36.214522899342484,29.56163512726516
3.75,1,0.98421454,0.92170185,0.032406024634838104,0.04660775884985924,36.230382112557535,29.567292346406116
4.0,1,0.98450994,0.921784,0.03146344795823097,0.046473100781440735,36.247876681851494,29.571321189523125
4.25,1,0.9847667,0.9218879,0.031214935705065727,0.04620583355426788,36.25997419598156,29.575647445723337
4.5,1,0.98500067,0.9219754,0.030727718025445938,0.04602300375699997,36.271041591871594,29.580414407570814
4.75,1,0.98520726,0.92203885,0.030393820255994797,0.04588688164949417,36.280934550929096,29.583429500358754
5.0,1,0.98537725,0.92211384,0.029885759577155113,0.04572990536689758,36.29231990897781,29.587977308813326
5.25,1,0.9855235,0.9221788,0.029498547315597534,0.045711517333984375,36.302388016703176,29.591932545757693
5.5,1,0.985688,0.9222483,0.029259229078888893,0.04572165384888649,36.31191313801399,29.595912665931927
5.751,1,0.9858338,0.9223001,0.02873275987803936,0.0456697978079319,36.319310966782645,29.598709959775192
6.001,1,0.9859635,0.92234904,0.028527390211820602,0.045538026839494705,36.32844846774727,29.60102087782857
6.25,1,0.9860711,0.9223874,0.02817385271191597,0.0454789437353611,36.33592093362823,29.60302344767247
6.501,1,0.9861855,0.9224386,0.027810968458652496,0.04537353664636612,36.34077283297751,29.6059128900458
6.75,1,0.9862904,0.9224744,0.027721798047423363,0.045290932059288025,36.348651577723324,29.60749950147512
7.0,1,0.9863871,0.92250633,0.027455341070890427,0.045231517404317856,36.352327358037655,29.60809269985768
7.251,1,0.98646635,0.922544,0.0272798091173172,0.04521710425615311,36.35537618902153,29.609087701271235
7.5,1,0.9865508,0.92258614,0.027237821370363235,0.04516833648085594,36.35774865660313,29.611467750879367
7.75,1,0.9866349,0.9226056,0.027082379907369614,0.045073896646499634,36.36076015266643,29.61284143783647
8.001,1,0.9867056,0.92263395,0.026819387450814247,0.045064155012369156,36.36546814194085,29.614167614555832
8.25,1,0.9867697,0.9226597,0.02677110582590103,0.045076608657836914,36.37082523737638,29.615434887365545
8.5,1,0.98685646,0.9226923,0.026622727513313293,0.04503079503774643,36.37427439212171,29.61718796612856
8.75,1,0.98689985,0.9227055,0.026485852897167206,0.045015741139650345,36.378239718316834,29.617144264735526
9.0,1,0.9869546,0.9227248,0.026304062455892563,0.044957950711250305,36.38093363384796,29.61810019827267
9.25,1,0.987016,0.92274195,0.02616148628294468,0.04496774077415466,36.382567177205146,29.619227492936684
9.5,1,0.9870591,0.92276365,0.026014747098088264,0.04495779052376747,36.38520207839171,29.62108631687049
9.75,1,0.9871164,0.92277503,0.02602025866508484,0.04494266211986542,36.386014218399595,29.622046699427305
10.0,1,0.98716456,0.9227984,0.025932274758815765,0.0449770949780941,36.38989707873071,29.62363088367576
0.25,2,0.9422567,0.90708095,0.08458346128463745,0.07491552829742432,33.66639999293298,28.77913883167929
0.5,2,0.9609907,0.91375995,0.06828172504901886,0.0648961067199707,34.86847446212145,29.16421301140186
0.75,2,0.9683407,0.916418,0.05945618450641632,0.05894676595926285,35.322510626300115,29.31056571400741
1.0,2,0.97289723,0.9179361,0.0526319295167923,0.05572989210486412,35.58631718222582,29.381272014882526
1.25,2,0.975801,0.9189208,0.048559822142124176,0.05315988138318062,35.75344093306128,29.428479679688824
1.5,2,0.9778463,0.91953826,0.04473315551877022,0.051412004977464676,35.87593278312581,29.462509088316978
1.75,2,0.9793095,0.92002755,0.0424746535718441,0.05045222491025925,35.959855061418445,29.485360900231676
2.0,2,0.9804361,0.9204361,0.04056553542613983,0.04970252513885498,36.021178626304774,29.506133383017463
2.25,2,0.9813292,0.9206982,0.03902101516723633,0.0491887666285038,36.07377569747648,29.52188843671503
2.5,2,0.9821003,0.9209699,0.037676066160202026,0.048593245446681976,36.11405474182207,29.5362240245344
2.75,2,0.98269844,0.92116493,0.035865798592567444,0.048293717205524445,36.146410719807406,29.5467013057791
3.0,2,0.9831672,0.9213435,0.034928541630506516,0.047984182834625244,36.17630560858401,29.555862748150812
3.25,2,0.9836063,0.9214887,0.03402101621031761,0.04781896248459816,36.20031434992749,29.562685657686167
3.5,2,0.9839616,0.92162347,0.03333459794521332,0.04757189750671387,36.21813518896448,29.569222432174236
3.75,2,0.98427707,0.92174584,0.032768022269010544,0.04734291881322861,36.235613233737325,29.575095086751976
